,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,2962.9601567281074,-2603.112585556364,1409.3655325453828,419.4000547978438,469.23597894872086,940.1606616312855,-513.1441926707829,-1569.5483932835102,294.248671677237,297.04248845620083,12.06368904126467,-28.715584224883056,-62.99555610742446,95.21193814695118,-37.84992968650125,0.04310923301785259,303.57452609822644,765.7576228990345,0.06812810610915551,31.79487349559759,41.40487568256854,54.668011115366895,46.64997476459919,41.977818643572874,25.03485050238777,60.144345013993124,15.29165597025686,0.02972087895769103,105.22675291359207
qN,-2603.112585556364,2685.093897407438,-1099.0723572495392,-352.4204250432123,-767.2595464176187,-1111.1081925183516,565.9561765210956,1507.7663347343844,-279.83885375655314,-228.74754999254256,-9.265321163883936,-39.71623310429851,-4.991901426568273,-11.890952694377647,-497.04247098481653,0.6820208351805644,298.40755206815896,-768.8472046307131,-0.04575546773357612,-22.43192500102828,-33.862327647050606,-47.83193097921977,-115.38902821469813,-108.00321340857431,-17.922207603303857,-56.758246007724836,-46.163007339376435,-0.02114664050191318,-75.20060267498889
betaG0,1409.3655325453828,-1099.0723572495392,4527.422568305587,1124.6696378852614,-2698.1702436625405,-1052.5344054557931,-23.620073301078303,-671.4804794671868,667.9905440703874,-436.9775033713968,-19.04516631240932,-7.468793485446391,2.7011996879283293,-10.716566418758964,-133.5269971586984,0.18224890965166352,162.93496284483376,28.099033300309785,0.040422511489689034,18.29328677210308,-5.932996069541432,-1.5467881694122871,-17.735591429923012,-34.994930654652826,31.9592106509501,12.091244528245882,40.59694066223088,0.017646669307548886,62.609728182639955
betaF0,419.4000547978438,-352.4204250432123,1124.6696378852614,302.18243194547085,-630.9193808938232,-318.61891822666587,5.014484499810381,-214.9635088257442,195.5756237141304,-40.50509155638877,-1.774353809882002,1.0138852333637516,3.978198335435603,-7.056294716136943,-16.055334080123608,0.02072214378769204,18.628698951499658,0.6696375086450804,0.013475242441263677,6.119591481096862,1.4012364051753723,3.7259292268796065,3.4640454551880833,-3.9755998874275504,11.708555964029449,7.59037742152235,19.983368418205263,0.005948160547677262,21.12638175951443
qEG,469.23597894872086,-767.2595464176187,-2698.1702436625405,-630.9193808938232,6031.986826895072,1428.6039832779736,-277.86516594735696,-663.5792271415177,-469.9055130278005,-2055.690560627144,-98.21366368529971,60.80350240556786,50.582720945748136,-56.450892832109844,536.7077754935997,-0.7089278434430732,-571.8553225224124,62.172800224537276,-0.023960378951426817,-11.451597503575247,58.43288805050596,64.36524873218539,83.17178218316305,96.24890901747234,-35.59665533886564,50.25919374118273,-26.874505102670422,-0.011842132721870761,-42.47329424954253
qEF,940.1606616312855,-1111.1081925183516,-1052.5344054557931,-318.61891822666587,1428.6039832779736,2525.1013900074377,-854.0519043331586,-866.9164411144753,-129.22907518354128,-159.5856243681622,-7.66762352804783,47.40194413897392,44.588132010932014,-53.31600390171108,390.73646641034776,-0.5384312253257895,-433.394237602286,30.942259577922893,-0.0005947314048614476,-0.42145325214304297,42.47748096681879,49.33909530276637,80.53775197164379,74.03413370363411,-9.206375966719712,42.73238741005265,27.252355844058304,-0.0007894753126346321,-2.9959743553168234
iG,-513.1441926707829,565.9561765210956,-23.620073301078303,5.014484499810381,-277.86516594735696,-854.0519043331586,338.73694672729124,413.2325771663449,-19.8761384055379,20.94820556159695,1.0183170564208786,-22.070430717774464,-21.160195148414708,25.92728321818825,-171.94163388907307,0.22896629838250743,184.31005702682813,-17.272405944054444,-0.004657952581817412,-2.0285875748321645,-20.43685223893893,-23.80134720171003,-36.758666402389366,-29.897566023898385,-0.3441320218088128,-21.335182597992162,-21.122645399223444,-0.0018052238656416665,-6.326896480834957
iE,-1569.5483932835102,1507.7663347343844,-671.4804794671868,-214.9635088257442,-663.5792271415177,-866.9164411144753,413.2325771663449,1157.6528318735552,-152.79747394782527,-258.0024430039775,-10.803593176789894,-26.667923964972513,-30.516655302549797,39.983451751310156,-191.87139905345214,0.2815658983823691,219.38132989400606,-23.229608214121487,-0.014797765826186932,-6.414660791529681,-28.399488889050183,-38.73046701833427,-42.30434697945274,-39.39840339297606,-3.444799923238777,-44.709909933693176,-14.292172393866364,-0.005794313009072567,-20.32263799156825
Kd0,294.248671677237,-279.83885375655314,667.9905440703874,195.5756237141304,-469.9055130278005,-129.22907518354128,-19.8761384055379,-152.79747394782527,266.42842739812625,-7.3658202589534465,-0.3563372564941467,6.313925223661523,10.906634416146282,-16.526459913383142,2.703761731921693,-0.013479946206473109,-32.79112606392745,-86.45216313440821,-0.0005176725195929119,-0.24735782933357228,0.0,-3.944304526105059e-27,-0.48922368603613997,-0.4360920347449726,-0.5644156367331713,-1.9721522630525295e-27,-0.47407259448529554,-0.0002475169425399745,-0.8849335631960591
gammaG0,297.04248845620083,-228.74754999254256,-436.9775033713968,-40.50509155638877,-2055.690560627144,-159.5856243681622,20.94820556159695,-258.0024430039775,-7.3658202589534465,2985.710384133867,137.08746053480246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
