model,start,success,status,message,nfev,initial_objective_wsse,final_objective_wsse,data_wsse,n_data_residuals,n_parameters,wsse_per_data_residual,active_bound_count
baseline_phase,0,True,2,`ftol` termination condition is satisfied.,8,8848.582610025685,9449.737462216985,9448.991216408125,261,9,36.2030314804909,2
baseline_phase,1,True,2,`ftol` termination condition is satisfied.,7,43406.09830268711,9449.730635921587,9448.98391046078,261,9,36.20300348835548,2
baseline_phase,2,True,2,`ftol` termination condition is satisfied.,11,10289.687523295152,9449.731230832456,9448.98450515157,261,9,36.20300576686425,2
baseline_phase,3,True,2,`ftol` termination condition is satisfied.,13,11608.658422206809,9449.730715046684,9448.983999537024,261,9,36.20300382964377,2
baseline_phase,4,True,2,`ftol` termination condition is satisfied.,9,11345.769914388586,9449.73059517707,9448.98386989518,261,9,36.20300333293173,2
baseline_phase,5,True,2,`ftol` termination condition is satisfied.,11,42801.48984807602,9449.730847916884,9448.984121022528,261,9,36.20300429510547,2
baseline_phase,6,True,2,`ftol` termination condition is satisfied.,6,69212.44625817519,9449.7416684005,9448.99500719883,261,9,36.20304600459322,2
baseline_phase,7,True,2,`ftol` termination condition is satisfied.,10,11326.924603776582,9449.733848255888,9448.987229085484,261,9,36.20301620339266,2
ea_biomass_background,0,True,2,`ftol` termination condition is satisfied.,21,9450.313223939402,8253.531199635709,8249.575687430617,261,10,31.60756968364221,2
ea_biomass_background,1,True,2,`ftol` termination condition is satisfied.,13,107218.38453942948,8253.493762178668,8249.538135074938,261,10,31.60742580488482,2
ea_biomass_background,2,True,2,`ftol` termination condition is satisfied.,15,110252.88793861619,8253.560297931133,8249.6048638953,261,10,31.607681470863216,2
ea_biomass_background,3,True,2,`ftol` termination condition is satisfied.,12,24628.934629344913,8253.501837465174,8249.546232913031,261,10,31.607456831084413,2
ea_biomass_background,4,True,2,`ftol` termination condition is satisfied.,16,149449.7053733722,8253.556257700544,8249.6008137081,261,10,31.6076659529046,2
ea_biomass_background,5,True,2,`ftol` termination condition is satisfied.,15,116781.46101259094,8253.570734212011,8249.615327549314,261,10,31.607721561491626,2
ea_biomass_background,6,True,2,`ftol` termination condition is satisfied.,13,9343.147842829416,8253.566817875871,8249.611401403283,261,10,31.607706518786525,2
ea_biomass_background,7,True,2,`ftol` termination condition is satisfied.,23,2513927.954386574,8253.4622366027,8249.506452413749,261,10,31.607304415378348,2
ea_ethanol_biomass,0,True,2,`ftol` termination condition is satisfied.,20,9449.508532152597,7701.336614744747,7696.92560224961,261,10,29.49013640708663,2
ea_ethanol_biomass,1,True,2,`ftol` termination condition is satisfied.,10,8816.696686045874,7701.361863716915,7696.95089336128,261,10,29.490233307897622,2
ea_ethanol_biomass,2,True,2,`ftol` termination condition is satisfied.,12,14504.35665621699,7701.360968447616,7696.949996773732,261,10,29.49022987269629,2
ea_ethanol_biomass,3,True,2,`ftol` termination condition is satisfied.,9,18360.166722712253,7701.3620532893265,7696.951080086676,261,10,29.490234023320596,2
ea_ethanol_biomass,4,True,2,`ftol` termination condition is satisfied.,8,11308.415625835674,7701.346385469926,7696.935390516877,261,10,29.49017391002635,2
ea_ethanol_biomass,5,True,2,`ftol` termination condition is satisfied.,22,783033.415794024,7701.328603519401,7696.917575231189,261,10,29.49010565222678,2
ea_ethanol_biomass,6,True,2,`ftol` termination condition is satisfied.,8,12360.048192831162,7701.339949019884,7696.928942042476,261,10,29.490149203227876,2
ea_ethanol_biomass,7,True,2,`ftol` termination condition is satisfied.,30,7091073.605725971,7701.3626061101,7696.951636916379,261,10,29.490236156767736,2
ea_ethanol_temperature,0,True,2,`ftol` termination condition is satisfied.,22,9449.514444728411,7701.359159733956,7696.947938238738,261,11,29.490221985589034,3
ea_ethanol_temperature,1,True,2,`ftol` termination condition is satisfied.,26,7787614.353474058,7701.346033993439,7696.934855588148,261,11,29.49017186049099,3
ea_ethanol_temperature,2,True,2,`ftol` termination condition is satisfied.,9,20775.326725814128,7701.3470130722235,7696.935832036637,261,11,29.49017560167294,3
ea_ethanol_temperature,3,True,2,`ftol` termination condition is satisfied.,21,222897.82036758997,7701.360697648261,7696.94957532117,261,11,29.49022825793552,3
ea_ethanol_temperature,4,True,2,`ftol` termination condition is satisfied.,15,34129.167176787945,7701.358114194902,7696.946987004217,261,11,29.490218341012323,3
ea_ethanol_temperature,5,True,2,`ftol` termination condition is satisfied.,28,164911193.12391394,7701.4205353742545,7697.009370982809,261,11,29.49045736008739,3
ea_ethanol_temperature,6,True,2,`ftol` termination condition is satisfied.,32,7801617.801065142,7701.344759834798,7696.933599819051,261,11,29.490167049115136,3
ea_ethanol_temperature,7,True,2,`ftol` termination condition is satisfied.,17,108044.61538840385,7701.344861305958,7696.933684722872,261,11,29.490167374417137,3
ea_ethanol_nlimited,0,True,2,`ftol` termination condition is satisfied.,18,9449.890798724911,7374.467396270084,7369.901803683246,261,11,28.23717166162163,2
