,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,34874.51996168228,-20033.561552882296,4922.911752326034,1559.0400086709876,4450.6291657065485,8640.923138727829,-3550.533644265617,-10327.22202563555,-675.8450408380197,1673.9795682757851,66.54776920872098,-285.3545238213655,-351.5441742092928,623.0332216023224,-1005.4408747594565,0.9383851421454673,1008.3061152575331,0.0,1.186908887843146,341.41232365716905,254.96406959017978,448.85222969718063,111.83695975725837,42.34275270041152,890.674863826797,190.68123819254342,87.32097234869099,0.6164124657936492,2181.202725241581
qN,-20033.561552882296,22777.232538085067,-292.6625466033024,-423.26315217415714,-7528.083627507741,-9396.731957145801,3538.2518283213067,8463.23477787162,645.590474695398,-1013.3129521496899,-41.40844448517671,-693.6498603782163,-263.9858408072091,244.35077733020876,-4271.624598492256,5.824952944664808,3701.4607641643197,0.0,-0.5455221216720915,-206.8196685330356,-238.1528220921603,-465.9798098528911,-331.84763635085955,-176.65534804117704,-305.46266069001365,-176.72568549212798,-106.65605204962847,-0.42124759829826186,-1546.328285468839
betaG0,4922.911752326034,-292.6625466033024,51279.77133345505,14036.27634062861,-43220.41743194166,-15627.449799601378,574.7097112693643,-3550.9196106234267,451.0484542466617,-1469.9193660583942,-62.9419677791285,-173.1972669623495,-80.58875522436668,86.27853312803734,-900.9926888772274,1.162866954725183,776.3445241435413,0.0,1.0894169917710845,261.5197708104562,-75.07481905093796,-226.59859570316922,-56.46514290875693,-59.145709729300826,1760.5215123323828,191.6535427612235,177.8896691061288,0.2952881469034714,948.6286823855627
betaF0,1559.0400086709876,-423.26315217415714,14036.27634062861,3948.789256063301,-11633.845228971273,-4530.207523455823,199.26700589313532,-1192.5702207902232,127.50795073371826,-140.1618723698668,-5.985233640690758,-22.79740923430773,-8.165101350391904,4.169729942995287,-126.7800838086792,0.15441448396526997,104.59461854694742,0.0,0.3024361069243331,72.32790930106617,-4.567614140620818,-34.487660325633406,-4.456639429147361,-11.56337970658679,492.146512770474,71.69860947460242,56.61139666314444,0.08067440135904302,258.13054313578675
qEG,4450.6291657065485,-7528.083627507741,-43220.41743194166,-11633.845228971273,51528.69886095203,16742.044334523634,-1777.2104200048977,-2060.5111467836177,-342.280720997157,-5504.992274242332,-263.3970047794511,549.7689076341878,293.17727007418296,-385.47686697897205,2877.156522540318,-3.7219825755855696,-2531.7703123260817,0.0,-0.9080743393725126,-234.19477692285778,233.7597081886173,486.49075907912453,201.62079471914183,129.13270291815638,-1629.8588015977653,-75.85245049662068,-97.61657734880365,-0.2570944381636219,-834.4095445090255
qEF,8640.923138727829,-9396.731957145801,-15627.449799601378,-4530.207523455823,16742.044334523634,17346.945701514072,-4493.502502976079,-5421.0434657334245,-108.84991504021244,-385.6234218347117,-18.73904689744483,397.75010890431224,223.1492240841104,-303.99360862935566,2141.6851380777,-2.6930976491443364,-1874.0920441453918,0.0,-0.23330477680765754,-64.62809252051676,222.82431262875883,441.39722537828953,167.97572781727024,93.07581558024272,-473.88403371601225,79.00242256830978,8.124523993537368,-0.07036664249854169,-232.3471903127558
iG,-3550.533644265617,3538.2518283213067,574.7097112693643,199.26700589313532,-1777.2104200048977,-4493.502502976079,1556.7700136992203,2292.0360572619093,-7.104526248466188,45.9460923835841,2.231962090302586,-172.8522920759583,-96.69503124245239,133.9924116866766,-898.8576624971048,1.1610787756882222,794.7264301930445,0.0,-0.024086655107973164,-2.7721811761190986,-84.38925601478773,-149.32549022572763,-69.34297032453516,-33.93149449957266,-8.110475837893116,-58.60706099591962,-27.67826741193892,-0.003571696485363326,-8.964627071300047
iE,-10327.22202563555,8463.23477787162,-3550.9196106234267,-1192.5702207902232,-2060.5111467836177,-5421.0434657334245,2292.0360572619093,6389.903366981414,-63.924756204946554,-973.7579506731659,-40.79175862419917,-211.92619554842162,-125.98959313146415,180.9800584458218,-1146.7929146014517,1.5146263191396088,1028.3945891234844,0.0,-0.1646354220480799,-26.944596316829085,-158.42210543499215,-301.8358227513388,-106.12437007077835,-51.37724297496983,-144.0362660899509,-132.358718952976,-65.37737800925235,-0.034062466322937565,-100.50836343631326
Kd0,-675.8450408380197,645.590474695398,451.0484542466617,127.50795073371826,-342.280720997157,-108.84991504021244,-7.104526248466188,-63.924756204946554,206.72581330473218,-12.755439575794217,-0.5826810090331388,14.037396756559406,17.059787756380857,-34.92720702365057,13.291085896434863,-0.027037773247279365,-17.644461163792094,0.0,-0.02569406132292816,-13.062902742549745,-0.4707572913956628,-1.3385182657463153,-0.2530075040771387,-0.14755953177485512,-10.461531793080361,-0.45102927443636753,-0.17147073202739313,-0.033884400717361804,-128.20528713241774
gammaG0,1673.9795682757851,-1013.3129521496899,-1469.9193660583942,-140.1618723698668,-5504.992274242332,-385.6234218347117,45.9460923835841,-973.7579506731659,-12.755439575794217,8712.078749973132,397.14398114401075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,66.54776920872098,-41.40844448517671,-62.9419677791285,-5.985233640690758,-263.3970047794511,-18.73904689744483,2.231962090302586,-40.79175862419917,-0.5826810090331388,397.14398114401075,18.373936740615893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-285.3545238213655,-693.6498603782163,-173.1972669623495,-22.79740923430773,549.7689076341878,397.75010890431224,-172.8522920759583,-211.92619554842162,14.037396756559406,0.0,0.0,1021.0030315336942,570.214485106769,-785.1542286287855,1.9561132407972783,-0.004093292311576675,-2.2267125819030773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-351.5441742092928,-263.9858408072091,-80.58875522436668,-8.165101350391904,293.17727007418296,223.1492240841104,-96.69503124245239,-125.98959313146415,17.059787756380857,0.0,0.0,570.214485106769,470.5649641043292,-722.1812074112777,1.1916086309130633,-0.0029965247180115955,-1.4771975771661077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,623.0332216023224,244.35077733020876,86.27853312803734,4.169729942995287,-385.47686697897205,-303.99360862935566,133.9924116866766,180.9800584458218,-34.92720702365057,0.0,0.0,-785.1542286287855,-722.1812074112777,1177.086247507834,-1.580612432613715,0.004372206422364931,2.009306544903228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-1005.4408747594565,-4271.624598492256,-900.9926888772274,-126.7800838086792,2877.156522540318,2141.6851380777,-898.8576624971048,-1146.7929146014517,13.291085896434863,0.0,0.0,1.9561132407972783,1.1916086309130633,-1.580612432613715,5340.798240898949,-6.831466908520056,-4698.760922018786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.9383851421454673,5.824952944664808,1.162866954725183,0.15441448396526997,-3.7219825755855696,-2.6930976491443364,1.1610787756882222,1.5146263191396088,-0.027037773247279365,0.0,0.0,-0.004093292311576675,-0.0029965247180115955,0.004372206422364931,-6.831466908520056,0.018218138294971358,8.549303415360697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1008.3061152575331,3701.4607641643197,776.3445241435413,104.59461854694742,-2531.7703123260817,-1874.0920441453918,794.7264301930445,1028.3945891234844,-17.644461163792094,0.0,0.0,-2.2267125819030773,-1.4771975771661077,2.009306544903228,-4698.760922018786,8.549303415360697,5371.811678023998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,1.186908887843146,-0.5455221216720915,1.0894169917710845,0.3024361069243331,-0.9080743393725126,-0.23330477680765754,-0.024086655107973164,-0.1646354220480799,-0.02569406132292816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008663718282593547,0.20939683918723734,0.0,0.0,0.0,0.0,0.9035995684046444,0.0,0.0,0.000290786899887465,0.9686142812666887
k_EA_stationary,341.41232365716905,-206.8196685330356,261.5197708104562,72.32790930106617,-234.19477692285778,-64.62809252051676,-2.7721811761190986,-26.944596316829085,-13.062902742549745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20939683918723734,69.86460657068909,0.0,0.0,0.0,0.0,198.6316266285219,0.0,0.0,0.1088693036125892,386.23190610517275
k_IAA_growth,254.96406959017978,-238.1528220921603,-75.07481905093796,-4.567614140620818,233.7597081886173,222.82431262875883,-84.38925601478773,-158.42210543499215,-0.4707572913956628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.08919833195176,442.6462438985509,0.0,0.0,0.0,155.7192343730396,0.0,0.0,0.0
k_IAA_stationary,448.85222969718063,-465.9798098528911,-226.59859570316922,-34.487660325633406,486.49075907912453,441.39722537828953,-149.32549022572763,-301.8358227513388,-1.3385182657463153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.6462438985509,1134.074974151088,0.0,0.0,0.0,143.39608492399998,0.0,0.0,0.0
k_EO_growth,111.83695975725837,-331.84763635085955,-56.46514290875693,-4.456639429147361,201.62079471914183,167.97572781727024,-69.34297032453516,-106.12437007077835,-0.2530075040771387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0896469228577,178.83920186214078,0.0,0.0,102.62937431113303,0.0,0.0
