,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3695.3503752980882,-3053.257757314552,-375.60912688164956,-92.25982299219967,2096.0126331800093,2935.9421835432013,-989.3806759107928,-2656.447818823845,39.073893265443175,386.76734476671646,14.496418584378588,-45.242254626717695,-82.3039754451582,125.00570951290054,-133.28828908192952,0.1816004304423153,434.74819921368135,783.8236959363536,0.10091109000829898,35.41427309806406,53.597871517555326,58.00373322260765,50.19106615514802,42.88345769525986,57.52138389013499,21.139633648640917,8.34310121469256,0.04396168218892181,150.10047259091783
qN,-3053.257757314552,3916.530434912409,792.7371864779819,154.6657827657443,-2725.367676100642,-3213.55748059774,1135.0253445676303,2672.5954987952405,-37.25221224683671,-306.39866224245446,-11.628479192571637,-91.41387006245763,-45.86803922329682,34.52669165756217,-896.2943634677946,1.1744589503257785,687.0683796670662,-790.4895086119224,-0.04606024461055248,-17.630077988361048,-43.102130727881686,-51.74194209135658,-171.97152679509043,-146.74938556492117,-32.64493336968564,-19.83237490063906,-40.648741742823816,-0.02229117442913427,-77.14541047785576
betaG0,-375.60912688164956,792.7371864779819,3994.955186733716,816.3517061726662,-2890.2673679782183,-2497.9669767772084,532.2564417636527,742.8763766813477,134.21185572514838,-503.4849621974709,-20.03306072816097,-25.43542301401682,-19.90493341151674,21.87883353256776,-183.8862495862808,0.24212231494026534,256.39623863050844,177.2643915917177,0.07370671057819714,27.2360352285199,-27.804437616054123,-30.12413315884394,-44.93011351142999,-52.2863495303879,67.11356710515919,6.511785946403214,23.767584116725352,0.035173887062611216,121.96337843380651
betaF0,-92.25982299219967,154.6657827657443,816.3517061726662,187.8122501997796,-588.8151503709792,-636.5732578070629,140.55968899589715,169.32017949768647,35.89081710254497,-49.5671387175537,-1.9908556254821765,-2.499205913999285,-1.538873447681953,1.2093987590198456,-18.91244226152305,0.025270097180877454,32.52893417280315,36.563894779104494,0.024455775142375027,9.164551903309142,-2.5936707528860636,-2.8065786301381253,-2.5242509375727336,-8.141288797283519,24.01266495754062,2.1627087522641983,13.088403984634338,0.01191614266396285,41.445721453037955
qEG,2096.0126331800093,-2725.367676100642,-2890.2673679782183,-588.8151503709792,6874.338279916444,3157.1325410988734,-894.0378161519992,-2335.6627514410256,-89.66021567587553,-1754.6941151759477,-80.01177994648864,92.62942655162063,76.37447602199646,-91.5829371178653,729.9638908435827,-0.9066402597524504,-747.6074638099985,8.324770092392177,-0.07050418880291176,-27.897560216964905,110.99264744239186,113.73309959745906,131.69299030440735,123.34367240389024,-85.56961925614817,19.227497911480448,-13.427619458907424,-0.03715991161610013,-130.6303896330079
qEF,2935.9421835432013,-3213.55748059774,-2497.9669767772084,-636.5732578070629,3157.1325410988734,5730.928090274194,-1798.297871392745,-2935.9346207472936,-33.09120947969977,-88.75810749166014,-4.16584803489943,52.09273275294441,44.05646685965251,-53.64342073492892,406.6683450813264,-0.5091644857584104,-413.94835102552463,21.15255036140339,0.0006548338258096486,-0.3237792404753843,62.1321304196821,64.28598788604452,95.11133488304557,83.53511922787341,-6.146179612029538,12.02111391491727,12.629909433603665,-0.0008097861539816788,-3.3827676370939237
iG,-989.3806759107928,1135.0253445676303,532.2564417636527,140.55968899589715,-894.0378161519992,-1798.297871392745,626.714388036712,986.1828423420742,-1.4778016352393402,9.923741421249382,0.46549205865688165,-27.744622739564726,-23.450730845343607,28.730873736715935,-217.44422475518934,0.26931199593460187,213.56384098641962,-29.276326696243586,-0.007639184693627534,-2.5595390092209405,-33.105752968457,-33.85239673977997,-44.41955917899157,-34.339617865327476,-3.851715227727673,-7.164599043648259,-13.113302456751889,-0.00313229548357225,-10.599759178882657
iE,-2656.447818823845,2672.5954987952405,742.8763766813477,169.32017949768647,-2335.6627514410256,-2935.9346207472936,986.1828423420742,2475.1325100211134,-30.12683545841822,-376.29129673551904,-14.43301540662914,-35.31099249259047,-31.618268755351504,39.905634385875416,-284.42194946286133,0.36181168119683005,264.8996675919256,-101.28919134446782,-0.020802246991838795,-6.7054135789452864,-47.25808577625767,-50.60462082514594,-68.78331059694605,-58.98087585777257,-8.526177092514072,-18.494158971356782,-13.79868735629374,-0.008036766401311138,-26.912162965242217
Kd0,39.073893265443175,-37.25221224683671,134.21185572514838,35.89081710254497,-89.66021567587553,-33.09120947969977,-1.4778016352393402,-30.12683545841822,42.37281945576916,-2.9214213474878266,-0.13433527628253467,1.6834781731133857,2.800853913836729,-4.518943831556675,-0.0867115404081229,-0.0023173759208959827,-7.321653519378489,-22.281899685075793,-0.0005210150606237757,-0.20409940483878405,-3.944304526105059e-27,1.3805065841367707e-26,-0.26563555088431406,-0.2691112342093343,-0.5746147048573261,-3.944304526105059e-27,-0.11959486691874772,-0.0002699618023745634,-0.9465177672245285
gammaG0,386.76734476671646,-306.39866224245446,-503.4849621974709,-49.5671387175537,-1754.6941151759477,-88.75810749166014,9.923741421249382,-376.29129673551904,-2.9214213474878266,2851.11251898952,121.6403139945443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
