state,n,nominal_standardized_rmse,nominal_standardized_median,model_discrepancy_multiplier,nominal_absolute_floor,nominal_relative_fraction,effective_absolute_floor,effective_relative_fraction,postscale_standardized_rmse
E,126,6.0081983309693525,-0.2105831595830986,6.0081983309693525,2.0,0.025,12.016396661938705,0.15020495827423383,1.0
F,123,3.0046231733921203,1.1593406233165555,3.0046231733921203,2.5,0.025,7.511557933480301,0.075115579334803,1.0
G,121,3.1968048533001476,0.02382937457316612,3.1968048533001476,2.5,0.025,7.992012133250369,0.0799201213325037,1.0
Gly,121,1.5300454205500431,-0.1756549759773637,1.5300454205500431,0.35,0.05,0.535515897192515,0.07650227102750216,1.0
N,121,4.235385919052775,-2.75,4.235385919052775,0.012,0.08,0.050824631028633306,0.33883087352422203,1.0
X,121,8.113040367704386,0.37861666601034594,8.113040367704386,0.06,0.08,0.48678242206226313,0.6490432294163508,1.0
Xd,121,5.6321285751515315,-5.5458011639468925,5.6321285751515315,0.06,0.12,0.33792771450909187,0.6758554290181837,1.0
