parameter,estimate,lower_bound,upper_bound,active_bound,role
co2_yield,0.8148649268955338,0.10000000000000002,3.0000000000000004,False,physical
sensor_gain_TK31,1.1273020733863768,0.25,4.0,False,nuisance
sensor_gain_TK32,1.0469979237573783,0.25,4.0,False,nuisance
sensor_gain_TK33,0.8423607999968238,0.25,4.0,False,nuisance
co2_background_Ln_min,0.15377363841861985,1.0000000000000004e-06,1.5,False,nuisance
