,mu0,qN,betaG0,betaF0,qEG,qEF,gammaG0,gammaF0,oculyze_biomass_scale_kg_m3_per_million_cells_ml
mu0,1.2950397820830228e-06,2.4708901405603277e-06,0.00010539300280785058,-0.0002281047850502509,1.0945989288993984e-05,-0.00017834311294921424,1.8882492509714743e-05,-0.00025568794820646803,-4.260834389512117e-06
qN,2.470890140560254e-06,0.0006872171397016943,-0.006623803495335015,0.008226139864285028,-0.0014896973130718574,0.005894689777002446,-0.0040953373743250875,0.04938583099212859,-0.00021226022816934171
betaG0,0.00010539300280784978,-0.006623803495334993,0.228859777205432,-0.33628939826214416,0.05511088038128368,-0.25065340772264594,0.09725849357912084,-0.9409053222419183,-0.0009505187003120172
betaF0,-0.00022810478505024898,0.008226139864285035,-0.3362893982621436,0.580719225569039,-0.08030471420055463,0.4516886710511988,-0.14365242148092047,1.4759521162310476,0.00047522166279383664
qEG,1.0945989288993726e-05,-0.0014896973130718496,0.055110880381283624,-0.0803047142005546,0.020353997072754215,-0.06271179747851527,0.03118474119416105,-0.2814962893699587,-0.0005332845225633642
qEF,-0.0001783431129492127,0.005894689777002462,-0.25065340772264544,0.4516886710511988,-0.06271179747851528,0.3606830485333363,-0.11126119284857244,1.158942789084894,0.00021563303995249353
gammaG0,1.8882492509713876e-05,-0.0040953373743250875,0.0972584935791209,-0.1436524214809202,0.031184741194161116,-0.11126119284857214,0.06544381859613674,-0.6848602511432466,-0.00030153829634817035
gammaF0,-0.0002556879482064547,0.0493858309921287,-0.9409053222419183,1.4759521162310392,-0.2814962893699593,1.1589427890848856,-0.6848602511432469,8.629220669237034,-0.0037860666064394232
oculyze_biomass_scale_kg_m3_per_million_cells_ml,-4.2608343895123525e-06,-0.00021226022816934196,-0.0009505187003120444,0.0004752216627938971,-0.0005332845225633694,0.0002156330399525423,-0.00030153829634817247,-0.0037860666064394506,0.00023002237861843448
