model_variant,species,experiment_id,terminal_time_h,initial_liquid_inventory_ug,biological_production_ug,terminal_liquid_inventory_ug,terminal_line_inventory_ug,emitted_or_drained_ug,recovered_condensate_ug,emitted_but_unrecovered_ug,mass_closure_error_ug,volatile_fraction_of_available_mass,effective_recovery_fraction_of_drained_mass
assumed_complete_capture_delayed_response,ethyl_octanoate,26157,170.0,918.8239632359423,25981.746223870836,17604.70113855427,0.0,9295.869048552513,9295.869048552513,0.0,-1.8189894035458565e-12,0.3455640153310931,1.0
assumed_complete_capture_delayed_response,ethyl_octanoate,26158,170.0,756.9364512536309,25505.901780101925,17269.591210912535,0.0,8993.247020443008,8993.247020443008,0.0,1.2732925824820995e-11,0.3424324111971207,1.0
assumed_complete_capture_delayed_response,ethyl_octanoate,26159,211.0,844.188197942342,25337.54938444279,18541.181326139078,0.0,7640.556256246064,7640.556256246064,0.0,-9.094947017729282e-12,0.291827699830991,1.0
assumed_complete_capture_delayed_response,ethyl_octanoate,26210,187.0,939.0647106065237,27971.133527330952,19697.37440102031,0.0,9212.82383691718,9212.82383691718,0.0,-1.6370904631912708e-11,0.31867037925833486,1.0
assumed_complete_capture_delayed_response,ethyl_octanoate,26211,187.0,648.965182249668,28426.702733687456,19758.722647546267,0.0,9316.945268390851,9316.945268390851,0.0,5.4569682106375694e-12,0.32043787593556855,1.0
assumed_complete_capture_delayed_response,ethyl_octanoate,26212,187.0,586.1552279320907,28842.321559490134,20564.655640191944,0.0,8863.821147230288,8863.821147230288,0.0,-9.094947017729282e-12,0.30119877461747185,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26157,170.0,575.0,324921.42792612204,260528.2179403379,0.0,64968.209985783826,64968.209985783826,0.0,3.128661774098873e-10,0.19959730556714333,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26158,170.0,575.0,316216.3501123033,254293.89346624908,0.0,62497.45664605402,62497.45664605402,0.0,1.7462298274040222e-10,0.19728271186665458,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26159,211.0,575.0,323201.14024650893,268900.1269506647,0.0,54876.01329584393,54876.01329584393,0.0,3.2741809263825417e-10,0.1694875145959296,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26210,187.0,575.0,330102.7882386234,275758.30144535657,0.0,54919.486793266486,54919.486793266486,0.0,3.5652192309498787e-10,0.16608157168885965,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26211,187.0,575.0,336580.8303162402,279964.2341318893,0.0,57191.596184351154,57191.596184351154,0.0,-2.546585164964199e-10,0.16962956307386845,1.0
assumed_complete_capture_delayed_response,isoamyl_acetate,26212,187.0,575.0,338888.21479600004,287752.8723179515,0.0,51710.34247804821,51710.34247804821,0.0,3.128661774098873e-10,0.15232973772761643,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26157,170.0,918.8239632359423,27257.133689775084,18352.45603677166,0.0,9823.501616239344,9823.501616239344,0.0,2.546585164964199e-11,0.34864836671095556,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26158,170.0,756.9364512536309,26488.89283111168,17859.099993185682,0.0,9386.72928917962,9386.72928917962,0.0,7.275957614183426e-12,0.3445198599719305,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26159,211.0,844.188197942342,27399.03499174374,19854.773811063467,0.0,8388.449378622596,8388.449378622596,0.0,2.000888343900442e-11,0.2970075094575575,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26210,187.0,939.0647106065237,27507.23407491456,19735.532079452998,0.0,8710.766706068069,8710.766706068069,0.0,1.4551915228366852e-11,0.30621792914942497,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26211,187.0,648.965182249668,28037.512917601824,19867.210203410137,0.0,8819.26789644135,8819.26789644135,0.0,3.637978807091713e-12,0.30743641187821547,1.0
assumed_complete_capture_equilibrium,ethyl_octanoate,26212,187.0,586.1552279320907,27650.07360784463,20390.75446699476,0.0,7845.47436878195,7845.47436878195,0.0,1.0913936421275139e-11,0.2778513524030284,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26157,170.0,575.0,327802.1460511661,262518.7834724503,0.0,65858.36257871603,65858.36257871603,0.0,-1.8917489796876907e-10,0.2005570831304268,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26158,170.0,575.0,318243.14697514276,255717.12347518004,0.0,63101.02349996291,63101.02349996291,0.0,-1.8189894035458565e-10,0.1979216807407224,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26159,211.0,575.0,328763.4428176932,273079.1546803661,0.0,56259.2881373269,56259.2881373269,0.0,2.255546860396862e-10,0.17082514769910867,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26210,187.0,575.0,328365.55756760115,274912.7032951858,0.0,54027.854272415105,54027.854272415105,0.0,2.3283064365386963e-10,0.164248077743687,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26211,187.0,575.0,335069.02495484194,279355.20668301545,0.0,56288.81827182673,56288.81827182673,0.0,-2.4010660126805305e-10,0.16770391869600512,1.0
assumed_complete_capture_equilibrium,isoamyl_acetate,26212,187.0,575.0,335207.4711485688,286087.42051108094,0.0,49695.05063748784,49695.05063748784,0.0,7.275957614183426e-12,0.14799775124503148,1.0
