model_variant,species,parameter,folds,median_estimate,minimum_estimate,maximum_estimate,log_standard_deviation,active_bound_fraction
assumed_complete_capture_delayed_response,ethyl_octanoate,activation_peak_h,6,8.42477199997421,7.208885333069536,62.620568992920695,0.8411185197532237,0.0
assumed_complete_capture_delayed_response,ethyl_octanoate,formation_growth_ug_per_g_sugar,6,1.272741775961734,0.8917006861180332,1.7298463716745556,0.2601206015416515,0.0
assumed_complete_capture_delayed_response,ethyl_octanoate,formation_stationary_ug_per_g_sugar,6,0.5361585207222834,0.3573583605251266,0.6265923054486412,0.20447025530267254,0.0
assumed_complete_capture_delayed_response,ethyl_octanoate,pulse_formation_ug_per_g_sugar,6,0.714275154228551,0.2101743477408963,1.101096855584757,0.6247949844522305,0.0
assumed_complete_capture_delayed_response,isoamyl_acetate,activation_peak_h,6,4.32375947477972,3.2982064040151835,4.889387833646444,0.13668957419314365,0.0
assumed_complete_capture_delayed_response,isoamyl_acetate,formation_growth_ug_per_g_sugar,6,8.66947853968881,2.6717944640660107,12.952970240373087,0.6903038793192298,0.0
assumed_complete_capture_delayed_response,isoamyl_acetate,formation_stationary_ug_per_g_sugar,6,8.792335980178537,7.457805655963644,10.679369781553582,0.14823889324423803,0.0
assumed_complete_capture_delayed_response,isoamyl_acetate,pulse_formation_ug_per_g_sugar,6,3.8570607858720667,2.9911675748824633,7.555674407955044,0.3581760093431264,0.0
assumed_complete_capture_equilibrium,ethyl_octanoate,formation_growth_ug_per_g_sugar,6,1.0372110108166746,0.6145296991663,1.5700843792857806,0.32264923973156745,0.0
assumed_complete_capture_equilibrium,ethyl_octanoate,formation_stationary_ug_per_g_sugar,6,0.7454150365438528,0.6859528470785075,0.8199681837679946,0.06020850923433353,0.0
assumed_complete_capture_equilibrium,isoamyl_acetate,formation_growth_ug_per_g_sugar,6,9.725752874850244,2.6554260866329567,13.26737382375123,0.7158112460295607,0.0
assumed_complete_capture_equilibrium,isoamyl_acetate,formation_stationary_ug_per_g_sugar,6,9.503609535723182,8.02746036533788,11.395687594519316,0.14277716114163122,0.0
