analysis_policy,model_variant,species,domain,n_observed_scored,observed_mean,rmse,nrmse_over_mean,mae,bias
exclude_26211_P12_wine,assumed_complete_capture_delayed_response,ethyl_octanoate,wine,32,70.37155370397794,20.040267565246257,0.2847779608440481,15.645957534572462,-1.180162958261442
exclude_26211_P12_wine,assumed_complete_capture_delayed_response,isoamyl_acetate,wine,32,973.3164673626593,424.3042954362975,0.43593662458625704,352.7590823032857,-55.48997838410148
exclude_26211_P12_wine,assumed_complete_capture_equilibrium,ethyl_octanoate,wine,32,70.37155370397794,19.24822850669365,0.2735228582228332,14.974865834518114,-1.6775215604930431
exclude_26211_P12_wine,assumed_complete_capture_equilibrium,isoamyl_acetate,wine,32,973.3164673626593,417.7680509353038,0.42922118852802965,345.56111363645243,-58.71710165420982
primary,assumed_complete_capture_delayed_response,ethyl_octanoate,wine,33,75.09413675958885,31.90170198141924,0.42482280718601745,19.6470841847323,-4.393106615138553
primary,assumed_complete_capture_delayed_response,isoamyl_acetate,wine,33,1026.597990446111,491.5405986199059,0.478805338793139,385.4142891259303,-74.90506475321303
primary,assumed_complete_capture_equilibrium,ethyl_octanoate,wine,33,75.09413675958885,31.48955705879512,0.41933443032453777,18.808595712441868,-5.167066637116895
primary,assumed_complete_capture_equilibrium,isoamyl_acetate,wine,33,1026.597990446111,487.7460658168667,0.4751091180345242,380.9020424525648,-79.87924320022772
exclude_26211_P12_wine,assumed_complete_capture_delayed_response,ethyl_octanoate,condensate,19,395.7460802587198,1866.2685340205926,4.71582316823079,1365.7770310800395,1319.5817110028988
exclude_26211_P12_wine,assumed_complete_capture_delayed_response,isoamyl_acetate,condensate,13,1697.7617407767245,11474.083930807528,6.758359347618556,9369.565060810564,9369.565060810564
exclude_26211_P12_wine,assumed_complete_capture_equilibrium,ethyl_octanoate,condensate,19,395.7460802587198,1861.7212032149957,4.704332641773462,1344.249955522969,1286.4146977271603
exclude_26211_P12_wine,assumed_complete_capture_equilibrium,isoamyl_acetate,condensate,13,1697.7617407767245,11342.41819474082,6.680806807174058,9241.604187779243,9241.604187779243
primary,assumed_complete_capture_delayed_response,ethyl_octanoate,condensate,19,395.7460802587198,1865.7253013825111,4.714450488461665,1370.1129941793558,1323.9176741022152
primary,assumed_complete_capture_delayed_response,isoamyl_acetate,condensate,13,1697.7617407767245,11726.70677131259,6.907156928832448,9598.095461789395,9598.095461789395
primary,assumed_complete_capture_equilibrium,ethyl_octanoate,condensate,19,395.7460802587198,1877.7572871704892,4.744853785899538,1359.0984856349398,1301.263227839131
primary,assumed_complete_capture_equilibrium,isoamyl_acetate,condensate,13,1697.7617407767245,11583.324066004905,6.8227029669696435,9456.622023852466,9456.622023852466
