analysis_policy,left_out_run,species,model_variant,parameter,estimate,lower_bound,upper_bound,active_bound,std_log_local
primary,26157,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,1.318831097914911,0.00010000000000000009,10000.00000000001,False,1.2991666843576306
primary,26157,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.6859528470785075,0.00010000000000000009,10000.00000000001,False,0.3583646480117955
primary,26158,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,0.9647036781258292,0.00010000000000000009,10000.00000000001,False,1.9228529745016427
primary,26158,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.7494972028075498,0.00010000000000000009,10000.00000000001,False,0.3440975090057794
primary,26159,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,1.5700843792857806,0.00010000000000000009,10000.00000000001,False,1.0107119399939106
primary,26159,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.7113927827932514,0.00010000000000000009,10000.00000000001,False,0.3200757910816093
primary,26210,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,0.6145296991663,0.00010000000000000009,10000.00000000001,False,2.6689223922735112
primary,26210,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.8199681837679946,0.00010000000000000009,10000.00000000001,False,0.28852788964503207
primary,26211,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,1.1097183435075197,0.00010000000000000009,10000.00000000001,False,0.9456050419649776
primary,26211,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.7414564285685857,0.00010000000000000009,10000.00000000001,False,0.1995542989767073
primary,26212,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,0.9517376108108799,0.00010000000000000009,10000.00000000001,False,2.0924999739273136
primary,26212,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.7493736445191199,0.00010000000000000009,10000.00000000001,False,0.3987539101142329
primary,26157,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,13.26737382375123,0.00010000000000000009,10000.00000000001,False,1.6232498298140055
primary,26157,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,8.02746036533788,0.00010000000000000009,10000.00000000001,False,0.44463587045418795
primary,26158,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,9.846626044083976,0.00010000000000000009,10000.00000000001,False,2.3454310591587295
primary,26158,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,8.551679449508544,0.00010000000000000009,10000.00000000001,False,0.4477329130829207
primary,26159,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,13.097047519936444,0.00010000000000000009,10000.00000000001,False,1.8086273631019278
primary,26159,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,8.963169803158799,0.00010000000000000009,10000.00000000001,False,0.5037952863900398
primary,26210,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,2.6554260866329567,0.00010000000000000009,10000.00000000001,False,5.503366281841807
primary,26210,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,11.395687594519316,0.00010000000000000009,10000.00000000001,False,0.26710313130031055
primary,26211,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,9.60487970561651,0.00010000000000000009,10000.00000000001,False,2.060619810856208
primary,26211,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,10.044049268287566,0.00010000000000000009,10000.00000000001,False,0.3435288306349308
primary,26212,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,3.2064363190992284,0.00010000000000000009,10000.00000000001,False,5.117080680652482
primary,26212,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,11.073727412775794,0.00010000000000000009,10000.00000000001,False,0.2963062725763013
primary,26157,ethyl_octanoate,assumed_complete_capture_delayed_response,formation_growth_ug_per_g_sugar,1.7298463716745556,0.00010000000000000009,10000.00000000001,False,1.1983757838362212
primary,26157,ethyl_octanoate,assumed_complete_capture_delayed_response,formation_stationary_ug_per_g_sugar,0.3573583605251266,0.00010000000000000009,10000.00000000001,False,1.6398665993725112
primary,26157,ethyl_octanoate,assumed_complete_capture_delayed_response,pulse_formation_ug_per_g_sugar,0.6458268936970067,0.00010000000000000009,10000.00000000001,False,1.7296876219208572
