fit_scope,species,model_variant,parameter,estimate,lower_bound,upper_bound,active_bound,std_log_local
all_data,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,1.095272783199732,0.00010000000000000009,10000.00000000001,False,1.403296277187053
all_data,ethyl_octanoate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,0.7414947913249346,0.00010000000000000009,10000.00000000001,False,0.29710902060846694
all_data,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_growth_ug_per_g_sugar,8.054071745919805,0.00010000000000000009,10000.00000000001,False,2.4869228585801872
all_data,isoamyl_acetate,assumed_complete_capture_equilibrium,formation_stationary_ug_per_g_sugar,9.672360023631363,0.00010000000000000009,10000.00000000001,False,0.36983791167523494
all_data,ethyl_octanoate,assumed_complete_capture_delayed_response,formation_growth_ug_per_g_sugar,1.224662179712491,0.00010000000000000009,10000.00000000001,False,1.6131498760415623
all_data,ethyl_octanoate,assumed_complete_capture_delayed_response,formation_stationary_ug_per_g_sugar,0.5376174449666831,0.00010000000000000009,10000.00000000001,False,0.9991399750134117
all_data,ethyl_octanoate,assumed_complete_capture_delayed_response,pulse_formation_ug_per_g_sugar,0.6618882494436978,0.00010000000000000009,10000.00000000001,False,2.1461514272848428
all_data,ethyl_octanoate,assumed_complete_capture_delayed_response,activation_peak_h,8.700164294556192,1.0,119.99999999999997,False,3.003094446403684
all_data,isoamyl_acetate,assumed_complete_capture_delayed_response,formation_growth_ug_per_g_sugar,7.7468674520525465,0.00010000000000000009,10000.00000000001,False,2.5621621633853433
all_data,isoamyl_acetate,assumed_complete_capture_delayed_response,formation_stationary_ug_per_g_sugar,9.157630889872479,0.00010000000000000009,10000.00000000001,False,0.5006011640413239
all_data,isoamyl_acetate,assumed_complete_capture_delayed_response,pulse_formation_ug_per_g_sugar,3.821844067992616,0.00010000000000000009,10000.00000000001,False,5.425649839972706
all_data,isoamyl_acetate,assumed_complete_capture_delayed_response,activation_peak_h,4.146233909817301,1.0,119.99999999999997,False,5.661969196441407
