analysis_policy,left_out_run,model_variant,species,maximum_relative_mass_balance_error,terminal_line_inventory_ug,terminal_cumulative_production_ug,terminal_captured_ug
primary,26157,assumed_complete_capture_equilibrium,ethyl_octanoate,7.466116279671798e-16,0.0,26576.018003405617,9794.172103444058
primary,26158,assumed_complete_capture_equilibrium,ethyl_octanoate,6.00048741696642e-16,0.0,26151.382111797586,9182.932871999621
primary,26159,assumed_complete_capture_equilibrium,ethyl_octanoate,6.168951805649903e-16,0.0,28672.769753904988,9029.68578639559
primary,26210,assumed_complete_capture_equilibrium,ethyl_octanoate,1.2550173288755544e-15,0.0,27503.571125557144,8106.019459140611
primary,26211,assumed_complete_capture_equilibrium,ethyl_octanoate,1.0132990056895588e-15,0.0,28107.405844018504,8855.033425726593
primary,26212,assumed_complete_capture_equilibrium,ethyl_octanoate,7.117958485269651e-16,0.0,27309.764758013953,7597.535639693105
primary,26157,assumed_complete_capture_equilibrium,isoamyl_acetate,9.674796412757618e-16,0.0,301364.238281687,63538.17213990919
primary,26158,assumed_complete_capture_equilibrium,isoamyl_acetate,6.287095020155539e-16,0.0,293303.49254745926,59317.1835464427
primary,26159,assumed_complete_capture_equilibrium,isoamyl_acetate,1.0823564311208936e-15,0.0,330543.67209010985,58483.06296233296
primary,26210,assumed_complete_capture_equilibrium,isoamyl_acetate,1.6503550845530631e-15,0.0,353486.8427569906,53564.11051020554
primary,26211,assumed_complete_capture_equilibrium,isoamyl_acetate,8.32652924383829e-16,0.0,354051.63946608367,60301.511471095066
primary,26212,assumed_complete_capture_equilibrium,isoamyl_acetate,5.760515879963303e-16,0.0,359195.4138338813,49344.80467313463
primary,26157,assumed_complete_capture_delayed_response,ethyl_octanoate,1.2001050665911957e-15,0.0,24476.364003191695,8915.582840175211
primary,26158,assumed_complete_capture_delayed_response,ethyl_octanoate,1.7063979515492554e-15,0.0,24880.274666706722,8609.6419707458
primary,26159,assumed_complete_capture_delayed_response,ethyl_octanoate,1.0445727049238255e-15,0.0,27216.06339447532,8509.958670216949
primary,26210,assumed_complete_capture_delayed_response,ethyl_octanoate,8.029688683269012e-16,0.0,28575.149855851,9096.554876006838
primary,26211,assumed_complete_capture_delayed_response,ethyl_octanoate,7.229452900647112e-16,0.0,28739.06211222801,9701.425240183391
primary,26212,assumed_complete_capture_delayed_response,ethyl_octanoate,4.967709787288743e-16,0.0,28900.071270531716,7990.977341711957
primary,26157,assumed_complete_capture_delayed_response,isoamyl_acetate,4.538075103797509e-16,0.0,297089.99616237386,62322.278528118986
primary,26158,assumed_complete_capture_delayed_response,isoamyl_acetate,5.365191968072128e-16,0.0,289357.1889684082,58121.73026301406
primary,26159,assumed_complete_capture_delayed_response,isoamyl_acetate,2.1636394994755943e-15,0.0,323083.06262074626,56887.11341372678
primary,26210,assumed_complete_capture_delayed_response,isoamyl_acetate,1.0417811171213574e-15,0.0,358411.49238599604,55661.807584918446
primary,26211,assumed_complete_capture_delayed_response,isoamyl_acetate,1.3814299003839065e-15,0.0,357131.28860438144,61481.820416507086
primary,26212,assumed_complete_capture_delayed_response,isoamyl_acetate,6.96434780640703e-16,0.0,362408.11140965443,51193.03131857797
exclude_26211_P12_wine,26157,assumed_complete_capture_equilibrium,ethyl_octanoate,1.0736563751045342e-15,0.0,26206.06548841789,9711.19792659892
exclude_26211_P12_wine,26158,assumed_complete_capture_equilibrium,ethyl_octanoate,7.376338324557941e-16,0.0,25749.38511665248,9070.59673997975
exclude_26211_P12_wine,26159,assumed_complete_capture_equilibrium,ethyl_octanoate,8.69352705475735e-16,0.0,28249.138684844253,8924.009381169231
exclude_26211_P12_wine,26210,assumed_complete_capture_equilibrium,ethyl_octanoate,6.31492177485628e-16,0.0,27120.09363760753,8046.949916399311
exclude_26211_P12_wine,26211,assumed_complete_capture_equilibrium,ethyl_octanoate,1.0132990056895588e-15,0.0,28107.405844018504,8855.033425726593
exclude_26211_P12_wine,26212,assumed_complete_capture_equilibrium,ethyl_octanoate,1.858807457886696e-15,0.0,26830.38476346438,7604.742925458994
exclude_26211_P12_wine,26157,assumed_complete_capture_equilibrium,isoamyl_acetate,1.0143755611602595e-15,0.0,294396.29297895357,62425.06148343355
exclude_26211_P12_wine,26158,assumed_complete_capture_equilibrium,isoamyl_acetate,6.355359751238069e-16,0.0,286079.21765652206,58133.23461247208
exclude_26211_P12_wine,26159,assumed_complete_capture_equilibrium,isoamyl_acetate,1.1212894579092755e-15,0.0,315631.1304425677,56470.14753022739
exclude_26211_P12_wine,26210,assumed_complete_capture_equilibrium,isoamyl_acetate,7.313798975174098e-16,0.0,342011.83632652083,52025.7263218083
exclude_26211_P12_wine,26211,assumed_complete_capture_equilibrium,isoamyl_acetate,8.32652924383829e-16,0.0,354051.63946608367,60301.511471095066
exclude_26211_P12_wine,26212,assumed_complete_capture_equilibrium,isoamyl_acetate,1.0289067825057624e-15,0.0,347717.3782951515,48154.399452112724
exclude_26211_P12_wine,26157,assumed_complete_capture_delayed_response,ethyl_octanoate,4.638461066519067e-16,0.0,24342.15511141293,8905.86274341058
exclude_26211_P12_wine,26158,assumed_complete_capture_delayed_response,ethyl_octanoate,8.71577019546518e-16,0.0,24603.103708890005,8543.898357014587
exclude_26211_P12_wine,26159,assumed_complete_capture_delayed_response,ethyl_octanoate,7.401229521378932e-16,0.0,26891.219552018156,8437.299510922863
exclude_26211_P12_wine,26210,assumed_complete_capture_delayed_response,ethyl_octanoate,5.41560981768283e-16,0.0,28142.09877681321,8996.497433896164
exclude_26211_P12_wine,26211,assumed_complete_capture_delayed_response,ethyl_octanoate,7.229452900647112e-16,0.0,28739.06211222801,9701.425240183391
exclude_26211_P12_wine,26212,assumed_complete_capture_delayed_response,ethyl_octanoate,8.128563378984019e-16,0.0,27136.650129891255,7922.725272215725
exclude_26211_P12_wine,26157,assumed_complete_capture_delayed_response,isoamyl_acetate,4.311851405899214e-16,0.0,290311.6457220645,61347.07558083573
exclude_26211_P12_wine,26158,assumed_complete_capture_delayed_response,isoamyl_acetate,6.254377498000661e-16,0.0,282148.57965932216,57027.16848594375
exclude_26211_P12_wine,26159,assumed_complete_capture_delayed_response,isoamyl_acetate,6.394967231688833e-16,0.0,307702.01054835116,54785.322373764386
exclude_26211_P12_wine,26210,assumed_complete_capture_delayed_response,isoamyl_acetate,5.591254112852666e-16,0.0,346567.44076980784,53833.31403600382
exclude_26211_P12_wine,26211,assumed_complete_capture_delayed_response,isoamyl_acetate,1.3814299003839065e-15,0.0,357131.28860438144,61481.820416507086
exclude_26211_P12_wine,26212,assumed_complete_capture_delayed_response,isoamyl_acetate,8.702282189176747e-16,0.0,350211.70371671533,49669.994353697904
