policy,time_h,solution,selected_for_operation,yan_target_mg_l,organic_product_g,dap_fda_g,yan_reconstructed_mg_l,reconstruction_error_mg_l,organic_total_limit_g,dap_fda_total_limit_g,organic_total_slack_g,dap_fda_total_slack_g,per_event_organic_limit_g,per_event_dap_fda_limit_g,translation_blocker
anchor_18C,48.0,minimum_dap_endpoint,False,80.0,92.0,46.0,80.0,0.0,92.0,220.8,0.0,174.8,,,True
anchor_18C,48.0,maximum_dap_endpoint,False,80.0,0.0,92.0,80.0,0.0,92.0,220.8,92.0,128.8,,,True
refined_2_A,0.0,minimum_dap_endpoint,False,79.99999910996878,32.421372282759414,75.78931283508439,79.99999910996877,-1.4210854715202004e-14,92.0,220.8,0.0,5.737641750112971,,,True
refined_2_A,8.0,minimum_dap_endpoint,False,79.99999856440085,32.42137206165866,75.78931231823165,79.99999856440085,0.0,92.0,220.8,0.0,5.737641750112971,,,True
refined_2_A,96.0,minimum_dap_endpoint,False,67.01074862987996,27.157255655581924,63.48373309657098,67.01074862987994,-1.4210854715202004e-14,92.0,220.8,0.0,5.737641750112971,,,True
refined_2_A,0.0,maximum_dap_endpoint,False,79.99999910996878,28.37741099568299,77.8112934786226,79.99999910996878,0.0,92.0,220.8,11.475283500225927,0.0,,,True
refined_2_A,8.0,maximum_dap_endpoint,False,79.99999856440085,28.377410802160423,77.81129294798077,79.99999856440085,0.0,92.0,220.8,11.475283500225927,0.0,,,True
refined_2_A,96.0,maximum_dap_endpoint,False,67.01074862987996,23.769894701930657,65.17741357339662,67.01074862987996,0.0,92.0,220.8,11.475283500225927,0.0,,,True
refined_2_B,0.0,minimum_dap_endpoint,False,79.99999985759797,46.000000310816326,68.99999968082949,79.99999985759796,-1.4210854715202004e-14,92.0,220.8,4.263256414560601e-14,82.80000157079004,,,True
refined_2_B,24.0,minimum_dap_endpoint,False,79.99999877649763,45.999999689183625,68.99999874838046,79.99999877649763,0.0,92.0,220.8,4.263256414560601e-14,82.80000157079004,,,True
refined_2_B,0.0,maximum_dap_endpoint,False,79.99999985759797,0.0,91.99999983623766,79.99999985759796,-1.4210854715202004e-14,92.0,220.8,92.0,36.800001570790045,,,True
refined_2_B,24.0,maximum_dap_endpoint,False,79.99999877649763,0.0,91.99999859297228,79.99999877649763,0.0,92.0,220.8,92.0,36.800001570790045,,,True
