rank_after_eight_member_rerank,canonical_policy_hash,source_seed,source_seed_contributors,search_robust_score,eight_member_robust_score,full_ensemble_robust_score,robust_score,median,q10,minimum,tail_cvar,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,completion_probability,maximum_residual_sugar_g_l
1,3b523469574f31043c3c5aeecb5a9e866e0d020695b2830cb5de52398e399a2c,20260731,20260731,18.83950180349431,18.884544193699185,21.12057719065728,21.138622320941906,22.524753780982817,16.980227940819173,12.51349100786128,15.184731425047145,0.18790267571205865,5958.848283381042,1.0,2.486739583004355
2,3039595fb01080e4db9fd46de23fcdba95709adcd66bb0ecb8cbe72467c41b88,20260731,20260731,18.84100818256891,18.86775642872152,21.12444928976593,21.142028330034435,22.53580074692627,16.960711079358926,12.511545431223535,15.19033753349478,0.18790703945985676,5966.451109658045,1.0,2.486739583004355
3,47a0826982959107a07fff53b8e9f6933f46701f8aa1f72fa563831dee64f715,20260731,20260731,18.847838637731567,18.86359014538444,21.124715796075247,21.142373145418752,22.535874818281602,16.961868126830193,12.415406642712785,15.176303540146753,0.18790900030024585,5961.600878318592,1.0,2.486739583004355
4,e65a51894649dec98f2262f377bf9a469c7c6e1dcb14dd04746ea189bcc20434,20260731,20260731,18.86027232025813,18.85560151994211,21.128804434601317,21.14595635520508,22.54794697733728,16.939984488808474,12.49749319895037,15.194679937046574,0.18792099306043325,5971.60201171831,1.0,2.486739583004355
5,f7ae2f9a8456c49ef42bf06a7ad08805ec246499d00b306c3bbdae985679d52d,20260731,20260731,18.857477233760154,18.852425185155656,21.118694583614314,21.136111074193902,22.534655040100386,16.940479176474454,12.53017152112879,15.194676897966403,0.1879024009071007,5979.626636323016,1.0,2.486739583004355
