independent_seed,iteration,normalized_position_diversity,unique_canonical_policy_pairs,canonical_policy_pair_fraction
20260717,0,0.3153757555950063,24,1.0
20260717,1,0.18218702147338037,24,1.0
20260717,2,0.16777312129556338,24,1.0
20260717,3,0.1577049994061567,24,1.0
20260717,4,0.16382132204452374,24,1.0
20260717,5,0.16865958036587517,24,1.0
20260717,6,0.15285200760574547,24,1.0
20260717,7,0.1374687855441915,24,1.0
20260717,8,0.12458896144086333,24,1.0
20260717,9,0.10795424308290401,24,1.0
20260717,10,0.10224017694657461,24,1.0
20260717,11,0.09489438310662525,24,1.0
20260717,12,0.08933651883600953,24,1.0
20260717,13,0.07019938740504537,24,1.0
20260717,14,0.06237195489557432,24,1.0
20260717,15,0.06773097135997132,24,1.0
20260717,16,0.06616031865735597,24,1.0
20260717,17,0.07127418441358252,24,1.0
20260717,18,0.07318627447367804,24,1.0
20260717,19,0.06634373636194611,24,1.0
20260717,20,0.06510272624649184,24,1.0
20260731,0,0.3162091247078611,24,1.0
20260731,1,0.20229926863084235,24,1.0
20260731,2,0.1332015760765457,24,1.0
20260731,3,0.14879920334820954,24,1.0
20260731,4,0.1361852985283871,24,1.0
20260731,5,0.13868000257327248,24,1.0
20260731,6,0.12517186304707495,24,1.0
20260731,7,0.11166330986138245,24,1.0
20260731,8,0.09622024389673535,24,1.0
20260731,9,0.07986004375935686,24,1.0
20260731,10,0.06340852008032823,24,1.0
20260731,11,0.05556993785025999,24,1.0
20260731,12,0.0500779826424188,24,1.0
20260731,13,0.0430239172680105,24,1.0
20260731,14,0.03660474399885545,24,1.0
20260731,15,0.030340799356670348,24,1.0
20260731,16,0.03250959041880858,24,1.0
20260731,17,0.034852392578495296,24,1.0
20260731,18,0.033787509331661005,24,1.0
20260731,19,0.03382974439693769,24,1.0
20260731,20,0.03166602660211599,24,1.0
20260747,0,0.3159776263059726,24,1.0
20260747,1,0.17626765982677084,24,1.0
20260747,2,0.16436959460223888,24,1.0
20260747,3,0.16959775033806965,24,1.0
20260747,4,0.14896752101259988,24,1.0
20260747,5,0.13682814535845467,24,1.0
20260747,6,0.12701911190175666,24,1.0
20260747,7,0.10433553523083851,24,1.0
20260747,8,0.08290640411365267,24,1.0
20260747,9,0.07633409261336553,20,0.8333333333333334
20260747,10,0.0661462072795871,24,1.0
20260747,11,0.06483499332584271,13,0.5416666666666666
20260747,12,0.05917768255149424,11,0.4583333333333333
20260747,13,0.052349074370230356,10,0.4166666666666667
20260747,14,0.035424463755152034,8,0.3333333333333333
20260747,15,0.02981490233782866,6,0.25
20260747,16,0.13867798300830758,10,0.4166666666666667
20260747,17,0.06649776097093713,9,0.375
20260747,18,0.0681392624024279,24,1.0
20260747,19,0.06778381846208432,24,1.0
20260747,20,0.061298503987528695,24,1.0
20260761,0,0.314838830096615,24,1.0
20260761,1,0.19758193890457065,24,1.0
20260761,2,0.11516449416013096,24,1.0
20260761,3,0.09993044002338204,24,1.0
20260761,4,0.11899663567871559,24,1.0
20260761,5,0.11225460401947149,24,1.0
20260761,6,0.10057623185199004,24,1.0
20260761,7,0.09972712083675069,24,1.0
20260761,8,0.10095556692169033,24,1.0
20260761,9,0.07405703648752374,24,1.0
20260761,10,0.06042631751921745,24,1.0
20260761,11,0.06431273674307977,24,1.0
20260761,12,0.06846021525092504,24,1.0
20260761,13,0.0686013317991902,24,1.0
20260761,14,0.05781942210180358,24,1.0
20260761,15,0.05403748108303518,24,1.0
20260761,16,0.04480143234750357,24,1.0
20260761,17,0.03480662721574783,24,1.0
20260761,18,0.029475664391562503,24,1.0
20260761,19,0.029130675174395385,24,1.0
20260761,20,0.03144364899407536,24,1.0
20260779,0,0.31742316423076117,24,1.0
20260779,1,0.17798596184554497,24,1.0
20260779,2,0.16690895135290046,24,1.0
20260779,3,0.15847918919498863,24,1.0
20260779,4,0.1466681688964449,24,1.0
20260779,5,0.16705468943651855,24,1.0
20260779,6,0.16233944857310031,24,1.0
20260779,7,0.1566005421872491,24,1.0
20260779,8,0.14307598890336012,24,1.0
20260779,9,0.1356088165488258,24,1.0
20260779,10,0.1210404195794585,24,1.0
20260779,11,0.11594449567598362,24,1.0
20260779,12,0.12394037137686591,24,1.0
20260779,13,0.10872536595313481,24,1.0
20260779,14,0.0965580810791478,24,1.0
20260779,15,0.08454388155492616,24,1.0
20260779,16,0.0685191970433415,24,1.0
20260779,17,0.06171881730651562,24,1.0
20260779,18,0.05216800859682586,24,1.0
20260779,19,0.04968200535894282,24,1.0
20260779,20,0.05232938110704735,24,1.0
