independent_seed,iteration,best_search_objective,best_search_robust_score,leader_eight_member_objective,leader_eight_member_robust_score,improvement,still_improving
20260717,0,-17.06903573233714,17.06903573233714,-17.506178728912634,17.506178728912634,0.0,False
20260717,1,-17.266376803462727,17.266376803462727,,,0.1973410711255852,True
20260717,2,-17.358780742442754,17.358780742442754,-17.576104344664216,17.576104344664216,0.09240393898002708,True
20260717,3,-17.558360848054274,17.558360848054274,,,0.1995801056115205,True
20260717,4,-17.683215637147,17.683215637147,-17.876576416663244,17.876576416663244,0.12485478909272629,True
20260717,5,-17.787479949158854,17.787479949158854,,,0.10426431201185338,True
20260717,6,-18.00049746186822,18.00049746186822,-17.97792661566454,17.97792661566454,0.2130175127093672,True
20260717,7,-18.00049746186822,18.00049746186822,,,0.0,False
20260717,8,-18.035273039605972,18.035273039605972,-18.012213625542582,18.012213625542582,0.03477557773775075,True
20260717,9,-18.060811998095552,18.060811998095552,,,0.02553895848958021,True
20260717,10,-18.138029603595786,18.138029603595786,-18.1511883549677,18.1511883549677,0.07721760550023404,True
20260717,11,-18.220139257787213,18.220139257787213,,,0.08210965419142724,True
20260717,12,-18.257109570083497,18.257109570083497,-18.17827574072732,18.17827574072732,0.036970312296283225,True
20260717,13,-18.257109570083497,18.257109570083497,,,0.0,False
20260717,14,-18.28844737241681,18.28844737241681,-18.411386659000932,18.411386659000932,0.03133780233331507,True
20260717,15,-18.326622377297934,18.326622377297934,,,0.03817500488112202,True
20260717,16,-18.3530143422633,18.3530143422633,-18.40276065817442,18.40276065817442,0.026391964965366554,True
20260717,17,-18.47209042041318,18.47209042041318,,,0.11907607814988097,True
20260717,18,-18.518745066712054,18.518745066712054,-18.347619779027095,18.347619779027095,0.04665464629887239,True
20260717,19,-18.549383407492876,18.549383407492876,,,0.03063834078082195,True
20260717,20,-18.580039962587364,18.580039962587364,-18.50077092607596,18.50077092607596,0.03065655509448817,True
20260731,0,-16.64991988328243,16.64991988328243,-17.333986300595786,17.333986300595786,0.0,False
20260731,1,-16.995991268054617,16.995991268054617,,,0.3460713847721877,True
20260731,2,-17.37674732274574,17.37674732274574,-17.4415482806031,17.4415482806031,0.3807560546911226,True
20260731,3,-17.397999780164707,17.397999780164707,,,0.021252457418967197,True
20260731,4,-17.99154521206799,17.99154521206799,-17.9683685414944,17.9683685414944,0.5935454319032836,True
20260731,5,-18.071863013002975,18.071863013002975,,,0.08031780093498497,True
20260731,6,-18.261888626208943,18.261888626208943,-18.078674340438834,18.078674340438834,0.1900256132059681,True
20260731,7,-18.39575723734506,18.39575723734506,,,0.1338686111361156,True
20260731,8,-18.51956577267219,18.51956577267219,-18.25768325409996,18.25768325409996,0.12380853532713232,True
20260731,9,-18.707978634688203,18.707978634688203,,,0.18841286201601193,True
20260731,10,-18.731392463583113,18.731392463583113,-18.38892484638042,18.38892484638042,0.023413828894909727,True
20260731,11,-18.815605654172906,18.815605654172906,,,0.08421319058979293,True
20260731,12,-18.826911023626355,18.826911023626355,-18.773761731409795,18.773761731409795,0.011305369453449288,True
20260731,13,-18.83700067925289,18.83700067925289,,,0.0100896556265333,True
20260731,14,-18.83700067925289,18.83700067925289,-18.729771853889165,18.729771853889165,0.0,False
20260731,15,-18.842649023094044,18.842649023094044,,,0.005648343841155423,True
20260731,16,-18.842649023094044,18.842649023094044,-18.732602564942162,18.732602564942162,0.0,False
20260731,17,-18.85224610074854,18.85224610074854,,,0.009597077654497355,True
20260731,18,-18.86027232025813,18.86027232025813,-18.85560151994211,18.85560151994211,0.008026219509588373,True
20260731,19,-18.860766157754014,18.860766157754014,,,0.0004938374958847191,True
20260731,20,-18.860766157754014,18.860766157754014,-18.852425185155656,18.852425185155656,0.0,False
20260747,0,-16.832561565587966,16.832561565587966,-17.3818679547984,17.3818679547984,0.0,False
20260747,1,-17.293435724803352,17.293435724803352,,,0.4608741592153862,True
20260747,2,-17.293435724803352,17.293435724803352,-17.541729374250007,17.541729374250007,0.0,False
20260747,3,-17.593759279481358,17.593759279481358,,,0.3003235546780054,True
20260747,4,-17.767014010802818,17.767014010802818,-17.8484243357514,17.8484243357514,0.1732547313214603,True
20260747,5,-17.967847977219144,17.967847977219144,,,0.2008339664163259,True
20260747,6,-18.066596232628783,18.066596232628783,-18.24521758596576,18.24521758596576,0.09874825540963883,True
20260747,7,-18.250444099374064,18.250444099374064,,,0.18384786674528186,True
20260747,8,-18.399279966005174,18.399279966005174,-18.44040336143669,18.44040336143669,0.14883586663111004,True
20260747,9,-18.399688095852177,18.399688095852177,,,0.0004081298470026695,True
20260747,10,-18.402885133210667,18.402885133210667,-18.45031222652058,18.45031222652058,0.0031970373584897516,True
20260747,11,-18.402885133210667,18.402885133210667,,,0.0,False
20260747,12,-18.402885133210667,18.402885133210667,-18.45031222652058,18.45031222652058,0.0,False
20260747,13,-18.402885133210667,18.402885133210667,,,0.0,False
20260747,14,-18.402885133210667,18.402885133210667,-18.45031222652058,18.45031222652058,0.0,False
20260747,15,-18.402885133210667,18.402885133210667,,,0.0,False
20260747,16,-18.402885133210667,18.402885133210667,-18.45031222652058,18.45031222652058,0.0,False
20260747,17,-18.45793384087485,18.45793384087485,,,0.05504870766418435,True
