variable_index,value
0,27.0
1,1.0
2,1.0
3,0.05589584790561718
4,0.0
5,0.08163836110467666
6,0.0
7,13.0
8,0.0
9,15.0
10,20.087502200216143
11,15.002773828771696
12,27.0
13,1.0
14,0.9478164292306425
15,0.02660003521962457
16,0.0
17,0.0
18,4.274578597654251
19,80.0
20,80.0
21,20.385443857214607
22,27.0
23,1.0
24,0.0
25,1.0
26,1.0
27,0.0
28,13.0
29,5.44653458875546
30,0.6194803493793363
31,15.707194097496265
32,15.0
33,15.0
34,20.30681635614696
35,0.8396679901036104
36,0.004243680232823777
37,1.0
38,0.0
39,11.206307180300469
40,0.7134691439045364
41,80.0
42,24.776275392691723
43,80.0
