independent_seed,particle,source,search_objective,search_robust_score,canonical_policy_hash
20260717,0,seed_profile,-16.574789496124676,16.574789496124676,ab6a9b039c1e0b404ca8edc779970a22d1be6b918371a6c0b1933f095c4724cc
20260717,1,seed_profile,182.93848492858106,-182.93848492858106,b110afac2c88cdcec4a050cd7885a95ac35343907a5c5b5a87484e6bb7ba015d
20260717,2,seed_profile,182.93848492858106,-182.93848492858106,b67975132fba71febbf829a4cf932694fcfa5a2c8704f65d8c0bc7c718997bb7
20260717,3,seed_profile,-16.64991988328243,16.64991988328243,9e5bcf0cc40e137a1d68b623f1c0ff29ec88d5ca0c9c471a091631da246ff868
20260717,4,sobol,182.58773625106534,-182.58773625106534,be4df668a14abb4ff61840195ce413fae47b1d04a6d9f518abd45dc95c9ce2d1
20260717,5,sobol,182.99072521211298,-182.99072521211298,ec1eceb55c547e705d1a0610ccfe265d04fc09b076ee0913b4b9f32792b7940a
20260717,6,sobol,432.7374868946445,-432.7374868946445,4cd04a779a0eae71c23d47acaacaec76a6542ea15e478039c62d75324069e397
20260717,7,sobol,183.73634985595558,-183.73634985595558,52cedd88f42e20d36083f3e1d5ca543bd3307bc4defd8bb6ee93d45f5ef4d81d
20260717,8,sobol,432.72284749762247,-432.72284749762247,307306cce412f4bb2582166a5391f67d23b29d5e31fd41c1cf25b8f8857a30eb
20260717,9,sobol,433.2818060545718,-433.2818060545718,1bb8f1f30dbaf366f0d3cbd8325b63823bf0bf8d1ad4d472744b1f902f8ae18f
20260717,10,sobol,932.4521764796455,-932.4521764796455,2237d401391b33d16d8c7ae75bb946aea380ace6535c87193355464cc896a6b5
20260717,11,sobol,182.76075753217697,-182.76075753217697,3af0847ac83b4225a15ade7720f35d0334979e919311af50aa7872815595a2c9
20260717,12,sobol,432.7646886476824,-432.7646886476824,afc19cb62fbe5176dfda875ed89058aa7d2af699138b1a2e97a7ae298881ed08
20260717,13,sobol,432.9184153206598,-432.9184153206598,f7a5c87fe11d01e5f4ab8d69f8512d1633f95388cf51ef41900a0afc4ef26993
20260717,14,sobol,432.7304931625453,-432.7304931625453,e4b8b92025994ede26a830eec561e31c6be8d00d5219393c75eb62bdf5653eec
20260717,15,sobol,-16.916000881187337,16.916000881187337,473f0a1a280552e4293f3d80f77216855fdade33e4091ba6c2edae7e0edc63e9
20260717,16,sobol,433.22611837440144,-433.22611837440144,26c3db364212ab8760fb99d65cf0f354dcf376252681218c599604fe0790b95a
20260717,17,sobol,-17.06903573233714,17.06903573233714,4438cb653e6e7832aaafd64ee2159149c1297a677c2a8b7975781c4f8b613289
20260717,18,sobol,182.37766066379683,-182.37766066379683,60f9f84ac09f6029200f69e19da655e9f16812b3ad47b499cab2b9629ed15e14
20260717,19,sobol,432.9610955789783,-432.9610955789783,b9cc5674d9df60e340111ba24045b9f1d24e20f20b660eb415e40793292fc87e
20260717,20,sobol,433.20875398268265,-433.20875398268265,5d163738e63c3cf4d019ee4d9154ffefc082fc4270543aa7bd95ea5973752645
20260717,21,sobol,182.61996582849062,-182.61996582849062,a406c9fb9e95962f83abecb390f71e01fb7206ec6b29f16fc19f5e7d2b1a98c1
20260717,22,sobol,682.452288289664,-682.452288289664,f6de41304c6a6c3ab7ace5930de22a2bb754de9aca47a1f159f6653218492528
20260717,23,sobol,183.51671355871196,-183.51671355871196,bd404cd0dc03c7daf810803a552d784d04bca1975161756c3cc68960f2b7ca9e
20260731,0,seed_profile,-16.574789496124676,16.574789496124676,ab6a9b039c1e0b404ca8edc779970a22d1be6b918371a6c0b1933f095c4724cc
20260731,1,seed_profile,182.93848492858106,-182.93848492858106,b110afac2c88cdcec4a050cd7885a95ac35343907a5c5b5a87484e6bb7ba015d
20260731,2,seed_profile,182.93848492858106,-182.93848492858106,b67975132fba71febbf829a4cf932694fcfa5a2c8704f65d8c0bc7c718997bb7
20260731,3,seed_profile,-16.64991988328243,16.64991988328243,9e5bcf0cc40e137a1d68b623f1c0ff29ec88d5ca0c9c471a091631da246ff868
20260731,4,sobol,432.93981366554044,-432.93981366554044,b892502700f804d239c022dda10b95224b32cc95c5ac98c56948544e77c3f528
20260731,5,sobol,183.13542422604323,-183.13542422604323,ef0ea9c734f13610644aafe00d13fc4f20da79ac31c3c29fc690b55c8d736cf2
20260731,6,sobol,432.6549678987678,-432.6549678987678,b762ad9311ea4f50c5025afd502646708de103304a0951ae4443d6722bc5d14c
20260731,7,sobol,433.35529810509405,-433.35529810509405,8f1057db4b028f2e0d363396bbda67dcc82ce116161d857b21c62da2b973ed69
20260731,8,sobol,432.7347081455238,-432.7347081455238,6dad9d01f6c7b0fd3dfc74a741bda20d13ecdb243b5c33a1959da5f2b7b609d9
20260731,9,sobol,182.85904313895202,-182.85904313895202,416e9a8d53a42ecb5e5c279d800ab700281551c5769b05df23109510a82a0378
20260731,10,sobol,182.867902098348,-182.867902098348,13666a22860c8650063c44625b70199ecbfd9c30cb326c14dbefaf3ab8116b1f
20260731,11,sobol,-16.458732965112482,16.458732965112482,71ac4eb7542610aeb84bdab710ac498ca1fd2740f9238a5180d15ee7d47023cb
20260731,12,sobol,182.37833212850862,-182.37833212850862,627679d7a8a8e2089368d1e500c5e419b37f3cf2be0d30ea66ee8b728da377db
20260731,13,sobol,183.1581227396977,-183.1581227396977,159dad5b406be4f6ca94479139482e001b78a0b8b90c1e53d3fbd8db044b9f81
20260731,14,sobol,432.86952365278694,-432.86952365278694,d91e5661551dcdf10c705234b38c510cc0cdf95c64ee0f23e14ee51dd7c5ea9f
20260731,15,sobol,182.84131640340192,-182.84131640340192,088d4413fcfdfcfdcdec6e89860c945bb258caaaed09e19d2e038ff95d8304f7
20260731,16,sobol,432.7424471617015,-432.7424471617015,85ad8ab6f1cdbebf8827efa31f319a9e910707c36d96147029992a86976cf04c
20260731,17,sobol,432.9809714323306,-432.9809714323306,5fa00b0ef03dba5cee06a908734195bf02bafd6e397b2841eec68717cc198e48
20260731,18,sobol,432.72780613147603,-432.72780613147603,dcef9a269b0639aae42cd128fe3509edb82bcbdba8b48117f96c191a3a5ef986
20260731,19,sobol,433.50862954545977,-433.50862954545977,c37b790ef95fb5963ff9e365ceb63ba2b55c9129472e3ab6f3535a3afd806cbf
20260731,20,sobol,183.73074779237567,-183.73074779237567,0cce7ce890d2eb652088b0aea0ed3e5aff340c9dbd4b177db1ec5b76f5ca8886
20260731,21,sobol,682.5783198244313,-682.5783198244313,94850f7cd3b6dc3135353754a0f6cc4026f66654581b68586fdb09b67e7efe8d
20260731,22,sobol,182.8698829708679,-182.8698829708679,4c30ccf36534c943f2bafba91e00570ee30fe440ec7f844a49c30e887e2069d2
20260731,23,sobol,433.0624317513293,-433.0624317513293,8188555641dc12d27332b0429f6a13e8d235e28150c8bd8c4259bc9f534490d9
20260747,0,seed_profile,-16.574789496124676,16.574789496124676,ab6a9b039c1e0b404ca8edc779970a22d1be6b918371a6c0b1933f095c4724cc
20260747,1,seed_profile,182.93848492858106,-182.93848492858106,b110afac2c88cdcec4a050cd7885a95ac35343907a5c5b5a87484e6bb7ba015d
20260747,2,seed_profile,182.93848492858106,-182.93848492858106,b67975132fba71febbf829a4cf932694fcfa5a2c8704f65d8c0bc7c718997bb7
20260747,3,seed_profile,-16.64991988328243,16.64991988328243,9e5bcf0cc40e137a1d68b623f1c0ff29ec88d5ca0c9c471a091631da246ff868
20260747,4,sobol,183.20989426312394,-183.20989426312394,a2090aa5c9d86a9dfa2605400dd4d654ae9ba48b733879e2f00d6d87149e7eff
20260747,5,sobol,432.8003831104321,-432.8003831104321,a15095d4be8868408e2fdfc007c73f324574b571db91be3382735f66e7294ae4
20260747,6,sobol,182.86997289885096,-182.86997289885096,3ced01d60068962fbb049421e91223b15beb0e31df0815bbdf8777dd715f3c16
20260747,7,sobol,183.0320491217395,-183.0320491217395,b54a7661814b7eced7e97973ad5b2e827981f65812b2e97321f916e089e64f61
20260747,8,sobol,-16.832561565587966,16.832561565587966,11d873287b234943ff7be2d5135f5a816e82bd2d1ff23a4d8310931bd3c2e33d
20260747,9,sobol,432.8301480352828,-432.8301480352828,5ab05d8447785c7c2e304ad95e67ca45f9c0805ced75ac443a36a7efb746cde6
20260747,10,sobol,183.01376971519545,-183.01376971519545,82f49732c7cda777cccaa5009a3ae3a3e4a2c6f31e78bd992fa3464db78592fd
20260747,11,sobol,432.6947021920781,-432.6947021920781,ff5707f483cdccd8bafd92f3c66f34b2a61448a43f2180e8b2c6d350362b468a
20260747,12,sobol,433.28008697379533,-433.28008697379533,81264675de44065ef64a0f3626a47ebf6d05cce9872fd6845a84e89486aa3da2
20260747,13,sobol,182.67317481600483,-182.67317481600483,db1031e3b2ef12ca1a7a188004eae95701878dbd1d522e0cd9300910550b0040
20260747,14,sobol,433.0888321349892,-433.0888321349892,d036c2be86186f2110e89ac4cc68c45a1e04ac241757b53c7596185bab701ada
20260747,15,sobol,182.43254205145703,-182.43254205145703,eb60debc16e5af03afb719091b9176d6096d758b43971bd3963ab1baaa417709
20260747,16,sobol,182.89650068163667,-182.89650068163667,49c4593b514c6c6e6797b08f6aa20a7285470c381647a9e49c236714e3265f2c
20260747,17,sobol,432.8797901684316,-432.8797901684316,d3a9536bd2d3f61ada69c3374a0c495b72fb9c24207ca385d8475c5931930898
20260747,18,sobol,432.8106064877257,-432.8106064877257,0aed634dcb9086bb1cc385fcb1ff3ee0064b8c4ba4029ef0dc20ad6c16d238fe
20260747,19,sobol,432.82423597256906,-432.82423597256906,1d711f8505769e5392f56ea699d5894b396edaafcf45329407db020d693c77ad
20260747,20,sobol,433.0064788665393,-433.0064788665393,3dffb9199dd96e45e39b394c92531e53fa934826f1d301d759733f4524bb9cf9
20260747,21,sobol,432.60814235283215,-432.60814235283215,bdb41df6595e2a66763c7da20aae5ca9fec818f029a846c7f030bdab9515231e
20260747,22,sobol,182.886865782824,-182.886865782824,c0effc56bd82146b629a948294ce507e3d68a0b4f80d1efffc96bbd3d8cc3d7f
20260747,23,sobol,183.6809139388826,-183.6809139388826,a555351c8fe32d18658d195d4e9d7e406fffe998933762381990dce255d105b7
20260761,0,seed_profile,-16.574789496124676,16.574789496124676,ab6a9b039c1e0b404ca8edc779970a22d1be6b918371a6c0b1933f095c4724cc
20260761,1,seed_profile,182.93848492858106,-182.93848492858106,b110afac2c88cdcec4a050cd7885a95ac35343907a5c5b5a87484e6bb7ba015d
20260761,2,seed_profile,182.93848492858106,-182.93848492858106,b67975132fba71febbf829a4cf932694fcfa5a2c8704f65d8c0bc7c718997bb7
20260761,3,seed_profile,-16.64991988328243,16.64991988328243,9e5bcf0cc40e137a1d68b623f1c0ff29ec88d5ca0c9c471a091631da246ff868
20260761,4,sobol,183.13703773071188,-183.13703773071188,fa1a2edbb6063eb455dfc08251f29859983276044ed3a6e03deeb29284021595
20260761,5,sobol,432.9396083972185,-432.9396083972185,739c97e073063afca2cd1a9ded65e51864dfd94f3d435f26bbc96d179015ab8a
20260761,6,sobol,182.56395087928388,-182.56395087928388,245cc9529b28be680e7af73a7eca5d47a2d297b09d30a2fd05a2693580c48872
20260761,7,sobol,183.22742776924008,-183.22742776924008,e7fabe475ba02a0391a9df334dbe90a34135602d9f06ac49b9b74f5841f75fbb
20260761,8,sobol,182.9090651080873,-182.9090651080873,64b2bec27f6fcb9edcd8489801f21e1e3932a13d17ad792a79fb7e95db3a1c32
20260761,9,sobol,432.74832693951,-432.74832693951,50f7374b8eeb8f9f58a3165327692d3d39452e5196288dff5f80a19d908fc036
20260761,10,sobol,432.8095267469369,-432.8095267469369,bfc00266f8b17352a65fe80caa9ec340bf37d02f491fd3407c94985716d393c7
20260761,11,sobol,183.4900091499918,-183.4900091499918,beca02f9ded6f274323ad0fabab61b2826e1d0401a764895fa2a031ec9f98db6
20260761,12,sobol,183.03979411958707,-183.03979411958707,69b4df87cbdde685e94fdd417ac59b0533662bb68b767506f8c9724e89a06e2b
20260761,13,sobol,432.9819430210855,-432.9819430210855,d202274a7cd8eaf2f6be743fa13dbd95d9648bfb166f67156a2eac42772602e2
20260761,14,sobol,432.5609090294762,-432.5609090294762,934994c7c27fb4998d582460f8ad2bca7689e67d499436f3312fcac03ecf1355
20260761,15,sobol,183.0465960549764,-183.0465960549764,a785375c32349fd013cb850e1f9cd0089d105ed12df655a730869cc71f1e00e1
20260761,16,sobol,182.8264297906599,-182.8264297906599,fbaeca226fe2d6d97bbb5bd3feb1c044011c034ad8bcc0513b5f2cdad217a28f
20260761,17,sobol,182.83842442352608,-182.83842442352608,4b085d96ad68e398c74c4d12ad1fdcb3baa6350e1bcee23493d19846b8f489c9
20260761,18,sobol,432.43271965585683,-432.43271965585683,627c310492c0a92d9a1cfcf8ca253baa174bfb4835c07c4efd40f59ace55d9ba
20260761,19,sobol,183.4317154684223,-183.4317154684223,11b94f71760babf6b8cae255c9a86356c707c1e3ba471ff6decf40fc38d6bb54
20260761,20,sobol,183.3837268834953,-183.3837268834953,ac0a378523f5549bf27986d4b680c54f04b39b2a8027f0058636a2b3b534255b
20260761,21,sobol,432.50152944204444,-432.50152944204444,0f3afc657dc2c9715547eb34ad801acec1ac329df2f8f6648cbff24d46a23bc7
20260761,22,sobol,433.2264428621897,-433.2264428621897,263892a660abcd793712a426e8bc4953d34b69134cf03f0758ceca9ed826b509
20260761,23,sobol,433.09511184313567,-433.09511184313567,a83a9be20a5f5e643e64c4075441556c78015a02b02025a9f38254d3e3096d9b
20260779,0,seed_profile,-16.574789496124676,16.574789496124676,ab6a9b039c1e0b404ca8edc779970a22d1be6b918371a6c0b1933f095c4724cc
20260779,1,seed_profile,182.93848492858106,-182.93848492858106,b110afac2c88cdcec4a050cd7885a95ac35343907a5c5b5a87484e6bb7ba015d
20260779,2,seed_profile,182.93848492858106,-182.93848492858106,b67975132fba71febbf829a4cf932694fcfa5a2c8704f65d8c0bc7c718997bb7
20260779,3,seed_profile,-16.64991988328243,16.64991988328243,9e5bcf0cc40e137a1d68b623f1c0ff29ec88d5ca0c9c471a091631da246ff868
20260779,4,sobol,932.5888999529664,-932.5888999529664,3b02c6c64fdee76c350650e6beafe6f0d9c8e3a37aab86cdbc093a8540182736
20260779,5,sobol,182.9824508505524,-182.9824508505524,f8a9c9cf8653f2bbd1b0b353998a5f4d18db90390f023c284bc497f4c993547e
20260779,6,sobol,183.37060524061647,-183.37060524061647,24475e0b13d1e3d998520b6b5f427f562c3c752c2410488ff84eba325bd895fd
20260779,7,sobol,183.13049102937998,-183.13049102937998,29bdfeb3764844d92cf6ccc2dbe10cacb5cb06ce5f2f183e6ee2a7946d261c11
20260779,8,sobol,183.04182534905672,-183.04182534905672,53f13d97d0919d16648b7d8a4fbd51e2f648f52d505a673045f68ac3ccf49255
20260779,9,sobol,433.6513263950368,-433.6513263950368,a6210225a7b2e34ce4b500a6c9045d2bb28a03ec2952acd7bca262442944f524
20260779,10,sobol,-17.127866642712185,17.127866642712185,3170b14a733a201b39f90486e77de00aabbe1998b7d8434d4914e5d266214769
20260779,11,sobol,183.03109414416224,-183.03109414416224,1977d2025ad6f3393e81844ad6d08f0159c389dfb0f43677b060d6405331d5eb
20260779,12,sobol,432.6780035176385,-432.6780035176385,3e1a8850eecfaa9d5a9d35dd583a1d596162c33e6c105a427d6b01fa00f94f8b
20260779,13,sobol,183.21209243119102,-183.21209243119102,1cc6a167fa4b1c63a1478a777d7eb79ee4ddd52f02f003b362f3e45df5b3a29a
20260779,14,sobol,183.0821907658456,-183.0821907658456,05871ffa4429f4a9579597b2944b671a3092e7e07ff8e94f82060b023a676759
20260779,15,sobol,433.21934937481376,-433.21934937481376,1f27f5dde40b3f54fa928711635ed93558ec23a71935a4262f55523fe012546c
20260779,16,sobol,182.94173983171353,-182.94173983171353,4ebbb8ec6706556823a979d019529302e520e983b878431b7633238e38b9b4fd
20260779,17,sobol,182.91254514735215,-182.91254514735215,8b2e03c2d85606a14ffc725074da00a6e7a77da73a2e30abfabe8fd0b8e0994a
20260779,18,sobol,433.134731112908,-433.134731112908,b437d26403b4b98443de1b355e80080d3e203d3a667a8006b033a0c4a1ca48f7
20260779,19,sobol,182.71840776439947,-182.71840776439947,63ba21807eb49a7ba8014d31e0bed70b3868b9d75c4715882cf6c18719cad947
20260779,20,sobol,432.9908255867232,-432.9908255867232,778d3ed4917323b71bd98be55b70d71d8bb17b05688aa60a78ac4a5b2438cc82
20260779,21,sobol,183.15007654210905,-183.15007654210905,f8b4bd040f7bec98aea138aa25325b2342cd3877a2892d1264c784f07ea1dc62
20260779,22,sobol,433.4698803598251,-433.4698803598251,1a30b2b1780d89174f59a1a43632ccec8a1328ebb2fce907a80fed9d1d9b77df
20260779,23,sobol,432.81581601707785,-432.81581601707785,5ede56809ad5fa65ef1592719e1edcb1c8b1088ff1c37cb98f58224b20822986
