sample_id,acetaldehyde_mg_l,acetic_acid_g_l,ammonia_mg_l,glucose_g_l,glycerol_g_l,pan_mg_l,pyruvic_acid_mg_l,sugar_total_g_l,process,sample_number,sample_datetime_oculyze,t_h_schedule_reference,sample_datetime_schedule,sample_datetime_session,sample_datetime,time_source,t_h,fructose_g_l,yan_calc_mg_l,ammonia_mg_l_raw,ammonia_mg_l_below_zero,ammonia_mg_l_censored,pan_mg_l_raw,pan_mg_l_below_zero,pan_mg_l_censored,yan_calc_mg_l_raw,yan_calc_mg_l_below_zero,yan_calc_mg_l_censored,yan_for_model_mg_l,nitrogen_any_negative_raw,nitrogen_severe_negative_raw,nitrogen_qc_class,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model_manual,ethanol_pending,ethanol_status,ethanol_sample_type,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes,reactor_volume_before_sample_ml,reactor_volume_after_sample_ml,cumulative_sample_volume_removed_ml,yan_for_model_physical_mg_l,nitrogen_physical_qc_flag,nitrogen_positive_rebound_before_N_pulse,nitrogen_manual_zero_between_50h_and_N_pulse,nitrogen_next_N_pulse_t_h,nitrogen_previous_N_pulse_t_h,nitrogen_has_conflicting_y15_export
DOE-LAB001-1,17.0,0.04,225.0,105.52,0.62,87.0,3.0,237.2,F1,1,2026-06-15 15:30:00,0.0,2026-06-15 15:30:00,2026-06-15 16:36:00,2026-06-15 15:30:00,oculyze_sample_id,0.0,131.68,312.0,225.0,False,225.0,87.0,False,87.0,312.0,False,312.0,312.0,False,False,ok_raw_nonnegative,0.05,,0.05,,0.05,,0.3945000000000001,0.3945000000000001,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,2000.0,1950.0,50.0,312.0,ok,False,False,,,False
DOE-LAB001-2,64.0,0.27,218.0,97.54,1.2,74.0,41.0,229.83,F1,2,2026-06-16 08:30:00,17.0,2026-06-16 08:30:00,2026-06-16 09:10:00,2026-06-16 08:30:00,oculyze_sample_id,17.0,132.29000000000002,292.0,218.0,False,218.0,74.0,False,74.0,292.0,False,292.0,292.0,False,False,conflicting_y15_export,0.82,,0.82,,0.82,,6.4698,6.4698,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,1950.0,1900.0,100.0,292.0,ok,False,False,,,True
DOE-LAB001-3,76.0,0.31,207.0,93.4,1.59,63.0,53.0,217.23,F1,3,2026-06-16 12:00:00,20.5,2026-06-16 12:00:00,2026-06-16 09:10:00,2026-06-16 12:00:00,oculyze_sample_id,20.5,123.82999999999998,270.0,207.0,False,207.0,63.0,False,63.0,270.0,False,270.0,270.0,False,False,conflicting_y15_export,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1900.0,1895.0,105.0,270.0,ok,False,False,,,True
DOE-LAB001-4,62.0,0.33,195.0,85.94,1.55,57.0,44.0,200.35,F1,4,2026-06-16 14:30:00,23.0,2026-06-16 14:30:00,2026-06-16 09:10:00,2026-06-16 14:30:00,oculyze_sample_id,23.0,114.41,252.0,195.0,False,195.0,57.0,False,57.0,252.0,False,252.0,252.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1895.0,1890.0,110.0,252.0,ok,False,False,,,False
DOE-LAB001-5,61.0,0.33,170.0,77.19,1.83,52.0,64.0,182.54,F1,5,2026-06-16 16:30:00,25.0,2026-06-16 16:30:00,2026-06-16 09:10:00,2026-06-16 16:30:00,oculyze_sample_id,25.0,105.35,222.0,170.0,False,170.0,52.0,False,52.0,222.0,False,222.0,222.0,False,False,ok_raw_nonnegative,1.18,,1.18,,1.18,,9.3102,9.3102,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,1890.0,1840.0,160.0,222.0,ok,False,False,,,False
DOE-LAB001-6,267.0,0.57,124.0,73.36,3.3,30.0,106.0,181.07,F1,6,2026-06-17 10:00:00,42.5,2026-06-17 10:00:00,2026-06-17 10:33:00,2026-06-17 10:00:00,oculyze_sample_id,42.5,107.71,154.0,124.0,False,124.0,30.0,False,30.0,154.0,False,154.0,154.0,False,False,ok_raw_nonnegative,2.62,,2.62,,2.62,,20.6718,20.6718,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,1840.0,1790.0,210.0,154.0,ok,False,False,,,False
DOE-LAB001-7,287.0,0.6,108.0,71.89,3.55,26.0,107.0,180.26,F1,7,2026-06-17 12:30:00,45.0,2026-06-17 12:30:00,2026-06-17 10:33:00,2026-06-17 12:30:00,oculyze_sample_id,45.0,108.36999999999999,134.0,108.0,False,108.0,26.0,False,26.0,134.0,False,134.0,134.0,False,False,ok_raw_nonnegative,3.19,,3.19,,3.19,,25.1691,25.1691,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,1790.0,1740.0,260.0,134.0,ok,False,False,,,False
DOE-LAB001-8,274.0,0.66,90.0,68.6,3.65,24.0,101.0,171.54,F1,8,2026-06-17 16:00:00,48.5,2026-06-17 16:00:00,2026-06-17 10:33:00,2026-06-17 16:00:00,oculyze_sample_id,48.5,102.94,114.0,90.0,False,90.0,24.0,False,24.0,114.0,False,114.0,114.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1740.0,1735.0,265.0,114.0,ok,False,False,,,False
DOE-LAB001-9,144.0,0.71,10.0,50.92,5.44,42.0,84.0,143.8,F1,9,2026-06-18 10:00:00,66.5,2026-06-18 10:00:00,2026-06-18 10:48:00,2026-06-18 10:00:00,oculyze_sample_id,66.5,92.88000000000001,52.0,10.0,False,10.0,42.0,False,42.0,52.0,False,52.0,52.0,False,False,ok_raw_nonnegative,5.16,,5.16,,5.16,,40.7124,40.7124,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,,1735.0,1685.0,315.0,52.0,ok,False,False,,,False
DOE-LAB001-10,183.0,0.68,11.0,47.38,5.5,39.0,80.0,136.56,F1,10,2026-06-18 12:30:00,69.0,2026-06-18 12:30:00,2026-06-18 10:48:00,2026-06-18 12:30:00,oculyze_sample_id,69.0,89.18,50.0,11.0,False,11.0,39.0,False,39.0,50.0,False,50.0,50.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1685.0,1680.0,320.0,50.0,ok,False,False,,,False
DOE-LAB001-11,170.0,0.79,7.0,43.2,5.65,38.0,72.0,130.04,F1,11,2026-06-18 16:00:00,72.5,2026-06-18 16:00:00,2026-06-18 10:48:00,2026-06-18 16:00:00,oculyze_sample_id,72.5,86.83999999999999,45.0,7.0,False,7.0,38.0,False,38.0,45.0,False,45.0,45.0,False,False,ok_raw_nonnegative,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1680.0,1630.0,370.0,45.0,ok,False,False,,,False
DOE-LAB001-12,125.0,0.87,1.0,31.06,6.11,-9.0,40.0,104.47,F1,12,2026-06-19 10:00:00,90.5,2026-06-19 10:00:00,2026-06-19 10:18:00,2026-06-19 10:00:00,oculyze_sample_id,90.5,73.41,-8.0,1.0,False,1.0,-9.0,True,0.0,-8.0,True,1.0,1.0,True,False,conflicting_y15_export_and_negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1630.0,1580.0,420.0,1.0,ok,False,False,,,True
DOE-LAB001-13,117.0,0.85,1.0,30.64,6.16,-10.0,35.0,101.78,F1,13,2026-06-19 12:00:00,92.5,2026-06-19 12:00:00,2026-06-19 10:18:00,2026-06-19 12:00:00,oculyze_sample_id,92.5,71.14,-9.0,1.0,False,1.0,-10.0,True,0.0,-9.0,True,1.0,1.0,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1580.0,1575.0,425.0,1.0,ok,False,False,,,False
DOE-LAB001-14,129.0,0.81,2.0,29.85,6.39,-10.0,30.0,102.2,F1,14,2026-06-19 16:00:00,96.5,2026-06-19 16:00:00,2026-06-19 16:24:00,2026-06-19 16:00:00,oculyze_sample_id,96.5,72.35,-8.0,2.0,False,2.0,-10.0,True,0.0,-8.0,True,2.0,2.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1575.0,1525.0,475.0,2.0,ok,False,False,,,False
DOE-LAB001-15,48.0,0.83,-3.0,4.43,7.46,14.0,31.0,37.84,F1,15,2026-06-22 10:00:00,162.5,2026-06-22 10:00:00,2026-06-22 09:29:00,2026-06-22 10:00:00,oculyze_sample_id,162.5,33.410000000000004,11.0,-3.0,True,0.0,14.0,False,14.0,11.0,False,14.0,14.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1525.0,1475.0,525.0,14.0,ok,False,False,,,False
DOE-LAB001-16,68.0,0.87,-1.0,3.33,7.03,13.0,27.0,33.97,F1,16,2026-06-22 16:00:00,168.5,2026-06-22 16:00:00,2026-06-22 09:29:00,2026-06-22 16:00:00,oculyze_sample_id,168.5,30.64,12.0,-1.0,True,0.0,13.0,False,13.0,12.0,False,13.0,13.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1475.0,1425.0,575.0,13.0,ok,False,False,,,False
DOE-LAB001-17,43.0,0.88,2.0,3.41,7.07,10.0,22.0,21.1,F1,17,2026-06-23 10:00:00,186.5,2026-06-23 10:00:00,2026-06-24 15:27:00,2026-06-23 10:00:00,oculyze_sample_id,186.5,17.69,12.0,2.0,False,2.0,10.0,False,10.0,12.0,False,12.0,12.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1425.0,1420.0,580.0,12.0,ok,False,False,,,False
DOE-LAB001-18,58.0,0.88,,2.71,7.23,11.0,25.0,16.26,F1,18,2026-06-23 16:00:00,192.5,2026-06-23 16:00:00,2026-06-24 15:27:00,2026-06-23 16:00:00,oculyze_sample_id,192.5,13.55,,,,,11.0,False,11.0,,,,,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,,1420.0,1415.0,585.0,,ok,False,False,,,False
DOE-LAB001-19,36.0,0.93,2.0,1.41,7.46,26.0,12.0,13.73,F1,19,2026-06-24 11:00:00,211.5,2026-06-24 11:00:00,2026-06-24 10:57:00,2026-06-24 11:00:00,oculyze_sample_id,211.5,12.32,28.0,2.0,False,2.0,26.0,False,26.0,28.0,False,28.0,28.0,False,False,ok_raw_nonnegative,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,Alcolyzer,,,,1415.0,1365.0,635.0,28.0,ok,False,False,,,False
DOE-LAB002-1,42.0,0.05,25.0,62.17,0.75,12.0,12.0,143.94,F2,1,2026-06-15 15:30:00,0.0,2026-06-15 15:30:00,2026-06-15 16:36:00,2026-06-15 15:30:00,oculyze_sample_id,0.0,81.77,37.0,25.0,False,25.0,12.0,False,12.0,37.0,False,37.0,37.0,False,False,ok_raw_nonnegative,1.31,,1.31,,1.31,,10.3359,10.3359,False,measured,ethanol_50mL,50.0,,,,,,2000.0,1950.0,50.0,37.0,ok,False,False,72.5,,False
DOE-LAB002-2,45.0,0.2,-3.0,55.23,1.27,10.0,22.0,131.24,F2,2,2026-06-16 08:30:00,17.0,2026-06-16 08:30:00,2026-06-16 09:10:00,2026-06-16 08:30:00,oculyze_sample_id,17.0,76.01000000000002,7.0,-3.0,True,0.0,10.0,False,10.0,7.0,False,10.0,10.0,True,False,conflicting_y15_export_and_negative_raw_censored_to_zero,1.89,,1.89,,1.89,,14.9121,14.9121,False,measured,ethanol_50mL,50.0,,,,,,1950.0,1900.0,100.0,10.0,ok,False,False,72.5,,True
DOE-LAB002-3,46.0,0.21,6.0,52.25,1.47,9.0,45.0,129.17,F2,3,2026-06-16 12:00:00,20.5,2026-06-16 12:00:00,2026-06-16 09:10:00,2026-06-16 12:00:00,oculyze_sample_id,20.5,76.91999999999999,15.0,6.0,False,6.0,9.0,False,9.0,15.0,False,15.0,15.0,False,False,conflicting_y15_export,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1900.0,1895.0,105.0,15.0,ok,False,False,72.5,,True
DOE-LAB002-4,42.0,0.22,6.0,52.35,1.41,10.0,37.0,113.05,F2,4,2026-06-16 14:30:00,23.0,2026-06-16 14:30:00,2026-06-16 09:10:00,2026-06-16 14:30:00,oculyze_sample_id,23.0,60.699999999999996,16.0,6.0,False,6.0,10.0,False,10.0,16.0,False,16.0,16.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1895.0,1890.0,110.0,16.0,ok,False,False,72.5,,False
DOE-LAB002-5,46.0,,-1.0,53.77,1.57,10.0,26.0,126.83,F2,5,2026-06-16 16:30:00,25.0,2026-06-16 16:30:00,2026-06-16 09:10:00,2026-06-16 16:30:00,oculyze_sample_id,25.0,73.06,9.0,-1.0,True,0.0,10.0,False,10.0,9.0,False,10.0,10.0,True,False,negative_raw_censored_to_zero,2.13,,2.13,,2.13,,16.8057,16.8057,False,measured,ethanol_50mL,50.0,,,,,,1890.0,1840.0,160.0,10.0,ok,False,False,72.5,,False
DOE-LAB002-6,56.0,0.19,-1.0,47.87,1.79,-7.0,45.0,117.04,F2,6,2026-06-17 10:00:00,42.5,2026-06-17 10:00:00,2026-06-17 10:33:00,2026-06-17 10:00:00,oculyze_sample_id,42.5,69.17000000000002,-8.0,-1.0,True,0.0,-7.0,True,0.0,-8.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,2.6,,2.6,,2.6,,20.514000000000003,20.514000000000003,False,measured,ethanol_50mL,50.0,,,,,,1840.0,1790.0,210.0,0.0,ok,False,False,72.5,,False
DOE-LAB002-7,53.0,0.2,-1.0,47.35,1.76,-9.0,39.0,118.5,F2,7,2026-06-17 12:30:00,45.0,2026-06-17 12:30:00,2026-06-17 10:33:00,2026-06-17 12:30:00,oculyze_sample_id,45.0,71.15,-10.0,-1.0,True,0.0,-9.0,True,0.0,-10.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,2.74,,2.74,,2.74,,21.618600000000004,21.618600000000004,False,measured,ethanol_50mL,50.0,,,,,,1790.0,1740.0,260.0,0.0,ok,False,False,72.5,,False
DOE-LAB002-8,72.0,0.25,2.0,67.08,1.81,-7.0,36.0,140.1,F2,8,2026-06-17 16:00:00,48.5,2026-06-17 16:00:00,2026-06-17 10:33:00,2026-06-17 16:00:00,oculyze_sample_id,48.5,73.02,-5.0,2.0,False,2.0,-7.0,True,0.0,-5.0,True,2.0,2.0,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1740.0,1735.0,265.0,2.0,ok,False,False,72.5,,False
DOE-LAB002-9,63.0,0.23,-3.0,59.49,2.45,10.0,51.0,127.93,F2,9,2026-06-18 10:00:00,66.5,2026-06-18 10:00:00,2026-06-18 10:48:00,2026-06-18 10:00:00,oculyze_sample_id,66.5,68.44,7.0,-3.0,True,0.0,10.0,False,10.0,7.0,False,10.0,10.0,True,False,negative_raw_censored_to_zero,3.21,,3.21,,3.21,,25.3269,25.3269,False,measured,ethanol_50mL,50.0,,,,,,1735.0,1685.0,315.0,0.0,manual_rule_F2_between_50h_and_N_pulse_set_to_zero,True,True,72.5,,False
DOE-LAB002-10,53.0,0.22,-4.0,60.44,2.69,8.0,50.0,126.47,F2,10,2026-06-18 12:30:00,69.0,2026-06-18 12:30:00,2026-06-18 10:48:00,2026-06-18 12:30:00,oculyze_sample_id,69.0,66.03,4.0,-4.0,True,0.0,8.0,False,8.0,4.0,False,8.0,8.0,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1685.0,1680.0,320.0,0.0,manual_rule_F2_between_50h_and_N_pulse_set_to_zero,True,True,72.5,,False
DOE-LAB002-11,60.0,0.21,-1.0,55.31,2.65,14.0,52.0,123.45,F2,11,2026-06-18 16:00:00,72.5,2026-06-18 16:00:00,2026-06-18 10:48:00,2026-06-18 16:00:00,oculyze_sample_id,72.5,68.14,13.0,-1.0,True,0.0,14.0,False,14.0,13.0,False,14.0,14.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1680.0,1630.0,370.0,14.0,ok,False,False,,72.5,False
DOE-LAB002-12,56.0,0.32,-1.0,48.98,3.23,-29.0,49.0,111.2,F2,12,2026-06-19 10:00:00,90.5,2026-06-19 10:00:00,2026-06-19 10:18:00,2026-06-19 10:00:00,oculyze_sample_id,90.5,62.220000000000006,-30.0,-1.0,True,0.0,-29.0,True,0.0,-30.0,True,0.0,0.0,True,True,conflicting_y15_export_and_severe_negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1630.0,1580.0,420.0,0.0,ok,False,False,,72.5,True
DOE-LAB002-13,59.0,0.28,-2.0,49.71,3.3,-32.0,48.0,110.57,F2,13,2026-06-19 12:00:00,92.5,2026-06-19 12:00:00,2026-06-19 10:18:00,2026-06-19 12:00:00,oculyze_sample_id,92.5,60.85999999999999,-34.0,-2.0,True,0.0,-32.0,True,0.0,-34.0,True,0.0,0.0,True,True,severe_negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1580.0,1575.0,425.0,0.0,ok,False,False,,72.5,False
DOE-LAB002-14,75.0,0.32,0.0,48.11,3.76,-31.0,52.0,125.65,F2,14,2026-06-19 16:00:00,96.5,2026-06-19 16:00:00,2026-06-19 16:24:00,2026-06-19 16:00:00,oculyze_sample_id,96.5,77.54,-31.0,0.0,False,0.0,-31.0,True,0.0,-31.0,True,0.0,0.0,True,True,severe_negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1575.0,1525.0,475.0,0.0,ok,False,False,,72.5,False
DOE-LAB002-15,59.0,0.33,-2.0,27.22,4.5,-7.0,70.0,92.8,F2,15,2026-06-22 10:00:00,162.5,2026-06-22 10:00:00,2026-06-22 09:29:00,2026-06-22 10:00:00,oculyze_sample_id,162.5,65.58,-9.0,-2.0,True,0.0,-7.0,True,0.0,-9.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1525.0,1475.0,525.0,0.0,ok,False,False,,72.5,False
DOE-LAB002-16,86.0,0.38,-4.0,25.11,4.43,-5.0,81.0,87.72,F2,16,2026-06-22 16:00:00,168.5,2026-06-22 16:00:00,2026-06-22 09:29:00,2026-06-22 16:00:00,oculyze_sample_id,168.5,62.61,-9.0,-4.0,True,0.0,-5.0,True,0.0,-9.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1475.0,1425.0,575.0,0.0,ok,False,False,,72.5,False
DOE-LAB002-17,68.0,0.42,0.0,,4.93,-10.0,77.0,77.49,F2,17,2026-06-23 10:00:00,186.5,2026-06-23 10:00:00,2026-06-24 15:27:00,2026-06-23 10:00:00,oculyze_sample_id,186.5,,-10.0,0.0,False,0.0,-10.0,True,0.0,-10.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1425.0,1420.0,580.0,0.0,ok,False,False,,72.5,False
DOE-LAB002-18,80.0,0.39,,19.77,4.9,-10.0,81.0,71.77,F2,18,2026-06-23 16:00:00,192.5,2026-06-23 16:00:00,2026-06-24 15:27:00,2026-06-23 16:00:00,oculyze_sample_id,192.5,52.0,,,,,-10.0,True,0.0,,,,,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1420.0,1415.0,585.0,,ok,False,False,,72.5,False
DOE-LAB002-19,68.0,0.45,0.0,16.91,5.11,2.0,45.0,70.19,F2,19,2026-06-24 11:00:00,211.5,2026-06-24 11:00:00,2026-06-24 10:57:00,2026-06-24 11:00:00,oculyze_sample_id,211.5,53.28,2.0,0.0,False,0.0,2.0,False,2.0,2.0,False,2.0,2.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1415.0,1410.0,590.0,2.0,ok,False,False,,72.5,False
