event_id,process,campaign_order,candidate,channel,planned_design_t_h,planned_datetime,planned_clock_t_h_from_actual_t0,planned_amount,amount_unit,planned_stock_volume_ml,details,event_source,executed,actual_datetime,actual_t_h,actual_amount,actual_amount_unit,actual_stock_volume_ml,operator,qc_flag,notes,actual_datetime_parsed,actual_t_h_from_datetime,actual_plot_t_h,executed_bool,has_actual_time,actual_amount_for_plot,actual_stock_volume_ml_for_plot,actual_minus_planned_amount,actual_over_planned_amount,deviation_vs_doe_nominal_h,deviation_vs_original_calendar_h,actual_time_consistency_h
F2_G_50h,F2,2,synthetic_high_biomass_low_N_maintenance,G,50.0,2026-06-17 10:00:00,42.5,25.0,g/L glucose equivalent,61.92857142857143,manual G addition from stock,planned_design,TRUE,2026-06-17 16:00:00,48.5,25.0,g/L glucose equivalent,,,OK,User provided actual t=48.5 h; use real event time for modeling.,2026-06-17 16:00:00,48.5,48.5,True,True,25.0,61.92857142857143,0.0,1.0,-1.5,6.0,0.0
F2_N_74h,F2,2,synthetic_high_biomass_low_N_maintenance,N,74.0,2026-06-18 10:00:00,66.5,0.015,"kg/m3 as N, equivalent to g/L or 1000 mg/L",1.2599464285714286,manual N addition from stock,planned_design,TRUE,2026-06-18 16:00:00,72.5,0.015,"kg/m3 as N, equivalent to g/L or 1000 mg/L",,,OK,User provided actual t=72.5 h; use real event time for modeling.,2026-06-18 16:00:00,72.5,72.5,True,True,0.015,1.2599464285714286,0.0,1.0,-1.5,6.0,0.0
F2_F_98h,F2,2,synthetic_high_biomass_low_N_maintenance,F,98.0,2026-06-19 10:00:00,90.5,25.0,g/L fructose equivalent,55.8995899234694,manual F addition from stock,planned_design,TRUE,2026-06-19 16:00:00,96.5,25.0,g/L fructose equivalent,,,OK,User provided actual t=96.5 h; use real event time for modeling.,2026-06-19 16:00:00,96.5,96.5,True,True,25.0,55.8995899234694,0.0,1.0,-1.5,6.0,0.0
F3_N_26h,F3,3,synthetic_fructose_rich_glucose_pulse,N,26.0,2026-06-16 10:00:00,18.5,0.05,"kg/m3 as N, equivalent to g/L or 1000 mg/L",4.585,manual N addition from stock,planned_design,TRUE,2026-06-16 16:00:00,24.5,0.015,g/L YAN,,,OK,"Execution correction: actual N dose was 0.015 g/L YAN, not 0.05. Use actual t=24.5 h and actual dose for modeling.",2026-06-16 16:00:00,24.5,24.5,True,True,0.015,4.585,-0.035,0.3,-1.5,6.0,0.0
F3_G_74h,F3,3,synthetic_fructose_rich_glucose_pulse,G,74.0,2026-06-18 10:00:00,66.5,35.0,g/L glucose equivalent,81.12925,manual G addition from stock,planned_design,TRUE,2026-06-18 16:00:00,72.5,35.0,g/L glucose equivalent,,,OK,User provided actual t=72.5 h; use real event time for modeling.,2026-06-18 16:00:00,72.5,72.5,True,True,35.0,81.12925,0.0,1.0,-1.5,6.0,0.0
