event_id,process,candidate,channel,planned_design_t_h,planned_clock_t_h_from_actual_t0,actual_plot_t_h,deviation_vs_doe_nominal_h,deviation_vs_original_calendar_h,planned_amount,actual_amount,actual_minus_planned_amount,actual_over_planned_amount,planned_stock_volume_ml,actual_stock_volume_ml,actual_datetime,actual_time_consistency_h,qc_flag,notes
F2_G_50h,F2,synthetic_high_biomass_low_N_maintenance,G,50.0,42.5,48.5,-1.5,6.0,25.0,25.0,0.0,1.0,61.92857142857143,,2026-06-17 16:00:00,0.0,OK,User provided actual t=48.5 h; use real event time for modeling.
F2_N_74h,F2,synthetic_high_biomass_low_N_maintenance,N,74.0,66.5,72.5,-1.5,6.0,0.015,0.015,0.0,1.0,1.2599464285714286,,2026-06-18 16:00:00,0.0,OK,User provided actual t=72.5 h; use real event time for modeling.
F2_F_98h,F2,synthetic_high_biomass_low_N_maintenance,F,98.0,90.5,96.5,-1.5,6.0,25.0,25.0,0.0,1.0,55.8995899234694,,2026-06-19 16:00:00,0.0,OK,User provided actual t=96.5 h; use real event time for modeling.
F3_N_26h,F3,synthetic_fructose_rich_glucose_pulse,N,26.0,18.5,24.5,-1.5,6.0,0.05,0.015,-0.035,0.3,4.585,,2026-06-16 16:00:00,0.0,OK,"Execution correction: actual N dose was 0.015 g/L YAN, not 0.05. Use actual t=24.5 h and actual dose for modeling."
F3_G_74h,F3,synthetic_fructose_rich_glucose_pulse,G,74.0,66.5,72.5,-1.5,6.0,35.0,35.0,0.0,1.0,81.12925,,2026-06-18 16:00:00,0.0,OK,User provided actual t=72.5 h; use real event time for modeling.
