process,sample_id,sample_datetime,t_h,ammonia_mg_l,pan_mg_l,yan_calc_mg_l,sugar_total_g_l,glucose_g_l,fructose_g_l
F1,DOE-LAB001-12,2026-06-19 10:00:00,90.5,1.0,-9.0,-8.0,104.47,31.06,73.41
F1,DOE-LAB001-13,2026-06-19 12:00:00,92.5,1.0,-10.0,-9.0,101.78,30.64,71.14
F1,DOE-LAB001-14,2026-06-19 16:00:00,96.5,2.0,-10.0,-8.0,102.2,29.85,72.35
F1,DOE-LAB001-15,2026-06-22 10:00:00,162.5,-3.0,14.0,11.0,37.84,4.43,33.410000000000004
F1,DOE-LAB001-16,2026-06-22 16:00:00,168.5,-1.0,13.0,12.0,33.97,3.33,30.64
F2,DOE-LAB002-2,2026-06-16 08:30:00,17.0,-3.0,10.0,7.0,131.24,55.23,76.01000000000002
F2,DOE-LAB002-5,2026-06-16 16:30:00,25.0,-1.0,10.0,9.0,126.83,53.77,73.06
F2,DOE-LAB002-6,2026-06-17 10:00:00,42.5,-1.0,-7.0,-8.0,117.04,47.87,69.17000000000002
F2,DOE-LAB002-7,2026-06-17 12:30:00,45.0,-1.0,-9.0,-10.0,118.5,47.35,71.15
F2,DOE-LAB002-8,2026-06-17 16:00:00,48.5,2.0,-7.0,-5.0,140.1,67.08,73.02
F2,DOE-LAB002-9,2026-06-18 10:00:00,66.5,-3.0,10.0,7.0,127.93,59.49,68.44
F2,DOE-LAB002-10,2026-06-18 12:30:00,69.0,-4.0,8.0,4.0,126.47,60.44,66.03
F2,DOE-LAB002-11,2026-06-18 16:00:00,72.5,-1.0,14.0,13.0,123.45,55.31,68.14
F2,DOE-LAB002-12,2026-06-19 10:00:00,90.5,-1.0,-29.0,-30.0,111.2,48.98,62.220000000000006
F2,DOE-LAB002-13,2026-06-19 12:00:00,92.5,-2.0,-32.0,-34.0,110.57,49.71,60.85999999999999
F2,DOE-LAB002-14,2026-06-19 16:00:00,96.5,0.0,-31.0,-31.0,125.65,48.11,77.54
F2,DOE-LAB002-15,2026-06-22 10:00:00,162.5,-2.0,-7.0,-9.0,92.8,27.22,65.58
F2,DOE-LAB002-16,2026-06-22 16:00:00,168.5,-4.0,-5.0,-9.0,87.72,25.11,62.61
F2,DOE-LAB002-17,2026-06-23 10:00:00,186.5,0.0,-10.0,-10.0,77.49,,
F2,DOE-LAB002-18,2026-06-23 16:00:00,192.5,,-10.0,,71.77,19.77,52.0
F2,DOE-LAB002-20,2026-06-25 16:00:00,240.5,8.0,-1.0,7.0,68.03,13.69,54.34
F2,DOE-LAB002-21,2026-06-26 12:00:00,260.5,8.0,-1.0,7.0,55.13,10.66,44.47
F2,DOE-LAB002-22,2026-07-01 15:18:00,383.8,-2.0,6.0,4.0,26.8,1.97,24.830000000000002
F3,DOE-LAB003-9,2026-06-18 10:00:00,66.5,-2.0,14.0,12.0,100.45,11.13,89.32000000000001
F3,DOE-LAB003-12,2026-06-19 10:00:00,90.5,-1.0,-26.0,-27.0,105.78,27.41,78.37
F3,DOE-LAB003-13,2026-06-19 12:00:00,92.5,1.0,-27.0,-26.0,104.06,26.69,77.37
F3,DOE-LAB003-14,2026-06-19 16:00:00,96.5,0.0,-27.0,-27.0,97.81,24.41,73.4
F3,DOE-LAB003-15,2026-06-22 10:00:00,162.5,-4.0,-1.0,-5.0,30.96,1.83,29.130000000000003
F3,DOE-LAB003-16,2026-06-22 16:00:00,168.5,-3.0,-3.0,-6.0,27.52,1.1,26.419999999999998
F3,DOE-LAB003-17,2026-06-23 10:00:00,186.5,1.0,-7.0,-6.0,,2.64,
F3,DOE-LAB003-18,2026-06-23 16:00:00,192.5,,-5.0,,18.26,3.98,14.280000000000001
