sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB002-17,GLYCEROL,ST1,"4,93",g/L,23-06-2026 10:48:08,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,4.93,2026-06-23 10:48:08,EXP,F2,glycerol_g_l,0,True
DOE-LAB002-17,ACETIC ACID,ST1,"0,42",g/L,23-06-2026 10:48:57,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.42,2026-06-23 10:48:57,EXP,F2,acetic_acid_g_l,0,True
DOE-LAB003-17,GLUCOSE,ST1,"2,64",g/L,23-06-2026 10:51:21,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,2.64,2026-06-23 10:51:21,EXP,F3,glucose_g_l,1,True
DOE-LAB003-17,GLUCOSE-FRUCTOSE,ST1,Out High,g/L,23-06-2026 10:51:45,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,,2026-06-23 10:51:45,EXP,F3,sugar_total_g_l,1,False
DOE-LAB003-17,GLYCEROL,ST1,"6,35",g/L,23-06-2026 11:03:22,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,6.35,2026-06-23 11:03:22,EXP,F3,glycerol_g_l,0,True
DOE-LAB003-17,ACETALDEHID-1000,ST1,41,mg/L,23-06-2026 11:04:10,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,41.0,2026-06-23 11:04:10,EXP,F3,acetaldehyde_mg_l,0,True
DOE-LAB003-17,PYRUVIC ACID,ST1,52,mg/L,23-06-2026 11:04:58,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,52.0,2026-06-23 11:04:58,EXP,F3,pyruvic_acid_mg_l,0,True
DOE-LAB001-18,GLUCOSE,ST1,"2,71",g/L,23-06-2026 16:37:53,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,2.71,2026-06-23 16:37:53,EXP,F1,glucose_g_l,1,True
DOE-LAB001-18,GLUCOSE-FRUCTOSE,ST1,Out High,g/L,23-06-2026 16:38:17,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,,2026-06-23 16:38:17,EXP,F1,sugar_total_g_l,1,False
DOE-LAB001-18,GLU-FRU-320,ST1,"16,26",g/L,23-06-2026 16:38:41,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,16.26,2026-06-23 16:38:41,EXP,F1,sugar_total_g_l,0,True
