sample_id,analyte_canonical,n_distinct_values,values,analytes,files,process
DOE-LAB001-12,acetaldehyde_mg_l,2.0,125.0; 128.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,acetic_acid_g_l,2.0,0.84; 0.87,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,ammonia_mg_l,2.0,-3.0; 1.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,glucose_g_l,2.0,29.8; 31.06,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,glycerol_g_l,2.0,6.08; 6.11,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,pan_mg_l,2.0,-9.0; 30.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,pyruvic_acid_mg_l,2.0,40.0; 49.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-12,sugar_total_g_l,2.0,104.47; 104.6,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-2,acetaldehyde_mg_l,2.0,49.0; 64.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,acetic_acid_g_l,2.0,0.23; 0.27,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,ammonia_mg_l,2.0,217.0; 218.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
