analysis,weak_direction,eigenvalue,dominant_parameters,dominant_abs_loadings
natural_current,1,0.036862487983757686,"m0, gammaF0, iG, qXF, sG, qEF, qXG","0.997, 0.054, 0.038, 0.027, 0.024, 0.018, 0.015"
natural_current,2,0.32958818631919834,"qXG, gammaF0, qXF, iE, m0, sF, qEG","0.770, 0.558, 0.285, 0.073, 0.051, 0.050, 0.041"
natural_current,3,0.5430562640196172,"qXF, gammaF0, qXG, iG, iE, sF, sG","0.935, 0.274, 0.160, 0.126, 0.074, 0.034, 0.028"
natural_current,4,0.5986068708782318,"sN, mu0, qN, qXG, gammaF0, iE, sG","0.998, 0.034, 0.033, 0.032, 0.028, 0.015, 0.014"
natural_current,5,0.8187230087001657,"gammaF0, qXG, qXF, gammaG0, sN, m0, iE","0.779, 0.608, 0.125, 0.059, 0.041, 0.037, 0.026"
natural_current,6,15.358591952887743,"iG, iE, betaF0, qEF, sG, sF, betaG0","0.611, 0.517, 0.386, 0.302, 0.268, 0.190, 0.073"
synthetic_current,1,0.0021777361064450195,"gammaF0, m0, qXG, qXF, betaF0, sG, gammaG0","0.996, 0.091, 0.019, 0.006, 0.005, 0.005, 0.002"
synthetic_current,2,0.08491140052199347,"m0, gammaF0, qXF, betaF0, iG, qEF, sG","0.993, 0.091, 0.063, 0.030, 0.020, 0.019, 0.017"
synthetic_current,3,0.27553646060750175,"sN, iG, qXF, mu0, sG, qEF, qN","0.997, 0.053, 0.031, 0.031, 0.025, 0.017, 0.016"
synthetic_current,4,1.553183665556783,"qXF, iG, sF, qXG, sN, betaG0, qEF","0.820, 0.522, 0.178, 0.115, 0.056, 0.045, 0.043"
synthetic_current,5,2.197892355356768,"qXG, iG, betaF0, qEG, sG, qEF, iE","0.967, 0.181, 0.113, 0.076, 0.067, 0.064, 0.051"
synthetic_current,6,7.894304757413831,"iG, qXF, sF, qEF, betaF0, sG, iE","0.612, 0.513, 0.399, 0.264, 0.225, 0.185, 0.154"
mixed_current_reducedprior,1,0.004577250110405063,"gammaF0, m0, qXG, qXF, gammaG0, sG, betaF0","1.000, 0.028, 0.006, 0.003, 0.002, 0.001, 0.001"
mixed_current_reducedprior,2,0.14239552143007347,"m0, qXF, gammaF0, sF, betaF0, qEF, sN","0.994, 0.098, 0.028, 0.022, 0.020, 0.013, 0.012"
mixed_current_reducedprior,3,1.6484156850611278,"sN, iG, mu0, qN, iE, sG, qEF","0.998, 0.035, 0.026, 0.025, 0.022, 0.018, 0.013"
mixed_current_reducedprior,4,4.6577757831410205,"qXG, iG, qXF, iE, betaF0, sF, qEF","0.980, 0.130, 0.081, 0.070, 0.054, 0.052, 0.051"
mixed_current_reducedprior,5,5.528443242918329,"qXF, iG, m0, sF, iE, qXG, sG","0.944, 0.281, 0.096, 0.092, 0.091, 0.041, 0.038"
mixed_current_reducedprior,6,11.469262949436644,"iG, sF, betaF0, qEF, qXF, iE, qXG","0.767, 0.387, 0.245, 0.241, 0.237, 0.200, 0.184"
mixed_current_full_l2,1,0.02551901451874929,"m0, qXF, gammaF0, sF, qXG, qEF, betaF0","0.999, 0.030, 0.013, 0.012, 0.009, 0.008, 0.006"
mixed_current_full_l2,2,1.474667859443994,"sN, qXG, gammaF0, iG, iE, mu0, qN","0.996, 0.060, 0.044, 0.026, 0.020, 0.018, 0.017"
mixed_current_full_l2,3,2.5283462771905323,"qXG, gammaF0, iG, sN, sF, iE, betaF0","0.732, 0.665, 0.083, 0.078, 0.054, 0.036, 0.031"
mixed_current_full_l2,4,3.8281706196442027,"gammaF0, qXG, gammaG0, iG, qXF, qEG, sF","0.741, 0.669, 0.052, 0.025, 0.018, 0.017, 0.012"
mixed_current_full_l2,5,10.48660973226919,"qXF, iG, sF, iE, qXG, sG, betaF0","0.813, 0.502, 0.257, 0.108, 0.064, 0.047, 0.036"
mixed_current_full_l2,6,14.444137016878539,"iG, sF, qXF, iE, betaF0, qEF, sG","0.548, 0.486, 0.466, 0.319, 0.232, 0.227, 0.169"
