parameter,n_success,max_lr_stat,crosses_left_95,crosses_right_95,profile_identifiable_95,chi2_95_threshold
Kd0,6,374.761028763769,True,True,True,3.841458820694124
gammaF0,6,18.082379251765815,True,True,True,3.841458820694124
iG,6,129.04461635522603,False,True,False,3.841458820694124
m0,6,0.36362719858880155,False,False,False,3.841458820694124
qXF,6,17.857437932496396,True,False,False,3.841458820694124
qXG,6,0.0,False,False,False,3.841458820694124
sF,6,531.0346761036053,True,False,False,3.841458820694124
sN,6,5.950374106912932,True,False,False,3.841458820694124
