,mixed_full17_l2
mu0,0.06144300331440782
sN,22.822304600584857
qN,0.014077619464971249
qXG,0.0830335046613047
qXF,0.1470884666435773
betaG0,0.4295772752903894
sG,0.03823729806573574
betaF0,0.28634627765036813
sF,0.05090121294521556
qEG,0.9986807546116893
qEF,0.6005563072780574
iG,0.0033029878376235103
iE,0.005363049138740442
Kd0,0.0007725255153240667
m0,0.004519236800799961
gammaG0,0.05845956021572135
gammaF0,0.003123677546477933
