,mixed_reduced11
mu0,0.07374602400112377
sN,18.0
qN,0.01737367349769057
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.4060097401014331
sG,0.03
betaF0,0.28809931154463186
sF,0.03
qEG,0.941025163632023
qEF,0.6369928419419247
iG,0.003056055239466596
iE,0.005898145041162837
Kd0,0.0008888928209949302
m0,0.01
gammaG0,0.06070842115810748
gammaF0,0.000158468195451557
