,initial
mu0,0.1568304913955837
sN,18.0
qN,0.0134153553148961
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.3950395346620634
sG,0.03
betaF0,0.2834958243326065
sF,0.03
qEG,0.5138651627122065
qEF,0.5022583722548266
iG,0.0188579076202898
iE,0.025
Kd0,0.00044
m0,0.01
gammaG0,0.024
gammaF0,0.024
