profiled_parameter,theta_hat,theta_value,success,objective,lr_stat,chi2_95_threshold,error
mu0,0.06144300331440782,0.05,True,26884.622104512593,761.1861090756647,3.841458820694124,
mu0,0.06144300331440782,0.06144300331440782,True,26031.85321282063,0.0,3.841458820694124,
mu0,0.06144300331440782,0.06822150165720392,True,26361.521624852296,238.0856294153673,3.841458820694124,
mu0,0.06144300331440782,0.08644300331440782,True,27802.508827584767,1679.0728321478382,3.841458820694124,
mu0,0.06144300331440782,0.10466450497161173,True,28211.93112333623,2088.495127899303,3.841458820694124,
mu0,0.06144300331440782,0.12288600662881564,True,29174.516743007418,3051.0807475704896,3.841458820694124,
qN,0.014077619464971249,0.007038809732485624,True,32035.210163646007,5911.774168209078,3.841458820694124,
qN,0.014077619464971249,0.012317917031849843,True,26556.972251696163,433.5362562592345,3.841458820694124,
qN,0.014077619464971249,0.014077619464971249,True,26000.028839721082,0.0,3.841458820694124,
qN,0.014077619464971249,0.01759702433121406,True,26437.414303672984,313.97830823605545,3.841458820694124,
qN,0.014077619464971249,0.022876131630578278,True,27151.73696218119,1028.3009667442602,3.841458820694124,
qN,0.014077619464971249,0.028155238929942497,True,28448.76554074554,2325.3295453086102,3.841458820694124,
betaG0,0.4295772752903894,0.2147886376451947,True,26531.122500485406,407.68650504847756,3.841458820694124,
betaG0,0.4295772752903894,0.37588011587909076,True,26269.89998343152,146.46398799458984,3.841458820694124,
betaG0,0.4295772752903894,0.4295772752903894,True,26109.369782944726,0.0,3.841458820694124,
betaG0,0.4295772752903894,0.5369715941129868,True,26124.198244358013,0.7622489210843924,3.841458820694124,
betaG0,0.4295772752903894,0.6980630723468828,True,25672.188903021586,0.0,3.841458820694124,
betaG0,0.4295772752903894,0.8591545505807788,True,25815.813343856993,0.0,3.841458820694124,
betaF0,0.28634627765036813,0.14317313882518407,True,26902.92429286643,779.4882974295033,3.841458820694124,
betaF0,0.28634627765036813,0.25055299294407213,True,26189.94654642989,66.5105509929599,3.841458820694124,
betaF0,0.28634627765036813,0.28634627765036813,True,26065.149077254995,0.0,3.841458820694124,
betaF0,0.28634627765036813,0.35793284706296014,True,25882.865188856165,0.0,3.841458820694124,
betaF0,0.28634627765036813,0.4653127011818482,True,25968.61021143856,0.0,3.841458820694124,
betaF0,0.28634627765036813,0.5726925553007363,True,27186.066726306104,1062.6307308691757,3.841458820694124,
qEG,0.9986807546116893,0.49934037730584463,True,33047.14377341755,6923.70777798062,3.841458820694124,
qEG,0.9986807546116893,0.873845660285228,True,26556.591897774473,433.15590233754483,3.841458820694124,
qEG,0.9986807546116893,0.9986807546116893,True,26106.002970142803,0.0,3.841458820694124,
qEG,0.9986807546116893,1.2483509432646116,True,26429.21604599814,305.7800505612104,3.841458820694124,
qEG,0.9986807546116893,1.622856226243995,True,26872.548310072518,749.1123146355894,3.841458820694124,
qEG,0.9986807546116893,1.9973615092233785,True,29542.409927511697,3418.9739320747685,3.841458820694124,
qEF,0.6005563072780574,0.3002781536390287,True,31395.991628535237,5272.555633098309,3.841458820694124,
qEF,0.6005563072780574,0.5254867688683003,True,26592.864972599105,469.42897716217703,3.841458820694124,
qEF,0.6005563072780574,0.6005563072780574,True,26032.221117758447,0.0,3.841458820694124,
qEF,0.6005563072780574,0.7506953840975719,True,26454.713658790675,331.2776633537469,3.841458820694124,
qEF,0.6005563072780574,0.9759039993268432,True,25874.29889033168,0.0,3.841458820694124,
qEF,0.6005563072780574,1.2011126145561148,True,26051.072368931225,0.0,3.841458820694124,
iG,0.0033029878376235103,0.0016514939188117552,True,26316.675807683234,193.23981224630552,3.841458820694124,
iG,0.0033029878376235103,0.0028901143579205717,True,26085.024661549003,0.0,3.841458820694124,
iG,0.0033029878376235103,0.0033029878376235103,True,26106.747399646607,0.0,3.841458820694124,
iG,0.0033029878376235103,0.004128734797029388,True,26130.966311827287,7.530316390359076,3.841458820694124,
iG,0.0033029878376235103,0.005367355236138204,True,26234.432603063025,110.9966076260971,3.841458820694124,
iG,0.0033029878376235103,0.006605975675247021,True,26219.060179263062,95.62418382613396,3.841458820694124,
iE,0.005363049138740442,0.002681524569370221,True,26546.65713451887,423.22113908194297,3.841458820694124,
iE,0.005363049138740442,0.004692667996397887,True,26179.256833186795,55.82083774986677,3.841458820694124,
iE,0.005363049138740442,0.005363049138740442,True,26095.00332058008,0.0,3.841458820694124,
iE,0.005363049138740442,0.006703811423425552,True,25949.048839466068,0.0,3.841458820694124,
iE,0.005363049138740442,0.008714954850453219,True,26065.0912686383,0.0,3.841458820694124,
iE,0.005363049138740442,0.010726098277480884,True,26255.593099771257,132.15710433432832,3.841458820694124,
