,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,68030.92087751256,517.9055768244816,-42458.606061420425,507.3893814192817,1511.731734812607,264.65612866679743,4187.56509058446,1092.8753302980967,3026.143806115318,16908.516328610396,28200.583211266923,-4149.45656816097,-10584.225104686817,91.34636078213619,274.81786319308696,5023.527138244678,258.5958801131523
sN,517.9055768244816,9.30465608787114,-99.51165554337747,4.945276969474941,9.792373269965589,-0.5372948287557259,34.082664272245104,12.759389493983138,14.617183611370788,150.67345205173143,136.3937999858976,-23.375668689033652,-60.50736672549098,2.6417182843351465,1.4159893113067024,38.07929260161098,1.8839561310945354
qN,-42458.606061420425,-99.51165554337747,39646.379731711575,-276.95363316448845,-1158.9477289225968,710.330302669792,-2485.9714712668215,539.7893178566893,-2460.967258973383,-10518.088623500003,-23963.596058172476,3180.8236768603088,7838.941094376793,78.19325674405486,-229.04565011494654,-2673.5171927699885,-137.71256852830945
qXG,507.3893814192817,4.945276969474941,-276.95363316448845,32.50859504771058,16.18316332459224,-460.50774223063985,84.19644377098926,-327.30422046781155,-5.559747435160872,1250.3411859202538,343.2532941871667,0.45450730145202106,-70.26379326444552,-24.59900631036902,6.355954897289664,-279.17015474793726,-19.39088420780308
qXF,1511.731734812607,9.792373269965589,-1158.9477289225968,16.18316332459224,146.06639838576115,-635.6684246714757,1.986441596434081,-678.6700307878943,150.83916521674237,678.4093560202479,2329.3155649224677,-255.33554844156663,-347.3745466355366,-46.01290716935438,20.186037198756036,-14.547175570552264,-1.1185675444162
betaG0,264.65612866679743,-0.5372948287557259,710.330302669792,-460.50774223063985,-635.6684246714757,22136.771279192137,-152.55017987259302,18166.080114730463,473.26662675033674,-21659.390010784726,-14653.524302133887,-547.3226621677934,-637.209457281571,1733.8283336958216,-189.52300191820905,-1683.6641930922642,-91.07690621291903
sG,4187.56509058446,34.082664272245104,-2485.9714712668215,84.19644377098926,1.986441596434081,-152.55017987259302,847.2634944278625,474.3404731183646,42.2277603197933,3092.9841786523994,-15.862352930183079,-77.302287106865,-803.5297807199116,98.8254051505208,8.009581474064696,1036.0803711432013,54.862135339225055
betaF0,1092.8753302980967,12.759389493983138,539.7893178566893,-327.30422046781155,-678.6700307878943,18166.080114730463,474.3404731183646,16120.036342677458,178.5286992609276,-15921.1888111171,-15321.874682665508,-157.23535241033957,-568.8277409494768,1489.899176863281,-180.0957909571955,-459.9587736057552,-27.19876485450653
sF,3026.143806115318,14.617183611370788,-2460.967258973383,-5.559747435160872,150.83916521674237,473.26662675033674,42.2277603197933,178.5286992609276,420.48643938833277,-367.54026405551986,3146.113024045807,-411.5882997192102,-844.8116639530416,4.2339339300526735,26.06687506610406,71.35989123491466,4.942032558206931
qEG,16908.516328610396,150.67345205173143,-10518.088623500003,1250.3411859202538,678.4093560202479,-21659.390010784726,3092.9841786523994,-15921.1888111171,-367.54026405551986,54755.43211808103,15328.529936240484,224.92897093233566,-2321.749451339842,-1374.5789056284018,282.7315393956782,-14649.911288231673,-1018.0376802967206
qEF,28200.583211266923,136.3937999858976,-23963.596058172476,343.2532941871667,2329.3155649224677,-14653.524302133887,-15.862352930183079,-15321.874682665508,3146.113024045807,15328.529936240484,46782.13908907162,-4331.3121333644995,-7435.744215270062,-1292.8358075370859,435.3331566667028,-314.5551240463298,-24.503069242102118
iG,-4149.45656816097,-23.375668689033652,3180.8236768603088,0.45450730145202106,-255.33554844156663,-547.3226621677934,-77.302287106865,-157.23535241033957,-411.5882997192102,224.92897093233566,-4331.3121333644995,697.0462796290435,1073.1962593009082,-39.099264375301374,-33.14046751146189,-59.97829800189012,-3.8565030352575604
iE,-10584.225104686817,-60.50736672549098,7838.941094376793,-70.26379326444552,-347.3745466355366,-637.209457281571,-803.5297807199116,-568.8277409494768,-844.8116639530416,-2321.749451339842,-7435.744215270062,1073.1962593009082,2722.5955715008336,-81.3896222429538,-68.5707590002029,-994.4776359455258,-53.460528755552225
Kd0,91.34636078213619,2.6417182843351465,78.19325674405486,-24.59900631036902,-46.01290716935438,1733.8283336958216,98.8254051505208,1489.899176863281,4.2339339300526735,-1374.5789056284018,-1292.8358075370859,-39.099264375301374,-81.3896222429538,785.4891067450925,-16.368865677890412,-29.255104336908293,-2.1094000118049143
m0,274.81786319308696,1.4159893113067024,-229.04565011494654,6.355954897289664,20.186037198756036,-189.52300191820905,8.009581474064696,-180.0957909571955,26.06687506610406,282.7315393956782,435.3331566667028,-33.14046751146189,-68.5707590002029,-16.368865677890412,4.54168299083928,-41.74793481359315,-2.94616930305367
gammaG0,5023.527138244678,38.07929260161098,-2673.5171927699885,-279.17015474793726,-14.547175570552264,-1683.6641930922642,1036.0803711432013,-459.9587736057552,71.35989123491466,-14649.911288231673,-314.5551240463298,-59.97829800189012,-994.4776359455258,-29.255104336908293,-41.74793481359315,21052.832467616576,1341.3811831524235
gammaF0,258.5958801131523,1.8839561310945354,-137.71256852830945,-19.39088420780308,-1.1185675444162,-91.07690621291903,54.862135339225055,-27.19876485450653,4.942032558206931,-1018.0376802967206,-24.503069242102118,-3.8565030352575604,-53.460528755552225,-2.1094000118049143,-2.94616930305367,1341.3811831524235,89.01965106935141
