,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,25535.965912842254,256.11564039957074,-18812.676356212818,81.49685784080816,126.52054925249222,3517.58591827653,3121.795045138967,3948.172261358435,3089.6962686253246,2248.354145650226,4037.0701571494865,-2264.050108732409,-5395.7415638120465,790.9207812825507,54.26452110513563,2434.169629317778,134.16881579873726
sN,256.11564039957074,7.81023436623529,-48.76221135513892,1.6453762479556917,1.6437263646395892,5.440716420078489,27.161109814119133,13.067507084226396,20.26666889753532,54.31503087949632,46.9215502819326,-18.373016889976974,-41.36056732371351,2.618810949036541,0.837580673957,21.884642104015406,1.1513904898022855
qN,-18812.676356212818,-48.76221135513892,18127.437668776252,-51.447042871649316,-100.4699898112194,-2819.1471448792277,-2462.3556423354044,-3045.37599100867,-2607.6465873691113,-1577.6221333606645,-3585.0310669280802,1846.6638953887275,4403.187004571528,-676.5694442134713,-48.34312286850252,-1782.9585520918235,-99.22411240178425
qXG,81.49685784080816,1.6453762479556917,-51.447042871649316,11.611462548949609,5.59240564963442,-373.9185932821744,30.480714892671227,-321.2685112164902,-32.02015810832843,582.8045364408741,281.11051666866354,8.194195461350146,-3.4784322418200473,-32.88418868391756,7.992694542064797,-83.02664160082787,-5.468208646584448
qXF,126.52054925249222,1.6437263646395892,-100.4699898112194,5.59240564963442,12.297426079615905,-311.14018420904273,-8.998560794535525,-349.54972615751586,22.397666533464232,311.92490181298183,482.6264907378886,-47.535958176915834,-24.02066302559709,-29.407848206972034,8.667802244201274,-3.74158323586898,-0.25734317634715875
betaG0,3517.58591827653,5.440716420078489,-2819.1471448792277,-373.9185932821744,-311.14018420904273,22812.647747291063,225.63326540815237,21045.926266581402,2609.9551746848933,-22189.759788856172,-16219.557638512475,-1000.6462442579219,-2142.7850573565106,2192.882151129124,-393.9868104834549,-1267.9911322648854,-72.66104371329673
sG,3121.795045138967,27.161109814119133,-2462.3556423354044,30.480714892671227,-8.998560794535525,225.63326540815237,997.2803819721381,1007.3228655748403,264.74762793858207,1339.4359885258752,-473.7616877251377,-138.12836819455146,-1018.7978814497345,111.11817752850303,0.6555593438503746,945.2976863750795,53.959507071940706
betaF0,3948.172261358435,13.067507084226396,-3045.37599100867,-321.2685112164902,-349.54972615751586,21045.926266581402,1007.3228655748403,20813.33168683274,1959.2541592025,-19367.41760586176,-17846.30486931589,-498.2663445380442,-2163.0262625463565,2170.678597895151,-398.1171826887726,-270.6861604458387,-16.065011678633756
sF,3089.6962686253246,20.26666889753532,-2607.6465873691113,-32.02015810832843,22.397666533464232,2609.9551746848933,264.74762793858207,1959.2541592025,1060.9857301540305,-2144.9412465318437,629.0885941221691,-679.8263071775963,-1147.713318971174,295.0314797729368,-9.108140530291902,31.237875166363352,1.9737976349324724
qEG,2248.354145650226,54.31503087949632,-1577.6221333606645,582.8045364408741,311.92490181298183,-22189.759788856172,1339.4359885258752,-19367.41760586176,-2144.9412465318437,32123.319780229453,16160.497136587626,685.0857019698681,395.21592468814566,-2033.8006421135892,454.8400663696206,-4539.762828285316,-303.9337305196129
qEF,4037.0701571494865,46.9215502819326,-3585.0310669280802,281.11051666866354,482.6264907378886,-16219.557638512475,-473.7616877251377,-17846.30486931589,629.0885941221691,16160.497136587626,22249.347423810428,-1532.8097282468937,-711.2499067627866,-1626.1049832475328,425.88539180318327,-186.6547497457557,-13.075695924465458
iG,-2264.050108732409,-18.373016889976974,1846.6638953887275,8.194195461350146,-47.535958176915834,-1000.6462442579219,-138.12836819455146,-498.2663445380442,-679.8263071775963,685.0857019698681,-1532.8097282468937,594.3621629749497,768.4291779472107,-113.90242678905324,-12.50532141866648,-2.4244448245509336,-0.12890776487259453
iE,-5395.7415638120465,-41.36056732371351,4403.187004571528,-3.4784322418200473,-24.02066302559709,-2142.7850573565106,-1018.7978814497345,-2163.0262625463565,-1147.713318971174,395.21592468814566,-711.2499067627866,768.4291779472107,1876.3449142314905,-324.99781348460726,-2.176454504001822,-755.9062866817127,-42.66408857632372
Kd0,790.9207812825507,2.618810949036541,-676.5694442134713,-32.88418868391756,-29.407848206972034,2192.882151129124,111.11817752850303,2170.678597895151,295.0314797729368,-2033.8006421135892,-1626.1049832475328,-113.90242678905324,-324.99781348460726,449.4742689905347,-38.232764318042655,-1.6265192133688202,-0.13423527062773427
m0,54.26452110513563,0.837580673957,-48.34312286850252,7.992694542064797,8.667802244201274,-393.9868104834549,0.6555593438503746,-398.1171826887726,-9.108140530291902,454.8400663696206,425.88539180318327,-12.50532141866648,-2.176454504001822,-38.232764318042655,9.339916476638063,-33.05120587458958,-2.230670260425123
gammaG0,2434.169629317778,21.884642104015406,-1782.9585520918235,-83.02664160082787,-3.74158323586898,-1267.9911322648854,945.2976863750795,-270.6861604458387,31.237875166363352,-4539.762828285316,-186.6547497457557,-2.4244448245509336,-755.9062866817127,-1.6265192133688202,-33.05120587458958,8089.051283180975,501.2721473834068
gammaF0,134.16881579873726,1.1513904898022855,-99.22411240178425,-5.468208646584448,-0.25734317634715875,-72.66104371329673,53.959507071940706,-16.065011678633756,1.9737976349324724,-303.9337305196129,-13.075695924465458,-0.12890776487259453,-42.66408857632372,-0.13423527062773427,-2.230670260425123,501.2721473834068,31.77589040123657
