,natural_reduced11
mu0,0.10091044707352112
sN,18.0
qN,0.028968156921963032
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.5025111760140567
sG,0.03
betaF0,0.48784072273906093
sF,0.03
qEG,1.1770718556703381
qEF,1.0443141200135626
iG,0.006861103508003885
iE,0.007892190330954351
Kd0,0.003745103333006406
m0,0.01
gammaG0,0.07511740895911434
gammaF0,0.00505987053336294
