,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,5747.110080657191,42.50473860615576,-3135.7373271400265,55.50644004504896,66.91331143001217,744.451237890006,622.9016468316604,694.4050966002062,175.28220811022263,1965.7130649073567,756.5174012435469,-264.0329789083956,-628.6590005164419,74.56644643498107,9.802870704448093,512.152666962888,24.86858785648115
sN,42.50473860615576,0.5542553087301816,-6.7948854110836185,0.555823937976094,0.6675545666448669,4.356914436137471,4.71603672428254,4.429806309827305,1.1550563475726934,17.65557737624904,6.680756431070819,-2.0936099302561577,-4.321530596617383,0.3909281168609876,0.08675408673520192,3.6369835603955605,0.17300563064109165
qN,-3135.7373271400265,-6.7948854110836185,2876.330863600145,-26.17377290773506,-37.87258909881805,-337.6288418316329,-344.19446407847386,-326.66520509634825,-109.24697463520233,-1116.5751567048444,-512.8100115560703,148.95083588931263,378.61818579286404,-45.846460668722905,-6.3488417126638055,-259.69931849039114,-12.591092043269601
qXG,55.50644004504896,0.555823937976094,-26.17377290773506,3.327372222147666,1.0935597779293529,-50.572343536148914,11.108445476837591,-26.91189884200435,-1.0168953902523854,132.56314377389685,23.91345290201663,0.5560355953183108,-6.181300046237754,-1.6199975227188264,0.6054972419465388,-16.759250041212667,-0.9648198771981717
qXF,66.91331143001217,0.6675545666448669,-37.87258909881805,1.0935597779293529,11.140523666175149,-64.12813081412932,-1.357344738803077,-53.77309000450258,6.9644462533362415,63.70300593770077,135.33557564073035,-15.662559412791627,-7.531772661711614,-2.1562868379638025,1.0623849532324314,-2.2251617372755836,-0.1308684300513686
betaG0,744.451237890006,4.356914436137471,-337.6288418316329,-50.572343536148914,-64.12813081412932,3368.422921769185,78.43815714591176,2266.0758259756526,125.53826790477304,-2988.3323341775695,-1528.6176110178483,-118.3185102487179,-169.35246016285762,159.2115893002769,-22.474714342242425,-169.8370864872491,-8.436347131400417
sG,622.9016468316604,4.71603672428254,-344.19446407847386,11.108445476837591,-1.357344738803077,78.43815714591176,120.16270243338667,116.13752500629545,12.244780740709002,413.90201362275536,-30.64599867567465,-15.518111454323975,-97.14577454859199,17.806693601027966,1.0018024340940688,115.57550723430134,5.720507821694382
betaF0,694.4050966002062,4.429806309827305,-326.66520509634825,-26.91189884200435,-53.77309000450258,2266.0758259756526,116.13752500629545,1591.1948791182851,70.92549645680583,-1769.6765021192818,-1212.1336207589368,-59.17719887028024,-142.8103346448217,109.81689199820038,-15.723893268994773,-35.0497246811903,-1.7686932672174833
sF,175.28220811022263,1.1550563475726934,-109.24697463520233,-1.0168953902523854,6.9644462533362415,125.53826790477304,12.244780740709002,70.92549645680583,22.849972134655598,-76.68357060518727,82.65487024037475,-26.108725650722683,-32.25145431984129,11.708723514842848,0.17293746781067953,2.347015720529481,0.12602584538439932
qEG,1965.7130649073567,17.65557737624904,-1116.5751567048444,132.56314377389685,63.70300593770077,-2988.3323341775695,413.90201362275536,-1769.6765021192818,-76.68357060518727,6499.692738569585,1526.140258276644,43.54772106682264,-226.9973734628761,-106.28992252699514,33.93728486163905,-1090.8387427275454,-63.66471829893831
qEF,756.5174012435469,6.680756431070819,-512.8100115560703,23.91345290201663,135.33557564073035,-1528.6176110178483,-30.64599867567465,-1212.1336207589368,82.65487024037475,1526.140258276644,2145.887263672479,-175.73152128307626,-89.39511189824118,-47.22178631655256,19.947668130066198,-56.16011888416993,-3.3154884239447546
iG,-264.0329789083956,-2.0936099302561577,148.95083588931263,0.5560355953183108,-15.662559412791627,-118.3185102487179,-15.518111454323975,-59.17719887028024,-26.108725650722683,43.54772106682264,-175.73152128307626,42.781745506160576,40.426806916106166,-8.76888293225969,-0.7975858169601282,-1.1312765524378643,-0.051215157519723206
iE,-628.6590005164419,-4.321530596617383,378.61818579286404,-6.181300046237754,-7.531772661711614,-169.35246016285762,-97.14577454859199,-142.8103346448217,-32.25145431984129,-226.9973734628761,-89.39511189824118,40.426806916106166,105.69988622785297,-24.39724610411144,-1.1108330175024663,-78.9879072523881,-3.8912074069194436
Kd0,74.56644643498107,0.3909281168609876,-45.846460668722905,-1.6199975227188264,-2.1562868379638025,159.2115893002769,17.806693601027966,109.81689199820038,11.708723514842848,-106.28992252699514,-47.22178631655256,-8.76888293225969,-24.39724610411144,55.00944996897683,-0.7228713292157707,-0.782360495337379,-0.04611205598254416
m0,9.802870704448093,0.08675408673520192,-6.3488417126638055,0.6054972419465388,1.0623849532324314,-22.474714342242425,1.0018024340940688,-15.723893268994773,0.17293746781067953,33.93728486163905,19.947668130066198,-0.7975858169601282,-1.1108330175024663,-0.7228713292157707,0.2638311385423059,-4.673019779296435,-0.2739313026512436
gammaG0,512.152666962888,3.6369835603955605,-259.69931849039114,-16.759250041212667,-2.2251617372755836,-169.8370864872491,115.57550723430134,-35.0497246811903,2.347015720529481,-1090.8387427275454,-56.16011888416993,-1.1312765524378643,-78.9879072523881,-0.782360495337379,-4.673019779296435,1813.02569773792,98.84764466431123
gammaF0,24.86858785648115,0.17300563064109165,-12.591092043269601,-0.9648198771981717,-0.1308684300513686,-8.436347131400417,5.720507821694382,-1.7686932672174833,0.12602584538439932,-63.66471829893831,-3.3154884239447546,-0.051215157519723206,-3.8912074069194436,-0.04611205598254416,-0.2739313026512436,98.84764466431123,5.444808008014184
