mode,batch,n,scale_factor_L_min_per_g_l_h,rmse_L_min,mae_L_min,bias_L_min,relative_rmse,relative_bias,corr,params_json
instant,25170,191,1.938817757713972,0.383539728987841,0.33358645231648587,-0.17381856432755238,1.2430754069162857,-0.5633564563214432,0.3278241280443469,{}
instant,25171,110,3.5179852886107614,0.11281356221380724,0.08155232598476893,0.0006372135943399824,0.2521324702298069,0.001424139389379998,0.9772520423155199,{}
old_lag_threshold,25170,191,2.613103008317872,0.26358466491267096,0.2189825075373934,-0.05451207849594914,0.8542938053846272,-0.17667693601658854,0.6495286927977344,"{""qgas_tau_h"": 47.960053368763646, ""qgas_threshold_fraction"": 0.8999999999999074}"
old_lag_threshold,25171,110,3.922348997919148,0.2507714346975992,0.20786994228800082,0.060731741091646384,0.5604611719781327,0.1357322967408238,0.9079426566139419,"{""qgas_tau_h"": 47.960053368763646, ""qgas_threshold_fraction"": 0.8999999999999074}"
solubility_fixed,25170,191,2.05626511446677,0.37539249329600416,0.3211548347237418,-0.17365744272220832,1.216669724382172,-0.5628342514754038,0.3838493120232541,"{""kCO2_release_h"": 1.2804272665214722, ""CO2sat_scale"": 1.0}"
solubility_fixed,25171,110,3.6170297010531107,0.19813597186221482,0.10677558139994175,-0.02481265911575919,0.4428236379268375,-0.05545500836122716,0.9304348754179095,"{""kCO2_release_h"": 1.2804272665214722, ""CO2sat_scale"": 1.0}"
solubility_scaled,25170,191,2.1148764025000255,0.36345715842721504,0.3137051694267461,-0.16157314506934195,1.1779865838171628,-0.5236683135378228,0.42161401723361863,"{""kCO2_release_h"": 0.2482212466616185, ""CO2sat_scale"": 0.4679850955083524}"
solubility_scaled,25171,110,3.591946754136457,0.19668410562196334,0.11886036957859925,-0.010999268108292213,0.4395787920553447,-0.024582794696329784,0.9296240408498724,"{""kCO2_release_h"": 0.2482212466616185, ""CO2sat_scale"": 0.4679850955083524}"
solubility_o2_literature,25170,191,2.2916195560414434,0.34590070570625936,0.29371820556478584,-0.1568753688284647,1.1210850610786922,-0.5084425372469519,0.50700325958532,"{""kCO2_release_h"": 0.17835568974142976, ""CO2sat_scale"": 0.5001926400178225, ""O2_qmax_mg_gdw_h"": 1.2, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
solubility_o2_literature,25171,110,3.594280286633149,0.22227972713242936,0.13570802097663318,-0.01228237105077466,0.4967836808281162,-0.027450463335620734,0.9091472973134022,"{""kCO2_release_h"": 0.17835568974142976, ""CO2sat_scale"": 0.5001926400178225, ""O2_qmax_mg_gdw_h"": 1.2, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
solubility_o2_slow_transition,25170,191,3.682891513877386,0.2403473165470326,0.19712145914368054,-0.135401284999456,0.7789801570397717,-0.4388437356720942,0.8429168806497217,"{""kCO2_release_h"": 0.2669276959271604, ""CO2sat_scale"": 0.4066343341502766, ""O2_qmax_mg_gdw_h"": 0.15, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
solubility_o2_slow_transition,25171,110,3.589088946231147,0.19465181384440391,0.11715841617809722,-0.011368223165658232,0.4350367251615376,-0.025407390145600058,0.9311668914028195,"{""kCO2_release_h"": 0.2669276959271604, ""CO2sat_scale"": 0.4066343341502766, ""O2_qmax_mg_gdw_h"": 0.15, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
solubility_o2_qfit,25170,191,3.682836625185818,0.24035616031212498,0.19712855145161778,-0.1354053308008557,0.7790088202161262,-0.43885684835858046,0.8429014985264911,"{""kCO2_release_h"": 0.26702581875198395, ""CO2sat_scale"": 0.4066559138547713, ""O2_qmax_mg_gdw_h"": 0.15000000000000002, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
solubility_o2_qfit,25171,110,3.5890908286321612,0.19463400035414724,0.11714601817637207,-0.011368515409762268,0.4349969129331699,-0.025408043296040617,0.9311800707136457,"{""kCO2_release_h"": 0.26702581875198395, ""CO2sat_scale"": 0.4066559138547713, ""O2_qmax_mg_gdw_h"": 0.15000000000000002, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}"
