analysis,direction,eigenvalue,relative_eigenvalue
current,1,1e-09,1.0
current,2,1e-09,1.0
current,3,1e-09,1.0
current,4,1e-09,1.0
current,5,1e-09,1.0
current,6,1e-09,1.0
current,7,1e-09,1.0
current,8,1e-09,1.0
current,9,1e-09,1.0
current,10,1e-09,1.0
current,11,1e-09,1.0
current,12,1e-09,1.0
current,13,1e-09,1.0
current,14,1e-09,1.0
current,15,1e-09,1.0
current,16,1e-09,1.0
current,17,1e-09,1.0
current,18,1e-09,1.0
current,19,1e-09,1.0
current,20,1e-09,1.0
current,21,1e-09,1.0
current,22,1e-09,1.0
current,23,1e-09,1.0
current,24,1e-09,1.0
current,25,1e-09,1.0
current,26,1e-09,1.0
current,27,1e-09,1.0
current,28,1e-09,1.0
current,29,1e-09,1.0
current,30,1e-09,1.0
current,31,1e-09,1.0
current,32,1e-09,1.0
current,33,1e-09,1.0
current,34,1e-09,1.0
current,35,1e-09,1.0
current,36,1e-09,1.0
