group,n,rmse,mae,bias,obs_scale,relative_rmse,relative_bias,corr,state,species,state_pool,mode,batch,scale_factor_L_min_per_g_l_h
core,129,12.955419477537198,8.26174803320036,0.9427192288993047,72.74489439231903,0.17809386604739003,0.012959249398523347,0.9092214907796107,E,,,,,
core,129,15.20036700792191,11.533365011503827,-7.116970871698168,26.72,0.5688760107755206,-0.2663537002881051,0.8699893132894922,F,,,,,
core,129,10.481279832277599,6.4831357331696315,0.6500517308144685,19.4525,0.5388140255636858,0.03341738752419836,0.9049214032568599,G,,,,,
core,129,0.6310355199755898,0.45246732901848247,-0.002456261374754326,5.82,0.10842534707484361,-0.0004220380368993687,0.9103004268274513,Gly,,,,,
core,125,0.03599858845678645,0.023170926184658713,-0.011080826421055016,0.038125,0.9442252709976773,-0.29064462743750863,0.6739114587021907,N,,,,,
core,122,0.43373114131597773,0.3013083186143678,-0.12429220565392841,1.2834,0.3379547618170311,-0.09684603837769082,0.6451098307656594,X,,,,,
secondary,105,23.13148992850081,15.117716095199977,-4.496155025754179,205.0,0.1128365362365893,-0.021932463540264287,0.635302954577672,AcAld,,,,,
secondary,127,16.2127743206259,12.650961796387541,-0.5777445304116477,49.0,0.33087294531889594,-0.011790704702278526,0.430794787120544,Pyr,,,,,
aroma,17,0.03952672243313091,0.030430886089462178,0.02728814548210548,0.015919813603470143,2.4828633938600273,1.7140995593162793,0.5030579786635083,,ethyl_acetate,condensate,,,
aroma,17,4.720986923953763,3.7536302103013965,-3.555506121150842,8.2939076996105,0.5692114133577193,-0.428688894297415,0.020233021065092387,,ethyl_acetate,retained,,,
aroma,51,3.494258978909688,2.4820564600775796,-2.0327462617653844,7.676322371100181,0.455199613823525,-0.2648073079132617,0.626977960425589,,ethyl_acetate,total,,,
aroma,44,0.014064356299603618,0.009608402930506512,-0.009466877002775443,0.013426800628608153,1.0474838115669225,-0.7050731789823856,0.4994001643941867,,ethyl_octanoate,condensate,,,
aroma,44,0.02167823343698576,0.016902749088003897,-0.0004990398379879559,0.034524019795125135,0.6279174199768816,-0.014454858992359324,0.33382427498076217,,ethyl_octanoate,retained,,,
aroma,51,0.025410103337899604,0.016616576626825065,-0.00859804590183509,0.045336386375,0.5604792390756486,-0.18965000498090734,0.6270334889879146,,ethyl_octanoate,total,,,
aroma,44,0.6302242304154037,0.38998788470753804,-0.3750492702404422,0.6985189388859917,0.9022292672844269,-0.536920689421215,0.46961321842543613,,isoamyl_acetate,condensate,,,
aroma,44,1.8329933594426775,1.322852566521732,-0.5750243028172524,5.20307736132758,0.3522902375172419,-0.1105161931842838,0.642550331826964,,isoamyl_acetate,retained,,,
aroma,51,2.0803088949710253,1.385197453774176,-0.8196713179321286,5.333876885951338,0.39001816867019534,-0.1536727103865154,0.7746353407138297,,isoamyl_acetate,total,,,
co2,191,0.2403473165470326,0.19712145914368054,-0.135401284999456,,0.7789801570397717,-0.4388437356720942,0.8429168806497217,CO2_flow_L_min,,,solubility_o2_slow_transition,25170,3.682891513877386
co2,110,0.19465181384440391,0.11715841617809722,-0.011368223165658232,,0.4350367251615376,-0.025407390145600058,0.9311668914028195,CO2_flow_L_min,,,solubility_o2_slow_transition,25171,3.589088946231147
