candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,candidate_logdet,candidate_min_eigenvalue,candidate_max_eigenvalue,candidate_min_relative_eigenvalue,candidate_condition_number,candidate_trace_inv,candidate_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_kCO2_release_h,var_reduction_kCO2_release_h,var_ratio_CO2sat_scale,var_reduction_CO2sat_scale,target_mean_var_reduction,target_worst_var_reduction,aroma_co2_mean_var_reduction,aroma_co2_worst_var_reduction,hybrid_score,dopt_score,eopt_score,rationale
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"15, 22, 18, 22",,6.034589878787417,11.543061002944743,36.17996097476379,0.3190457007677882,3.13434720353067,0.11427174283785699,2,6.959128132716249,24.975004639793923,42.150756091637305,0.5925161718451109,1.687717648087096,0.06376439936639774,2,0.46287464284971896,0.537125357150281,0.11918568273415728,0.8808143172658427,0.7089698372080618,0.537125357150281,0.7089698372080618,0.537125357150281,6.050001920934031,6.959128132716249,3.2178755103121346,Temperature-only perturbation for settings where nutrient action is constrained.
natural_pilot_CO2_warm_start_cool_retention,CO2_strip_retention,natural,300.0,"23, 22, 16, 15",,4.83202466161271,8.654046583688759,14.49781048392606,0.5969209345979264,1.675263744391172,0.18452881173456714,2,6.086245845590405,17.67784619763888,24.87674962369864,0.7106172014047293,1.407227404604373,0.09676615468132055,2,0.5369516054362936,0.4630483945637064,0.2517303324509733,0.7482696675490267,0.6056590310563665,0.4630483945637064,0.6056590310563665,0.4630483945637064,5.519775967340224,6.086245845590405,2.872312228388152,"Warm early fermentation maximizes gas release, then cooling separates production from retention."
natural_pilot_EA_warm_early_noN,EA_temperature_Nstress,natural,300.0,"24, 23, 19, 17",,5.0130148595935715,6.604340953235407,22.76644420710641,0.2900910169877956,3.447193954447996,0.1953398565749505,2,6.3259521673791586,18.401409686897487,30.37211422716703,0.6058652864685306,1.6505319290180875,0.08726860126375174,2,0.5933655058175495,0.40663449418245046,0.18030153364290702,0.819698466357093,0.6131664802697717,0.40663449418245046,0.6131664802697717,0.40663449418245046,5.445695160296455,6.3259521673791586,2.9124272750986235,Warm early natural fermentation without nutrient pulse to excite ethanol-biomass and nitrogen-limited EA directions.
natural_pilot_warm_to_cool_noN,temperature,natural,300.0,"22, 22, 17, 16",,5.298692307462117,8.03604029969455,24.897212405747506,0.32276867661856934,3.098194070367448,0.1646045346992942,2,6.447937807546509,18.862852528917983,33.473138930246776,0.5635220696877417,1.774553391589648,0.08288895147024788,2,0.5575596143579573,0.4424403856420427,0.17383375891661335,0.8261662410833867,0.6343033133627147,0.4424403856420427,0.6343033133627147,0.4424403856420427,5.425352920809805,6.447937807546509,2.93719451332518,"Warm early phase to excite growth and CO2, then cool aroma-retention phase."
natural_pilot_CO2_Npulse_release_probe,CO2_N_temperature,natural,300.0,"18, 18, 23, 20",50h:0.045,5.285267000324043,7.2075678256068025,27.388834748524054,0.26315715479627,3.800010684771905,0.17525428588300734,2,6.501556620484842,19.074988426299292,34.92415290155426,0.5461832812400264,1.8308872394073499,0.08105815033001859,2,0.576810374932816,0.42318962506718405,0.156478226281573,0.843521773718427,0.6333556993928056,0.42318962506718405,0.6333556993928056,0.42318962506718405,5.41758468503673,6.501556620484842,2.9483779704232482,N pulse during active growth perturbs CO2 production while temperature step perturbs dissolved capacity.
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,5.192088691715679,6.973008252219222,25.791422103186747,0.27036152656962825,3.6987511229430137,0.1821827076777401,2,6.435854587312925,18.5644141680597,33.602754941068966,0.5524670283914861,1.8100627704634449,0.08362596376613113,2,0.5852736367076079,0.4147263632923921,0.16563544734166885,0.8343645526583312,0.6245454579753617,0.4147263632923921,0.6245454579753617,0.4147263632923921,5.373201600119181,6.435854587312925,2.921246531411232,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_CO2_cold_start_warm_ramp,CO2_solubility_temperature,natural,300.0,"12, 14, 22, 21",54h:0.035,5.6505859655391415,7.540783170755107,37.722620210753334,0.199900832143296,5.002480426310405,0.1591215132236685,2,6.791769737401104,19.885606008051298,44.78053612717984,0.4440680645621301,2.2519070381384942,0.07261876062670003,2,0.5657990084089161,0.43420099159108394,0.11918681989466032,0.8808131801053397,0.6575070858482118,0.43420099159108394,0.6575070858482118,0.43420099159108394,5.299341476914825,6.791769737401104,2.9899961538327617,"Cold start increases CO2 capacity, then warm ramp releases dissolved CO2 and excites stripping dynamics."
natural_pilot_EA_cold_warm_Nsplit,EA_temperature_Nsplit,natural,300.0,"13, 18, 23, 19",32h:0.025; 80h:0.035,5.723836542616249,7.037389228424833,43.49296885281012,0.16180521620036845,6.18027047262598,0.1650903729786004,2,6.909803092958793,20.113616179964417,49.81948065499324,0.40372994490356046,2.476903218657391,0.06979003329495914,2,0.5719489569480475,0.4280510430519525,0.10247376812638667,0.8975262318736134,0.6627886374627829,0.4280510430519525,0.6627886374627829,0.4280510430519525,5.228898140913871,6.909803092958793,3.00139700760717,Cold start then warm acceleration with split nitrogen to test temperature and N response.
natural_pilot_lateN_stationary_probe,N_timing,natural,300.0,"18, 20, 20, 18",80h:0.05,4.992495142404973,5.386366070682346,27.347474463883714,0.1969602742584446,5.077165960318648,0.2222203718415955,2,6.403581982040391,17.37628047750528,34.76029881078348,0.49988869693245386,2.000445311399234,0.08631816786101294,2,0.6352248446925238,0.3647751553074762,0.15764730206334862,0.8423526979366514,0.6035639266220638,0.3647751553074762,0.6035639266220638,0.3647751553074762,5.1393281182506,6.403581982040391,2.8551060852824652,Late nitrogen addition to test stationary/growth split in secondary and aroma formation.
natural_pilot_reference_18C,reference,natural,300.0,"18, 18, 18, 18",,4.860539794628763,4.731401577076726,27.284487561764205,0.17340994828531042,5.766681842005429,0.24800472453771616,2,6.364921834269016,16.772344711331193,34.646283181232434,0.48410228085928175,2.0656791747086993,0.08848508091802879,2,0.6590618971844437,0.34093810281555625,0.1582262532275296,0.8417737467724704,0.5913559247940133,0.34093810281555625,0.5913559247940133,0.34093810281555625,5.0352497591840955,6.364921834269016,2.819731381883573,Natural must reference at moderate temperature.
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"16, 20, 23, 18",54h:0.04,5.053963491830868,4.92461149659198,31.808008708550297,0.15482300516562034,6.458988436054836,0.23450032599442847,2,6.509374797126942,17.279347342276203,38.85601161658877,0.44470203253951934,2.2486967156174016,0.08360859944398977,2,0.649166715944721,0.350833284055279,0.13819096992609656,0.8618090300739034,0.6063211570645912,0.350833284055279,0.6063211570645912,0.350833284055279,5.012753620347696,6.509374797126942,2.849511993118421,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_EA_cold_retention_noN,EA_retention_reference,natural,300.0,"13, 13, 16, 18",,5.484153222949097,5.774758348359249,41.70649248863813,0.13846185578737974,7.222205670387571,0.1971445007600924,2,6.793532527846456,18.39846497855646,48.485524612163616,0.3794630485227506,2.6353027096920223,0.07497707270966056,2,0.6173721832968997,0.3826278167031003,0.10884225537951062,0.8911577446204894,0.6368927806617948,0.3826278167031003,0.6368927806617948,0.3826278167031003,4.985065061848493,6.793532527846456,2.9122672360564215,Low-temperature no-pulse comparator to decouple synthesis from CO2 stripping.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"21, 24, 23, 19",30h:0.03,4.679050644549388,3.8558275700846316,27.92339829997677,0.13808589945471786,7.2418690391188525,0.29515995582505433,2,6.325874049133143,15.790353938396239,35.39161068538787,0.44616093002276386,2.2413437231022857,0.09158508629518171,2,0.6967311918632106,0.30326880813678936,0.1575268314311878,0.8424731685688122,0.5728709883528007,0.30326880813678936,0.5728709883528007,0.30326880813678936,4.8312472660336265,6.325874049133143,2.7593992433675805,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
