candidate,family,medium,horizon_h,initials_json,temperature_segments,N_pulses_kg_m3,rationale
natural_pilot_reference_18C,reference,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","18, 18, 18, 18",,Natural must reference at moderate temperature.
natural_pilot_reference_20C,reference,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","20, 20, 20, 20",,Natural must warmer reference to increase rate and CO2 information.
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","14, 16, 22, 20",30h:0.045,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_warm_to_cool_noN,temperature,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","22, 22, 17, 16",,"Warm early phase to excite growth and CO2, then cool aroma-retention phase."
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","16, 20, 23, 18",54h:0.04,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_lateN_stationary_probe,N_timing,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","18, 20, 20, 18",80h:0.05,Late nitrogen addition to test stationary/growth split in secondary and aroma formation.
natural_pilot_two_step_N_ladder,N_timing,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","17, 19, 21, 18",30h:0.03; 78h:0.035,Two smaller nitrogen pulses to separate early growth and later metabolic response.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","21, 24, 23, 19",30h:0.03,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
natural_pilot_low_temp_aroma_retention,aroma_retention,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","13, 15, 16, 16",54h:0.035,Cold profile to contrast aroma retention against high-rate stripping.
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"{""X"": 0.45, ""Xd"": 0.0, ""N"": 0.1, ""G"": 65.0, ""F"": 73.0, ""E"": 7.0, ""Gly"": 2.7750000000000004, ""Pyr"": 30.0, ""AcAld"": 193.5, ""Acetate"": 0.08, ""O2"": 6.5, ""CO2"": 0.0, ""ethyl_acetate_liq"": 0.0, ""ethyl_acetate_cond"": 0.0, ""isoamyl_acetate_liq"": 0.0, ""isoamyl_acetate_cond"": 0.0, ""ethyl_octanoate_liq"": 0.0, ""ethyl_octanoate_cond"": 0.0}","15, 22, 18, 22",,Temperature-only perturbation for settings where nutrient action is constrained.
