,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
kAldO2,6654.272385445352,-111388.71919554341,-193.40389723129763,-159.72700398172896,370.04455906101504,92.88112396457277,-4872.239713619865,2503.7625306043683,-92563.71196350754,0.0,0.0,548.9961443456034,2737.3831115583544,3722.6537600218685,-385110.14511425863,309228.63608445774,251.0764435100462,2237.2189234925895,3322.1671172348474,-928289.4067870951,-681139.6809665934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-4518730.527655759,39875595.24808575,28624.258786584196,41032.424926002255,99.65887660894043,78868.95310577768,-1768688.421794152,-7933468.462206112,54511214.31138812,0.0,0.0,-193132.83481462015,-1121453.4510915177,-1545075.257542896,177113445.04898086,-110496021.8552713,-38773.84784218737,-584699.7000965409,-928289.4067870951,448990049.1864467,187705899.23105776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-1201834.0115311467,22196861.891201843,42085.55740184826,34410.48332212582,-81926.74660915158,-23799.428991976583,1141981.895933444,-235144.57435662218,18724282.344944242,0.0,0.0,-110729.50607695756,-554502.9881394453,-750857.5279958072,77771111.5515736,-63074732.460311785,-52531.04367199775,-463969.34657635476,-681139.6809665934,187705899.23105776,140639070.3094288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,400205.78932748566,-666733.1972877083,13382.628683579225,15400.261321867172,-10505.8191354425,403.01056901270675,-126427.5951258922,-375033.65092253464,-784162.5353824538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333434.4376644637,789372.2834299565,0.0,0.0,0.0,0.0,164734.12930884483,0.0,0.0,638831.6589053512,553145.7802996414,-1094.9989160936436,-1374.482074452988
k_EA_stationary,1008001.8665738808,-2169017.045619299,30081.815599914782,34557.782975806665,-26398.36576917362,-180.10968210683464,-233189.16393865095,-742021.3275799627,-3482650.2700074376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789372.2834299565,2545623.292509894,0.0,0.0,0.0,0.0,348314.8291285694,0.0,0.0,2281598.7198681957,2077382.8535870782,-4958.00546944051,-2713.662770713984
k_IAA_growth,126642.04268574728,-323372.8027383369,-2795.788524470119,-1344.4572153003614,6827.582781989625,5517.518730014701,-177377.0073227515,-313375.810449876,-25055.296072623678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143198.93444348002,375848.451755535,0.0,0.0,0.0,3431.030624761355,0.0,0.0,0.0,-56.52435082396429,-115.59449762852523
k_IAA_stationary,316580.8011107868,-903507.8134822402,-9395.490844168231,-5818.378236791877,18997.507823889242,15054.116811297874,-440334.56631655403,-864083.1414138428,-103093.07019222657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375848.451755535,1360877.0637044343,0.0,0.0,0.0,5469.203448762074,0.0,0.0,0.0,-261.56628110345054,-169.6372175556532
k_EO_growth,3571431.059630765,-34787899.05577365,-122870.29686312073,-58989.04656171697,344332.58074452967,255280.0139165273,-8950859.666573998,-12868465.341327252,-1051637.3933729918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773905297.8708649,2642873577.3153896,0.0,0.0,55418.83543069953,0.0,0.0,2517.0851188536258,-6204.890164366365
k_EO_stationary,9256312.455244234,-118107958.38627426,-533445.2996582472,-366542.2066173468,1252359.6935049382,841454.3742638908,-27353455.090645336,-41500767.70281609,-4191872.2173490766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2642873577.3153896,12423513656.945702,0.0,0.0,-30494.484294082085,0.0,0.0,-3157.675602694226,2466.2182721938116
alpha_EA_loss,156225.40087956446,-216024.49114117233,13268.520510454942,15005.796175563573,-12991.122197742556,-1618.5377911458336,-62566.7434292424,-187318.9261295435,-193718.0618791157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164734.12930884483,348314.8291285694,0.0,0.0,0.0,0.0,150465.75646866692,0.0,0.0,224535.61660026736,184031.426099785,-1607.0239771155377,-1229.428662203538
alpha_IAA_loss,3930.7312802465835,-12175.901236192018,142.56408620869607,240.7189494885958,-54.07141823507098,117.6008618243955,-6026.452308684828,-11355.849491409383,-1081.7862912717806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3431.030624761355,5469.203448762074,0.0,0.0,0.0,844.0743169864976,0.0,0.0,0.0,-12.99846424697763,-29.316602263322835
alpha_EO_loss,679.1683272406206,-3625.4657631058676,43.41445023549368,66.59153999380715,-22.104618722952058,24.019880045620642,-1482.685188111436,-2267.798833340801,-202.27275109969685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55418.83543069953,-30494.484294082085,0.0,0.0,104.60938727617562,0.0,0.0,12.120831635491236,-11.986895024842267
k_EA_XE,942560.7209495642,-2291339.684656804,19534.75095489719,22216.871347467997,-17110.91334562614,-328.52718829385964,-135496.39208646078,-498788.1337629095,-4647530.403589268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638831.6589053512,2281598.7198681957,0.0,0.0,0.0,0.0,224535.61660026736,0.0,0.0,2398025.0309620546,2229485.963691084,-3299.6250071473128,-1736.6042529437557
k_EA_XE_Nlim,837791.4396976344,-2115741.164777966,16262.99846776776,18435.869611081147,-14566.094021686886,-474.4677251557876,-103180.0824212786,-403037.8257757086,-4437291.794692472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553145.7802996414,2077382.8535870782,0.0,0.0,0.0,0.0,184031.426099785,0.0,0.0,2229485.963691084,2083185.1041806224,-3010.648459979775,-1399.0540399624829
kCO2_release_h,2953.329905677768,-7950.305214993943,-207.24499416093133,-278.1329152798116,528.81234346814,132.71417992776762,-2460.6341428679507,-8618.501124521927,4228.0826394076685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1094.9989160936436,-4958.00546944051,-56.52435082396429,-261.56628110345054,2517.0851188536258,-3157.675602694226,-1607.0239771155377,-12.99846424697763,12.120831635491236,-3299.6250071473128,-3010.648459979775,437.59156604532313,-38.07741943421275
CO2sat_scale,-1669.8506176155317,2705.4957063562383,-124.34184832197151,-138.34578723309826,91.41808489481788,3.336053920376162,1040.8587405742874,2673.349926434733,1326.58190954884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1374.482074452988,-2713.662770713984,-115.59449762852523,-169.6372175556532,-6204.890164366365,2466.2182721938116,-1229.428662203538,-29.316602263322835,-11.986895024842267,-1736.6042529437557,-1399.0540399624829,-38.07741943421275,30.75025504284362
