timestamp,fermentador,flow_filt_sccm,status,is_spike
2026-03-29 18:25:22,F2,2.4700,OK,0
2026-03-29 18:25:32,F2,2.4692,OK,0
2026-03-29 18:25:42,F2,2.4683,OK,0
2026-03-29 18:25:53,F2,2.4675,OK,0
2026-03-29 18:26:03,F2,2.4667,OK,0
2026-03-29 18:26:13,F2,2.4660,OK,0
2026-03-29 18:26:24,F2,2.4652,OK,0
2026-03-29 18:26:34,F2,2.4645,OK,0
2026-03-29 18:26:44,F2,2.4639,OK,0
2026-03-29 18:26:55,F2,2.4632,OK,0
2026-03-29 18:27:05,F2,2.4626,OK,0
2026-03-29 18:27:15,F2,2.4620,OK,1
2026-03-29 18:27:26,F2,2.4615,OK,1
2026-03-29 18:27:36,F2,2.4610,OK,1
2026-03-29 18:27:46,F2,2.4605,OK,0
2026-03-29 18:27:57,F2,2.4600,OK,0
2026-03-29 18:28:07,F2,2.4595,OK,0
2026-03-29 18:28:17,F2,2.4591,OK,0
2026-03-29 18:28:28,F2,2.4587,OK,0
2026-03-29 18:28:38,F2,2.4584,OK,0
2026-03-29 18:28:48,F2,2.4580,OK,0
2026-03-29 18:28:59,F2,2.4577,OK,0
2026-03-29 18:29:09,F2,2.4574,OK,0
2026-03-29 18:29:19,F2,2.4571,OK,0
2026-03-29 18:29:30,F2,2.4569,OK,0
2026-03-29 18:29:40,F2,2.4566,OK,0
2026-03-29 18:29:50,F2,2.4564,OK,0
2026-03-29 18:30:01,F2,2.4562,OK,0
2026-03-29 18:30:11,F2,2.4560,OK,0
2026-03-29 18:30:21,F2,2.4559,OK,0
2026-03-29 18:30:32,F2,2.4558,OK,0
2026-03-29 18:30:42,F2,2.4556,OK,0
2026-03-29 18:30:52,F2,2.4555,OK,0
2026-03-29 18:31:02,F2,2.4555,OK,0
2026-03-29 18:31:13,F2,2.4554,OK,0
2026-03-29 18:31:23,F2,2.4554,OK,1
2026-03-29 18:31:33,F2,2.4553,OK,1
2026-03-29 18:31:44,F2,2.4553,OK,1
2026-03-29 18:31:54,F2,2.4553,OK,0
2026-03-29 18:32:04,F2,2.4554,OK,0
2026-03-29 18:32:15,F2,2.4554,OK,0
2026-03-29 18:32:25,F2,2.4555,OK,0
2026-03-29 18:32:35,F2,2.4555,OK,0
2026-03-29 18:32:46,F2,2.4556,OK,0
2026-03-29 18:32:56,F2,2.4557,OK,0
2026-03-29 18:33:06,F2,2.4558,OK,0
2026-03-29 18:33:17,F2,2.4560,OK,0
2026-03-29 18:33:27,F2,2.4561,OK,0
2026-03-29 18:33:37,F2,2.4563,OK,0
2026-03-29 18:33:48,F2,2.4565,OK,0
2026-03-29 18:33:58,F2,2.4567,OK,0
2026-03-29 18:34:08,F2,2.4569,OK,0
2026-03-29 18:34:19,F2,2.4571,OK,0
2026-03-29 18:34:29,F2,2.4573,OK,0
2026-03-29 18:34:39,F2,2.4576,OK,0
2026-03-29 18:34:50,F2,2.4579,OK,0
2026-03-29 18:35:00,F2,2.4582,OK,0
2026-03-29 18:35:10,F2,2.4585,OK,0
2026-03-29 18:35:21,F2,2.4588,OK,0
2026-03-29 18:35:31,F2,2.4591,OK,0
