stage,result_index,start_index,seed,success,status,nfev,robust_objective,initial_wsse,final_wsse,message,estimate__mu0,estimate__qN,estimate__betaG0,estimate__betaF0,estimate__qEG,estimate__qEF,estimate__gammaG0,estimate__gammaF0,estimate__yan_delivery_fraction,estimate__oculyze_biomass_scale_kg_m3_per_million_cells_ml
selected_basin_replication,6,1,20260731,True,3,14,4191.866192908862,18617.470163974915,16861.175397476232,`xtol` termination condition is satisfied.,0.22784905200465308,0.08011747813862068,8.88015925109284,8.570934736416923,17.605845882268227,18.90119208557289,1.012960653752262,0.27454297995299465,0.9768956118304386,0.04178452355701551
selected_basin_replication,5,0,20260716,True,3,11,4252.807836605069,18674.746462177296,17551.9191627263,`xtol` termination condition is satisfied.,0.21543979159503127,0.06893886643432753,5.18183097044779,9.534995915483771,11.661646910109097,18.488782787692827,0.765637196625643,0.05163174180221581,0.9227079609063594,0.04499198941083849
selected_basin_replication,8,3,20260907,True,3,12,4262.017976937845,17997.824959648868,17896.319106180126,`xtol` termination condition is satisfied.,0.20611475840251153,0.06383490456672679,6.81222015579586,7.453714668860147,13.194360496136774,16.476105875093396,0.8903139472797907,0.03901522628646602,0.9559569146998135,0.04993151097481179
selected_basin_replication,9,4,20261003,True,3,12,4294.553939587182,17915.82479258257,17149.04875667029,`xtol` termination condition is satisfied.,0.21552387409077228,0.07547914944423571,6.053139862065535,9.593600005685541,13.976061359846158,19.493025814397914,0.972328201657569,0.03179138443174934,0.9979141668111409,0.04197128004818374
selected_basin_replication,7,2,20260819,True,3,13,4323.080224970948,18233.758395706252,18297.824065670913,`xtol` termination condition is satisfied.,0.2071798628930422,0.06155584223251211,6.712719297978108,6.0291372988785445,14.348702632514403,12.484393837797983,0.8686328636840134,0.13554916043752485,0.9021181414309781,0.04785135865515689
broad_global_screen,1,1,20260731,True,3,22,4365.817287652028,391627.96629996254,17932.073474368874,`xtol` termination condition is satisfied.,0.20458691807766133,0.06509185172881037,5.129247707731162,9.59942849266664,11.414694124535547,20.018549500034077,0.749205462994072,0.06654467678390165,0.8932294837646078,0.04377681026770775
broad_global_screen,0,0,20260716,True,3,16,4962.376781649033,692766.847543776,20858.396706699372,`xtol` termination condition is satisfied.,0.1797796224196777,0.06047514907092933,4.9940568679550825,9.74421570281669,11.83067352994288,21.02671835488949,0.8155073548086005,0.014879940861531505,0.9820194644511322,0.03534671660761567
broad_global_screen,3,3,20260907,True,3,28,5682.3903181511,2755746.1038876977,28421.05071564844,`xtol` termination condition is satisfied.,0.12862704621856516,0.031667656790530456,8.865984888654603,9.217233746310649,23.27089760591441,14.94493419687028,1.4010601421827211,0.15128397549161046,0.9013365760542197,0.058609397401836544
broad_global_screen,4,4,20261003,True,3,21,9304.993266783866,879613.1470025792,78039.91642176214,`xtol` termination condition is satisfied.,0.16480533031288117,0.020850831059309186,0.7178146725741731,0.191476953416149,0.7801726011435575,1.4339462747408915,0.06732071771057771,0.0018304557758586214,0.9618148070843715,0.049136222675254373
broad_global_screen,2,2,20260819,True,3,16,11239.58087997599,5108414.215160567,89655.96718608458,`xtol` termination condition is satisfied.,0.18674761763931153,0.08378822491844382,0.38917897938127405,0.31625244605998354,2.917378916188916,0.5425867851598036,0.04415577281934792,0.001198404223556491,0.8877827799399112,0.013159724614454768
