policy,candidate,family,medium,horizon_h,n_full_samples,n_small_samples,sample_volume_ml,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
full12_small8,natural_control_18C,natural_baseline,natural,216.0,12,8,664.0,96.86221808920934,125.6469795449988,63.31355691247603,1.6067617336433662e-14,13259.46694309139,1.2117845615811434e-18,1000000000000.0001,931311.5808777947,25,125.6469795449988,0.10021777748972825,165054.13972553617,6.071812415997414e-07,1646954.7006513218,22.59410272508114,26,0.9563625560520089,0.04363744394799107,0.932902344192837,0.06709765580716298,0.8979874116454386,0.1020125883545614,0.9028975251714486,0.09710247482855139,0.8182398107555333,0.18176018924446669,0.8537919146275131,0.14620808537248686,0.9484889536047973,0.05151104639520265,0.8412812974176617,0.15871870258233833,0.9826806888466825,0.01731931115331753,0.9280897450500157,0.07191025494998426,0.9842160587285628,0.01578394127143723,3.293762608539554e-06,0.9999967062373915,0.00010351235435314656,0.9998964876456469,1.4173882561141822e-05,0.9999858261174388,5.8620241775609063e-08,0.9999999413797582,5.275065637774238e-05,0.9999472493436222,4.2055493179820016e-07,0.9999995794450682,0.09446069290959504,0.905539307090405,0.005347228407296568,0.9946527715927034,0.1577080903974796,0.8422919096025204,0.004555811453344657,0.9954441885466554,0.14268792900938748,0.8573120709906126,0.0047316333886494024,0.9952683666113507,0.7470218341042291,0.25297816589577093,0.6693974064908843,0.3306025935091157,0.5328479644353931,0.46715203556460694,0.785562567108403,0.25297816589577093
full12_small8,natural_cold_hot_switch,natural_temperature,natural,216.0,12,8,664.0,94.63788255106066,125.3137243056325,64.98351936379537,3.166342273301712e-13,12770.994342775899,2.4793232134605088e-17,1000000000000.0,936747.9886082219,25,125.3137243056325,0.03925235868122028,164242.96893091325,2.389895831567152e-07,4184282.790870677,38.206293299851346,26,0.8641009907520748,0.1358990092479252,0.825310969924236,0.17468903007576397,0.9027478515840299,0.09725214841597007,0.9231016634192974,0.07689833658070255,0.8581288428750226,0.14187115712497744,0.9027010143081561,0.09729898569184392,0.9603703560180342,0.03962964398196578,0.8863117248135174,0.11368827518648261,0.9832699192143479,0.01673008078565208,0.9310883088686077,0.06891169113139228,0.9781072320172203,0.021892767982779726,8.540707987797516e-06,0.9999914592920122,0.000283426037471888,0.9997165739625281,1.4927805065797031e-05,0.9999850721949342,4.89589805915784e-08,0.9999999510410195,5.6915473687044395e-05,0.999943084526313,5.060125060210726e-07,0.999999493987494,0.06120775520125087,0.9387922447987491,0.007355394298621907,0.9926446057013781,0.10439820207144895,0.8956017979285511,0.006269685689395001,0.993730314310605,0.09355695187881247,0.9064430481211876,0.006414166838931374,0.9935858331610686,0.7583366569675276,0.2416633430324724,0.685177364848103,0.314822635151897,0.5427617619480783,0.45723823805192165,0.7940422398883307,0.2416633430324724
full12_small8,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,12,8,664.0,99.69731879377933,128.93464738549193,76.1013651475694,0.00011313275590624515,19747.772039148753,5.728887070499212e-09,174553973.17037016,9045.221519908899,25,128.93464738549193,0.0828384914156288,170864.1328628254,4.848208341193169e-07,2062617.6303180382,23.738891539403433,26,0.950769577286952,0.049230422713048005,0.9248317243209682,0.07516827567903184,0.8533394074981978,0.1466605925018022,0.9241327902614168,0.07586720973858319,0.8372660888335062,0.16273391116649383,0.9190736174275311,0.08092638257246887,0.9751835976705455,0.02481640232945448,0.8702619860190883,0.12973801398091167,0.9788279753944045,0.02117202460559553,0.9098665928492523,0.09013340715074769,0.9586458319125419,0.041354168087458065,3.944873946632509e-06,0.9999960551260534,0.00013091366258962458,0.9998690863374103,1.102920167315308e-05,0.9999889707983268,5.2907958948164856e-08,0.9999999470920411,4.982071239649202e-05,0.9999501792876035,3.5807942935832456e-07,0.9999996419205707,0.07268443862930632,0.9273155613706937,0.0043763936720622,0.9956236063279378,0.1233142211109292,0.8766857788890708,0.003669549447006134,0.9963304505529939,0.11106436201110499,0.888935637988895,0.003664111198966693,0.9963358888010333,0.5186601467363005,0.48133985326369955,0.43956297915967435,0.5604370208403257,0.3266417563833724,0.6733582436166277,0.8542101693508591,0.48133985326369955
full12_small8,synthetic_natural_like_control,synthetic_baseline,synthetic,216.0,12,8,664.0,94.3689322105258,127.35986331503487,66.81301032193181,1.0340668176604198e-13,13326.393623554995,7.759539804022151e-18,1000000000000.0,913893.9538794521,25,127.35986331503487,0.012662253041503958,165141.13181831373,7.667534370198465e-08,13042002.183736103,87.46129172692358,26,0.9457033968121807,0.05429660318781926,0.9234828007708624,0.07651719922913758,0.8968911955328099,0.10310880446719006,0.9003018850505323,0.09969811494946768,0.8170212146557576,0.1829787853442424,0.8488590908984922,0.1511409091015078,0.9432847829831053,0.05671521701689475,0.8413129678511648,0.15868703214883517,0.9820301090530221,0.017969890946977873,0.9274571535593139,0.07254284644068609,0.9838796184416879,0.01612038155831208,1.619213806525766e-05,0.9999838078619347,0.0004237540473390579,0.9995762459526609,0.0005080648275878197,0.9994919351724122,3.20122526505548e-08,0.9999999679877474,4.89916830087261e-06,0.9999951008316992,3.3025406080017926e-07,0.9999996697459392,0.09447011090027402,0.905529889099726,0.005134653091394513,0.9948653469086055,0.15775738023502398,0.842242619764976,0.004387421603742276,0.9956125783962577,0.14277086068912773,0.8572291393108723,0.004565494861123401,0.9954345051388765,0.7464810402120222,0.2535189597879778,0.6687276269950032,0.3312723730049968,0.5322471563658676,0.4677528436341324,0.7857684568749144,0.2535189597879778
full12_small8,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,12,8,664.0,98.79478306662456,132.0031858155099,88.05985591722352,0.0005456722216369155,21738.778538600658,2.510132851613478e-08,39838528.839508,1943.1025672877984,26,132.0031858155099,0.011846001149829036,172052.0258015531,6.885127387859041e-08,14524059.522317046,91.41143583903639,26,0.9374154247217414,0.06258457527825856,0.9157387090457626,0.0842612909542374,0.7995956970686692,0.20040430293133082,0.8837155903272397,0.11628440967276032,0.8546029945988415,0.14539700540115852,0.9120626294551658,0.08793737054483419,0.846964828923613,0.15303517107638698,0.9036480024044179,0.0963519975955821,0.974522100100203,0.025477899899796985,0.8346880641790965,0.16531193582090353,0.8727454627784774,0.12725453722152258,2.1140754510512267e-05,0.9999788592454895,0.0005057427442792438,0.9994942572557207,0.00048622904596107644,0.9995137709540389,2.7219046230290075e-08,0.9999999727809538,3.657668138759877e-06,0.9999963423318612,2.6445677945852036e-07,0.9999997355432205,0.07198534075845486,0.9280146592415451,0.0037875245353601243,0.9962124754646399,0.12136483277554787,0.8786351672244521,0.003137967703665688,0.9968620322963343,0.10833889033111065,0.8916611096688893,0.003116588126867155,0.9968834118731329,0.3979125406702158,0.6020874593297842,0.3654283708486917,0.6345716291513084,0.30667795789926106,0.6933220421007389,0.8743860058387188,0.6020874593297842
full12_small8,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,12,8,664.0,99.88221762289832,133.22207932294586,87.412344049849,0.00030503562734096113,20604.247510027955,1.4804502187837835e-08,67547019.6371424,3363.8872554624936,26,133.22207932294586,0.010980117462626149,170059.28156955546,6.456641096731437e-08,15487929.172743281,96.967258769281,26,0.8994874341225383,0.10051256587746171,0.8811177685537801,0.1188822314462199,0.6940174328233985,0.30598256717660155,0.6685743794310057,0.3314256205689943,0.8552062915556913,0.14479370844430872,0.7962817026181607,0.20371829738183933,0.6958621786601735,0.3041378213398265,0.8711470491062865,0.1288529508937135,0.9788768932736631,0.021123106726336882,0.7219298090950342,0.27807019090496576,0.7331560612077117,0.2668439387922883,2.6751575589465652e-05,0.9999732484244105,0.0005765075579969385,0.999423492442003,0.000489608943522457,0.9995103910564775,2.3659759754293478e-08,0.9999999763402403,3.3223480464688217e-06,0.9999966776519535,2.7699181411727e-07,0.9999997230081858,0.059535743373241905,0.9404642566267581,0.004171121887665396,0.9958288781123346,0.1015491999633932,0.8984508000366068,0.0034829549635281886,0.9965170450364718,0.09079442251085065,0.9092055774891493,0.0034573951066499855,0.99654260489335,0.36462704549607855,0.6353729545039215,0.31618219555642063,0.6838178044435794,0.24487539752517756,0.7551246024748224,0.8919382658433758,0.6353729545039215
full12_small8,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,12,8,664.0,101.25612730215778,133.689574526068,87.74381336900035,0.006431300220252028,13706.533593869448,4.692142018408338e-07,2131222.7892437465,230.67974075145236,26,133.689574526068,0.016483386109692227,163811.17444631044,1.0062430823420231e-07,9937956.519139566,66.29174908818513,26,0.8994820304699183,0.10051796953008174,0.8845633469646205,0.11543665303537953,0.742213639372615,0.257786360627385,0.43686904277737104,0.563130957222629,0.7554847320249216,0.2445152679750784,0.43453678760837633,0.5654632123916237,0.47978473104886726,0.5202152689511328,0.6957171920596865,0.3042828079403135,0.9878879720221154,0.012112027977884576,0.7408114699529998,0.25918853004700015,0.6790578392806049,0.3209421607193951,1.5458386557263453e-05,0.9999845416134427,0.0003933964868526379,0.9996066035131473,0.0003195318649147035,0.9996804681350853,2.0596164390465857e-08,0.9999999794038356,2.885159853259019e-06,0.9999971148401468,2.9378828391973665e-07,0.9999997062117161,0.05129930539359415,0.9487006946064058,0.004797823053467011,0.995202176946533,0.08805323173571757,0.9119467682642824,0.004029366034820817,0.9959706339651792,0.07860299577225531,0.9213970042277447,0.004004011434747074,0.995995988565253,0.4416153405551526,0.5583846594448474,0.38486984469139834,0.6151301553086017,0.29733078890259373,0.7026692110974062,0.8768540103161925,0.5583846594448474
full12_small8,synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,12,8,664.0,81.01258357774995,111.50910518621615,48.702337923782764,0.00026045189418072846,7636.794236016849,3.41048725592708e-08,29321323.463739723,4184.335417745032,26,111.50910518621615,0.04185666904827403,158708.56438985336,2.6373289437271245e-07,3791715.1077361647,54.449397307981236,26,0.9582803260724397,0.041719673927560263,0.9772748847563988,0.022725115243601213,0.8286661427434733,0.17133385725652672,0.9242352027250067,0.0757647972749933,0.7913092426898776,0.20869075731012243,0.9066332765592547,0.09336672344074526,0.9224854779333365,0.07751452206666354,0.8714772319286497,0.12852276807135032,0.9861894982086276,0.013810501791372443,0.8733666863167728,0.12663331368322717,0.9399179500853989,0.06008204991460109,3.9787522341407246e-05,0.9999602124776585,5.510499769946237e-05,0.9999448950023005,0.00013757943929885462,0.9998624205607012,6.458536084506874e-07,0.9999993541463915,0.00028578304996987796,0.9997142169500302,1.474697414220956e-06,0.9999985253025858,0.9211412387745259,0.07885876122547408,0.006241010624076539,0.9937589893759234,0.9542928003812036,0.045707199618796435,0.0036083125240275985,0.9963916874759724,0.9480950291526995,0.0519049708473005,0.003895596713374193,0.9961044032866259,0.4615100999220967,0.5384899000779033,0.3677937391363233,0.6322062608636767,0.27109131615069465,0.7289086838493053,0.642003963533963,0.045707199618796435
full12_small8,synthetic_low_sugar_saturation_scan,sugar_saturation,synthetic,168.0,10,6,548.0,81.58265877669305,115.9148422756234,36.51546329620511,2.0841321777339855e-14,3388.6319624111657,6.1503645153929046e-18,1000000000000.0,3354808.5176895787,25,115.9148422756234,0.006174024734687059,154819.25591006054,3.9878920089073075e-08,25075904.70771054,171.9065696335535,26,0.9713960981583859,0.0286039018416141,0.9569598270137115,0.04304017298628848,0.9454850860208481,0.05451491397915187,0.9367987731797536,0.06320122682024643,0.9260246145662927,0.0739753854337073,0.9134012497098248,0.08659875029017516,0.9478274817697643,0.05217251823023572,0.930397740249345,0.06960225975065504,0.9931417791252665,0.006858220874733534,0.9674114894446956,0.03258851055530443,0.973540852229991,0.026459147770009017,3.4842880967838504e-05,0.9999651571190321,0.000722403425349456,0.9992775965746505,0.001185365424868688,0.9988146345751313,4.992082807159864e-08,0.999999950079172,1.3257915800520728e-05,0.9999867420841995,1.0184623212711082e-06,0.9999989815376787,0.1752633795434387,0.8247366204565613,0.013876345617876823,0.9861236543821231,0.2767185090331948,0.7232814909668053,0.011403377066733946,0.988596622933266,0.2550089354536071,0.7449910645463929,0.012481767542908358,0.9875182324570917,0.9508922451207982,0.049107754879201826,0.9143339089219109,0.08566609107808909,0.8169136661071369,0.1830863338928631,0.6884630535649339,0.049107754879201826
full12_small8,synthetic_ethanol_inhibition_challenge,ethanol_inhibition,synthetic,216.0,12,8,664.0,90.66689852238022,124.03961338340459,78.64766285825782,0.0005146842463222042,13076.689319460402,3.935891063468672e-08,25407207.25940792,2042.3269434606045,26,124.03961338340459,0.010441366093554394,164071.03462252815,6.363930182787253e-08,15713560.194370694,104.89009136529607,26,0.9471295343448298,0.052870465655170173,0.9211280520602493,0.07887194793975072,0.9613571944056236,0.038642805594376384,0.8922284887664809,0.10777151123351913,0.9421788525650973,0.05782114743490274,0.8947149410347258,0.10528505896527418,0.9358220745413012,0.06417792545869883,0.8698855067705096,0.13011449322949042,0.9650930020182111,0.03490699798178887,0.9587354278815828,0.041264572118417164,0.9811893219772192,0.018810678022780802,4.315119733355255e-05,0.9999568488026664,0.0004163899150650784,0.9995836100849349,0.0006900659210514263,0.9993099340789485,6.956627898226452e-08,0.999999930433721,1.049244517131177e-05,0.9999895075548287,1.408725216022275e-07,0.9999998591274784,0.1613068887439521,0.8386931112560478,0.004609451328128198,0.9953905486718718,0.2550679355584541,0.7449320644415459,0.0036907437691964724,0.9963092562308036,0.2313772344626073,0.7686227655373927,0.003726889434055388,0.9962731105659446,0.6038172907171486,0.3961827092828514,0.5474743406185527,0.4525256593814473,0.46647000747130285,0.5335299925286972,0.7929498713253554,0.3961827092828514
