Cubada,variable,valor
MS007,n_registros,9.0
MS007,t_final_h,213.0
MS007,temperatura_setpoint,15.0
MS007,densidad_inicial,1098.6
MS007,densidad_final,1020.9
MS007,GLUCOSE_inicial,125.34
MS007,GLUCOSE_final,14.64
MS007,FRUCTOSE_inicial,120.52000000000001
MS007,FRUCTOSE_final,49.08
MS007,YAN_inicial,224.0
MS007,YAN_final,119.0
MS007,ETANOL_final,10.04
MS007,GLYCEROL_final,6.76
MS007,Viability_final,63.57
MS007,Peso_Seco_final,
MS007,Ethyl_Acetate_total_final,
MS007,isoamil_acetate_total_final,
MS007,octanoate_de_etilo_total_final,
MS008,n_registros,9.0
MS008,t_final_h,213.0
MS008,temperatura_setpoint,15.0
MS008,densidad_inicial,1097.1
MS008,densidad_final,1014.7
MS008,GLUCOSE_inicial,124.28
MS008,GLUCOSE_final,9.99
MS008,FRUCTOSE_inicial,119.63
MS008,FRUCTOSE_final,42.07
MS008,YAN_inicial,218.0
MS008,YAN_final,60.0
MS008,ETANOL_final,10.64
MS008,GLYCEROL_final,6.91
MS008,Viability_final,69.76
MS008,Peso_Seco_final,
MS008,Ethyl_Acetate_total_final,
MS008,isoamil_acetate_total_final,
MS008,octanoate_de_etilo_total_final,
MS009,n_registros,9.0
MS009,t_final_h,213.0
MS009,temperatura_setpoint,23.0
MS009,densidad_inicial,1095.4
MS009,densidad_final,989.8
MS009,GLUCOSE_inicial,120.89
MS009,GLUCOSE_final,1.13
MS009,FRUCTOSE_inicial,114.19000000000001
MS009,FRUCTOSE_final,0.8900000000000001
MS009,YAN_inicial,236.0
MS009,YAN_final,34.0
MS009,ETANOL_final,14.02
MS009,GLYCEROL_final,7.24
MS009,Viability_final,48.48
MS009,Peso_Seco_final,
MS009,Ethyl_Acetate_total_final,
MS009,isoamil_acetate_total_final,
MS009,octanoate_de_etilo_total_final,
MS010,n_registros,9.0
MS010,t_final_h,213.5
MS010,temperatura_setpoint,19.0
MS010,densidad_inicial,1097.9
MS010,densidad_final,992.0
MS010,GLUCOSE_inicial,124.65
MS010,GLUCOSE_final,0.96
MS010,FRUCTOSE_inicial,113.21000000000001
MS010,FRUCTOSE_final,3.92
MS010,YAN_inicial,221.0
MS010,YAN_final,
MS010,ETANOL_final,14.04
MS010,GLYCEROL_final,7.99
MS010,Viability_final,71.54
MS010,Peso_Seco_final,
MS010,Ethyl_Acetate_total_final,
MS010,isoamil_acetate_total_final,
MS010,octanoate_de_etilo_total_final,
MS011,n_registros,9.0
MS011,t_final_h,213.5
MS011,temperatura_setpoint,19.0
MS011,densidad_inicial,1097.2
MS011,densidad_final,996.4
MS011,GLUCOSE_inicial,123.57
MS011,GLUCOSE_final,2.48
MS011,FRUCTOSE_inicial,119.77000000000001
MS011,FRUCTOSE_final,11.799999999999999
MS011,YAN_inicial,218.0
MS011,YAN_final,
MS011,ETANOL_final,13.35
MS011,GLYCEROL_final,7.93
MS011,Viability_final,70.96
MS011,Peso_Seco_final,
MS011,Ethyl_Acetate_total_final,
MS011,isoamil_acetate_total_final,
MS011,octanoate_de_etilo_total_final,
MS012,n_registros,9.0
MS012,t_final_h,213.5
MS012,temperatura_setpoint,23.0
MS012,densidad_inicial,1095.3
MS012,densidad_final,988.8
MS012,GLUCOSE_inicial,122.56
MS012,GLUCOSE_final,2.97
MS012,FRUCTOSE_inicial,114.22999999999999
MS012,FRUCTOSE_final,-1.4400000000000002
MS012,YAN_inicial,223.0
MS012,YAN_final,
MS012,ETANOL_final,14.2
MS012,GLYCEROL_final,7.68
MS012,Viability_final,56.97
MS012,Peso_Seco_final,
MS012,Ethyl_Acetate_total_final,
MS012,isoamil_acetate_total_final,
MS012,octanoate_de_etilo_total_final,
MS013,n_registros,8.0
MS013,t_final_h,213.0
MS013,temperatura_setpoint,19.0
MS013,densidad_inicial,1098.4
MS013,densidad_final,993.9
MS013,GLUCOSE_inicial,125.07
MS013,GLUCOSE_final,1.09
MS013,FRUCTOSE_inicial,116.20000000000002
MS013,FRUCTOSE_final,8.43
MS013,YAN_inicial,218.0
MS013,YAN_final,90.0
MS013,ETANOL_final,13.9
MS013,GLYCEROL_final,8.08
MS013,Viability_final,67.21
MS013,Peso_Seco_final,
MS013,Ethyl_Acetate_total_final,
MS013,isoamil_acetate_total_final,
MS013,octanoate_de_etilo_total_final,
MS014,n_registros,8.0
MS014,t_final_h,213.0
MS014,temperatura_setpoint,19.0
MS014,densidad_inicial,1101.2
MS014,densidad_final,995.6
MS014,GLUCOSE_inicial,127.15
MS014,GLUCOSE_final,1.54
MS014,FRUCTOSE_inicial,126.5
MS014,FRUCTOSE_final,12.280000000000001
MS014,YAN_inicial,226.0
MS014,YAN_final,98.0
MS014,ETANOL_final,13.9
MS014,GLYCEROL_final,7.92
MS014,Viability_final,67.19
MS014,Peso_Seco_final,
MS014,Ethyl_Acetate_total_final,
MS014,isoamil_acetate_total_final,
MS014,octanoate_de_etilo_total_final,
MS015,n_registros,8.0
MS015,t_final_h,213.0
MS015,temperatura_setpoint,15.0
MS015,densidad_inicial,1098.3
MS015,densidad_final,1016.3
MS015,GLUCOSE_inicial,121.91
MS015,GLUCOSE_final,11.15
MS015,FRUCTOSE_inicial,118.49000000000001
MS015,FRUCTOSE_final,43.0
MS015,YAN_inicial,220.0
MS015,YAN_final,111.0
MS015,ETANOL_final,10.8
MS015,GLYCEROL_final,7.39
MS015,Viability_final,71.76
MS015,Peso_Seco_final,
MS015,Ethyl_Acetate_total_final,
MS015,isoamil_acetate_total_final,
MS015,octanoate_de_etilo_total_final,
MS016,n_registros,8.0
MS016,t_final_h,208.0
MS016,temperatura_setpoint,23.0
MS016,densidad_inicial,1098.5
MS016,densidad_final,989.0
MS016,GLUCOSE_inicial,125.22
MS016,GLUCOSE_final,0.6
MS016,FRUCTOSE_inicial,116.88
MS016,FRUCTOSE_final,0.12
MS016,YAN_inicial,214.0
MS016,YAN_final,129.0
MS016,ETANOL_final,14.5
MS016,GLYCEROL_final,7.86
MS016,Viability_final,54.08
MS016,Peso_Seco_final,
MS016,Ethyl_Acetate_total_final,
MS016,isoamil_acetate_total_final,
MS016,octanoate_de_etilo_total_final,
