batch,state,t,mu0,betaG0,betaF0,Kn0,Kig0,Kie0,Kd0,Yxn,Yxf,Yeg,Yef
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,22.139748840554596,3.5591570257455435e-15,-2.666284117571607e-15,-24.58101033036854,-6.275126737595995e-17,-6.747891393677869e-16,0.0,0.16373499618781212,0.0,6.184791497883105e-15,-2.2869837284292967e-15
25026,X,36.0,6.021082077415825,0.0,0.0,-5.6223966599257835,6.275126737595995e-17,6.747891393677869e-16,0.0,0.8659040519333709,0.0,1.236958299576621e-14,0.0
25026,X,42.0,13.317150865549841,0.0,5.332568235143214e-15,-16.55759257269995,-1.255025347519199e-16,0.0,0.0,1.188345646104249,1.3495782787355744e-13,0.0,-4.5739674568585935e-15
25026,X,60.0,2.085147414192121,-7.118314051491087e-15,-1.0665136470286428e-14,-2.3302571346488894,-1.255025347519199e-16,-2.6991565574711475e-15,2.5489350436011358e-12,1.5262996295613827,0.0,2.473916599153242e-14,4.5739674568585935e-15
25026,X,84.0,0.053050278035469536,0.0,0.0,-0.04032403252452552,0.0,-1.3495782787355738e-15,0.0,1.5465356726206836,0.0,1.236958299576621e-14,0.0
25026,X,90.0,0.02018554165355403,0.0,0.0,-0.013509673150528147,-1.255025347519199e-16,-1.3495782787355738e-15,2.5489350436011358e-12,1.5467371585186294,0.0,1.236958299576621e-14,4.5739674568585935e-15
25026,X,108.0,0.0010901271494350572,-1.9447770392597747,-1.477973578936313,-0.00021354845758986068,3.7650760425575965e-16,-0.725590254696277,2.5489350436011358e-12,1.0500192884989763,0.0,0.0,0.0
25026,X,114.0,-0.5891067479521352,-4.222870933580949,-3.2337013789972486,0.6587335473155875,-0.003451228557154318,-0.7662553403430985,-290.5705531958495,0.7431289738156589,-0.47863161803995186,-0.22018415140612377,-0.03572786682788128
25026,X,132.0,-1.8570349399465302,-4.861608786835326,-4.012837280868734,2.0676467326610424,-0.011829630307288183,-0.8339739810928624,-987.1643042203118,0.2540431162151992,-1.8826588891307536,-1.1227146897149722,-0.1509385693324386
25026,X,138.0,-2.1853028251144186,-4.947985352418657,-4.248153533728497,2.4301710181185294,-0.014354983224852978,-0.8420599968629344,-1195.0159340462344,0.16508155005557976,-2.3989142528492167,-1.5291264651322267,-0.197412098211284
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-265.6214817017857,0.0,3.297145161621361e-14,294.91179887856475,3.879932304489266e-16,4.172244306821117e-15,7.880076236915617e-12,3.440814625449568,0.0,3.824077717091706e-14,1.4140498541027905e-14
25026,N,36.0,-72.2378900668323,1.1003194754780697e-14,1.339465221908678e-14,67.45577062162062,7.274873070917374e-17,2.0861221534105585e-15,-3.940038118457808e-12,0.5609728176035923,0.0,-9.560194292729265e-15,-2.651343476442732e-15
25026,N,42.0,-159.77242426861034,0.0,0.0,198.65093301432944,0.0,-2.0861221534105585e-15,3.940038118457808e-12,0.9133566752470553,-4.17224430682112e-13,1.912038858545853e-14,1.4140498541027905e-14
25026,N,60.0,-25.01654150248616,1.0315495082606905e-13,1.653724370125714e-13,27.959477688000597,9.821078645738456e-16,2.0991604168693748e-14,-3.669160497813834e-11,0.1053679974101656,-4.563392210585599e-13,-7.887160291501644e-14,-2.430398186739171e-14
25026,N,84.0,-0.6364703392955511,1.789093678389635e-15,2.930080172925233e-15,0.48722039446730925,2.2449803617284083e-17,3.5244055912111977e-16,-7.118232928854439e-13,0.0020342461030574063,-8.047053228487998e-15,-1.409755213088007e-15,-4.315337689522676e-16
25026,N,90.0,-0.24217589465805306,1.2598872900371452e-15,1.776159863065804e-14,0.16569592973257183,1.6446612460130587e-16,3.242758728214118e-15,-7.911819708084831e-12,0.0007196083418004356,-6.837448708382999e-14,-1.1060976746397457e-14,-3.906243676555927e-15
25026,N,108.0,-0.013078792842988953,1.2731804886945448e-05,9.680414693401026e-06,0.0062099866182212145,-6.300936709888559e-15,7.292941807081792e-06,-2.4524837488746545e-12,3.6420269101336084e-05,-2.6926433251495247e-14,-4.6687930044372575e-15,-1.5453224266180703e-15
