batch,state,t,mu0,betaG0,betaF0,Kn0,Kig0,Kie0,Kd0,Yxn,Yxf,Yeg,Yef
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,4.225571938895812,3.3739456968389337e-15,-3.3739456968389353e-15,-2.4581010330368542,-3.373945696838935e-15,-6.747891393677869e-15,0.0,1.3501208314407656,0.0,3.373945696838935e-15,-3.373945696838934e-15
25026,X,36.0,1.1491781434084003,0.0,0.0,-0.5622396659925784,3.373945696838935e-15,6.747891393677869e-15,0.0,7.14004413084191,0.0,6.74789139367787e-15,0.0
25026,X,42.0,2.5416990684389296,0.0,6.7478913936778705e-15,-1.655759257269995,-6.74789139367787e-15,0.0,0.0,9.798822787505639,1.3495782787355744e-14,0.0,-6.747891393677868e-15
25026,X,60.0,0.3979693024218914,-6.747891393677867e-15,-1.3495782787355741e-14,-0.23302571346488896,-6.74789139367787e-15,-2.6991565574711476e-14,6.747891393677869e-15,12.585513011081849,0.0,1.349578278735574e-14,6.747891393677868e-15
25026,X,84.0,0.01012512688521021,0.0,0.0,-0.004032403252452552,0.0,-1.3495782787355738e-14,0.0,12.752374732255713,0.0,6.74789139367787e-15,0.0
25026,X,90.0,0.003852593766846628,0.0,0.0,-0.0013509673150528148,-6.74789139367787e-15,-1.3495782787355738e-14,6.747891393677869e-15,12.754036138273923,0.0,6.74789139367787e-15,6.747891393677868e-15
25026,X,108.0,0.0002080606571310079,-1.843574777807735,-1.8702442713552607,-2.135484575898607e-05,2.024367418103361e-14,-7.25590254696277,6.747891393677869e-15,8.658215701125744,0.0,0.0,0.0
25026,X,114.0,-0.11243636777852238,-4.003121276077206,-4.091961835810203,0.06587335473155875,-0.18556211254594326,-7.6625534034309855,-0.7692383295873867,6.12766929096129,-0.04786316180399519,-0.12011550759683584,-0.052708675205115796
25026,X,132.0,-0.3544319670606779,-4.608620504070474,-5.077889106669184,0.20676467326610426,-0.6360434129775191,-8.339739810928624,-2.61335710743856,2.0947806594311857,-0.18826588891307539,-0.6124666284123269,-0.22267693912976183
25026,X,138.0,-0.4170848713007314,-4.690502207982248,-5.3756609208206205,0.24301710181185296,-0.7718239950360348,-8.420599968629345,-3.1636105270324637,1.3612242025578654,-0.2398914252849217,-0.8341735786438825,-0.291238495046642
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-50.6962697513093,0.0,4.1722443068211187e-14,29.491179887856475,2.086122153410559e-14,4.172244306821117e-14,2.0861221534105587e-14,28.372159960335427,0.0,2.086122153410559e-14,2.0861221534105584e-14
25026,N,36.0,-13.787256729503206,1.0430610767052794e-14,1.6949742496460796e-14,6.745577062162062,3.911479037644798e-15,2.0861221534105584e-14,-1.0430610767052794e-14,4.625651843237455,0.0,-5.2153053835263976e-15,-3.911479037644797e-15
25026,N,42.0,-30.494016777738853,0.0,0.0,19.865093301432946,0.0,-2.0861221534105584e-14,1.0430610767052794e-14,7.531327465095202,-4.17224430682112e-14,1.0430610767052795e-14,2.0861221534105584e-14
