batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,6.4014771662823104,0.32612117675922186,-0.07971641877895007,2.2204460492503123e-15,-2.2204460492503123e-15,2.2204460492503127e-15,2.220446049250311e-15,0.0,2.220446049250311e-15,-2.2204460492503123e-15,0.0,-2.2204460492503127e-15,4.440892098500626e-15,0.0,0.0
25026,X,36.0,9.510334176500999,4.757141378597394e-05,-9.606285038958749,8.881784197001249e-15,8.881784197001249e-15,0.0,8.881784197001244e-15,-8.88178419700125e-15,-8.881784197001244e-15,0.0,8.881784197001249e-15,0.0,-8.881784197001252e-15,0.0,0.0
25026,X,42.0,9.510270716860843,7.339590002430893e-07,-9.606332763456676,0.0,-8.881784197001249e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,60.0,13.448269797417616,2.2597666742285572e-05,-13.584105188068774,0.0,8.881784197001249e-15,0.0,8.881784197001244e-15,0.0,0.0,1.7763568394002498e-14,0.0,-8.88178419700125e-15,8.881784197001252e-15,0.0,-8.881784197001252e-15
25026,X,84.0,13.448269999141534,2.2483082062763048e-09,-13.584111098071626,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001249e-15,0.0,-8.88178419700125e-15,0.0,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-12.94521274003483,-1.2526019527479202,-11.239617871851681,-2.0990850633232443e-14,0.0,0.0,0.0,0.0,0.0,2.099085063323244e-14,0.0,2.0990850633232446e-14,0.0,0.0,0.0
25026,N,36.0,-0.00028647839685390575,-0.00018271749906345413,-0.00015297170439324594,-3.743447369017093e-18,-3.463189277219021e-18,4.578216113872777e-17,-1.30920565739956e-17,3.59330910555384e-17,-1.583458218659101e-17,2.19578211236763e-15,2.1951215040083918e-15,7.386802562392019e-18,3.8435395446592616e-17,0.0,-1.713578046993921e-17
25026,N,42.0,-3.2059432480836655e-06,-2.81907017343559e-06,-1.8122777412521279e-06,-4.3164750745685056e-20,-4.034965830574908e-20,5.24545557974738e-19,-1.504510515121341e-19,4.1194186037729872e-19,-1.8204264444919343e-19,4.205704314937514e-15,4.205662401338963e-15,8.445277319807947e-20,4.404055728255404e-19,0.0,-1.9674368274663706e-19
25026,N,60.0,-1.5089433106607438e-05,-8.679559470894015e-05,-6.92362483385955e-06,-1.0009217564216825e-20,1.0009217564216825e-20,-3.002765269265047e-20,1.0009217564216819e-20,-1.0009217564216827e-20,1.0009217564216819e-20,2.0018435128433647e-20,0.0,1.0009217564216828e-19,1.0009217564216828e-20,0.0,-4.003687025686732e-20
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
