batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,iG
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,12.05783818781207,-0.46005726038951783,1.4795499388585525e-15,-4.4980507215582335e-15,-1.2657520759663263e-15,2.3199899991706236e-15,-9.384254727102617e-14
25026,X,36.0,100.40708947535471,-48.843675668094136,0.0,0.0,0.0,0.0,0.0
25026,X,42.0,118.97968843576746,-233.52479942946323,0.0,0.0,0.0,0.0,0.0
25026,X,60.0,105.92566824845832,-1141.522885502924,-1.657095931521579e-13,-1.079532173173976e-13,5.0630083038653053e-14,0.0,0.0
25026,X,84.0,93.84610098189242,-1071.1517920565354,-0.8952361721002028,-0.28080506747082834,0.28745700480899006,0.007505875209299825,1.2926166039307183
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-22.099155684553914,-666.9692427772114,-2.7973669327812606e-14,8.504409361246182e-14,0.0,0.0,-1.7742695378464514e-12
25026,N,36.0,-349.99080719411387,-3415.7300429519005,0.0,0.0,1.1965709670939127e-14,0.0,0.0
25026,N,42.0,-379.07584484257285,-3262.934083081564,-1.0490125997929728e-14,0.0,-2.991427417734782e-15,5.482970815664006e-15,0.0
25026,N,60.0,-12.500575922666258,-47.55840908662608,1.137932808447299e-12,6.758680017755999e-13,-3.5834028590724543e-13,-4.819017318454693e-14,2.5643739414186992e-12
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-7.39809373587283,0.22455926530415043,0.08763954027113119,0.04717189094037459,-1.5353319551500835,-0.0001707787750145666,-0.45155710189903264
25026,G,36.0,-87.01988544071347,23.75374511474324,1.2016540871640637,0.6972735682272028,-7.013814648187861,-0.005638767756933685,-6.056311365597946
25026,G,42.0,-116.62291042494964,88.8616696016537,1.7475886246359416,1.0336214524571328,-8.835766012272833,-0.010465901111970257,-8.73420784055606
25026,G,60.0,-162.35962762250233,586.468514875154,3.574404495948511,2.302059209178511,-13.648590851614328,-0.046374917344832026,-16.980547336631542
25026,G,84.0,-93.02408074590359,553.2000142757892,2.9622308776773645,2.083901282448433,-9.612335048480688,-0.07363896731821008,-12.687548644766064
25026,G,90.0,-64.53311047269044,398.2954601438045,2.1470812277947635,1.5444352091509048,-6.986965487713421,-0.061401468844118116,-8.939888742894604
25026,G,108.0,-13.87749826653375,90.3045426478072,0.5016236897223355,0.3887009336513417,-1.7831014204294664,-0.02201273303374342,-1.9212356052779243
