batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,4.032210534724788,-0.06382361336615296,2.220446049250313e-15,2.220446049250313e-15,-1.1102230246251565e-15,0.0,1.1102230246251565e-15,0.0
25026,X,36.0,5.590913392652868,-5.823562120333527,0.0,0.0,-2.220446049250313e-15,0.0,2.220446049250313e-15,0.0
25026,X,42.0,5.590698261271913,-5.823638378526556,-4.440892098500626e-15,0.0,0.0,2.220446049250314e-15,0.0,0.0
25026,X,60.0,7.905719179659119,-8.235073913011783,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,84.0,7.492173369860504,-7.803014671787182,8.881784197001252e-15,0.0,-0.2586864421888935,-0.15201619421448603,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-12.579463849396928,-13.015571569657252,0.0,0.0,1.0495425316616225e-14,1.049542531661623e-14,1.0495425316616226e-14,1.049542531661623e-14
25026,N,36.0,-0.0017966307739933503,-0.0003937489783998716,-1.8937439631498242e-17,-1.7215854210452945e-18,3.0893770306917295e-14,1.4909430207130465e-14,-1.1127046981788564e-14,-2.3226589542116447e-15
25026,N,42.0,-3.522450234294195e-05,-5.901507432625622e-06,1.5013826346325243e-19,7.506913173162621e-21,-2.1968355825162645e-16,-9.47510069194631e-17,8.751684492492538e-17,1.852080595038772e-17
25026,N,60.0,-0.0003268872016279757,-2.815770530721745e-05,8.007374051373464e-20,1.2011061077060194e-19,2.6023965666963757e-19,1.0009217564216832e-19,-1.0009217564216828e-19,-4.003687025686733e-20
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-1.1703106877892504,0.013549150790630723,-0.00939758124745026,-2.9989393235840366e-06,0.052287774256396684,0.01687858565814509,-1.2874613029249646,-0.00017891598725598617
25026,G,36.0,-6.048663469835499,3.482638625756886,-0.024406367245903497,-0.00010587700972762012,0.966200656002862,0.3447839239751177,-6.982370840714611,-0.009531015119141315
25026,G,42.0,-6.66458031603023,4.317243767639245,-0.023981739506459234,-0.00014057393302660147,1.234776994800044,0.4467876227235391,-8.13501730390345,-0.014456109417996627
25026,G,60.0,-8.478607422703584,6.665181098177607,-0.031493054797957915,-0.0003369352902967662,2.1385938194929133,0.8223767265423558,-11.409419571460395,-0.045860083722210454
25026,G,84.0,-8.389463595842912,7.06992121565821,-0.024385229357473826,-0.0005672414916275885,2.6289207520106115,1.0941994097897343,-12.003701331113943,-0.10662190696501969
25026,G,90.0,-7.797944273477526,6.558726690553592,-0.021635136102933484,-0.0005944550622279811,2.553860307309321,1.0912710348584171,-11.274324483967789,-0.12113569633181247
25026,G,108.0,-5.055926633314063,4.0737044087850744,-0.012037577921433298,-0.0005368917427237167,1.7973856019352494,0.8191378913146761,-7.851053247665427,-0.13963162610325253
25026,G,114.0,-4.074135754874351,3.2074261183347446,-0.00904778380689701,-0.00047609843935064413,1.4496633832081793,0.6724032346502216,-6.626975618286191,-0.13485528249454126
25026,G,132.0,-1.8205608740423964,1.3298233321502992,-0.0031832053899913232,-0.0002844402884779303,0.6291896976007652,0.3031059418281809,-3.6365620769107094,-0.10534753857458323
25026,G,138.0,-1.335191017139372,0.9541413793342868,-0.0021620689393597216,-0.00023534136390916641,0.45814597475725666,0.2226121113436655,-2.8937900634916454,-0.09599840410006155
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,F,12.0,-0.499175455802535,0.005914855061753139,-8.704957553779158e-05,-0.00874454748052699,0.02171735940070046,0.007012612674248748,-0.012178758390399664,-0.517015020063338
25026,F,36.0,-3.2428427215344096,1.8729439077131482,-0.0020772165997562696,-0.02335788153639103,0.5028938295843441,0.17931366039873117,-0.4177783064716638,-3.2273627806182725
25026,F,42.0,-3.775149924804555,2.4579844429272404,-0.002642297873781551,-0.023219430691959017,0.6799792879550465,0.24583996408362266,-0.605347241445639,-3.888045679012146
25026,F,60.0,-6.065711020858618,4.852362127577711,-0.005914795766059836,-0.03214873030460362,1.4936706985927912,0.5734538377906804,-1.65719694362324,-6.360642395518268
25026,F,84.0,-8.867099147584632,7.80348388186917,-0.010152763008564753,-0.03039420041775052,2.7171114006000314,1.125307757728817,-3.5676917713013823,-9.165397510971497
25026,F,90.0,-9.444319853088956,8.406496212835746,-0.011025462231114738,-0.029723678441961693,3.0420323814243564,1.2928354138946136,-4.04819215771043,-9.763466180687626
25026,F,108.0,-10.40356256598813,9.397810219507077,-0.012587288586891059,-0.02692183833682882,3.8656888073429765,1.753013515109764,-5.106128297442985,-10.91651819698272
25026,F,114.0,-10.377078324356246,9.357649260030664,-0.012629552953944464,-0.02557740167407451,4.02202313774593,1.8653445243004887,-5.2629446841525835,-10.97681806403649
25026,F,132.0,-9.168862079506868,8.047711448190698,-0.011313427727874626,-0.02028279550497774,3.979626081293475,1.9730777517661786,-5.065711777339165,-9.955646178923127
25026,F,138.0,-8.413093328210907,7.262911023386123,-0.010367034272037277,-0.017999116078044983,3.755932108436437,1.900697275630447,-4.754756710544215,-9.225558144659988
25026,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,E,12.0,4.3122847256920425,-0.04930211381205363,8.376566862607888e-05,-3.42906797059271e-05,3.4394573377900977,1.1260073152154741,0.0117278963230096,-0.0020436858749149785
25026,E,36.0,23.833616717896593,-13.605284632257534,0.0013033553190578545,-0.0008056484646179855,16.501248831515333,6.1311835434068,0.2596506915558694,-0.07792315552285738
25026,E,42.0,26.67396764647561,-17.1757836739107,0.001423821282434017,-0.0010405821254300036,18.982535493893792,7.262166977524591,0.309125764323731,-0.11885708050742842
25026,E,60.0,36.557464403943264,-28.733896240536694,0.00030284963239459573,-0.002719525697991374,26.739798686416194,11.508903695144147,-0.08931273898352549,-0.4147645506187458
25026,E,84.0,42.176065459082814,-36.05625585561279,-0.009737677525284368,-0.0062319713520892755,34.07064123904105,17.055337162823324,-5.0343927615057105,-1.3862626207911193
25026,E,90.0,41.70906346266069,-35.86769167959521,-0.015399377242833108,-0.007730374255177116,35.68220019060599,18.601858700602737,-7.939032658571349,-1.8869776775405451
25026,E,108.0,35.860253928911604,-30.792425273780832,-0.03859837320444049,-0.014427868368471305,40.30299604031322,23.714963840752613,-19.300791661450994,-4.508879267588586
