species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale
ethyl_acetate,6,True,21,588.1849978058623,71.97414448549516,40.52969963902528,72.94352690398519,0.009311660109937055
ethyl_acetate,7,True,22,7895.553350094152,71.97414448562178,40.529482142265984,72.94355521146026,0.009312690271999805
ethyl_acetate,10,True,21,165419.0112616952,71.97414449225468,40.527691597342844,72.94395181073833,0.009312383009828054
ethyl_acetate,11,True,21,670.8613015715504,71.9741445091375,40.52950321743045,72.94357286800339,0.00931394996451334
ethyl_acetate,0,True,13,4158.922219425005,71.97414458234753,40.52368879564721,72.9448287067752,0.009310589695149703
ethyl_acetate,2,True,27,16008361918.571281,71.97414461327028,40.531586386903825,72.94308582296358,0.00930830858865913
ethyl_acetate,5,True,27,41843.787502221436,71.97414461709941,40.52665473384501,72.94417268901368,0.009315947795646196
ethyl_acetate,1,True,18,531.1049083503625,71.97414485018798,40.5298988503121,72.94349417520628,0.00931875938934314
ethyl_acetate,4,True,10,728.4313648696965,71.97414502511404,40.52891603240743,72.94370760275545,0.009320179422399235
ethyl_acetate,3,True,21,679.7626490761329,71.97415132785767,40.531452335263516,72.94337984563263,0.009340450891004718
ethyl_acetate,8,True,21,413865.88452961843,71.97415189111712,40.52989013429061,72.94411091863849,0.009282804382354536
ethyl_acetate,9,True,18,2102.627575404754,71.97415608290291,40.527502804606,72.94365423518286,0.009275397005303335
ethyl_octanoate,5,True,40,1568157847.3256044,381.75584150985634,0.06545065227840555,0.5725071361163376,0.019311834028693707
ethyl_octanoate,6,True,26,18596.31308555071,381.75584179045745,0.06554931233437174,0.5725099059523495,0.019305911184446398
ethyl_octanoate,3,True,27,1058.757594310638,381.7558426855171,0.06530853013270903,0.5725446871633787,0.019307401416794344
ethyl_octanoate,1,True,27,160060.16553750992,381.75584441974297,0.06541375155505949,0.5725067230998301,0.01931411623692975
ethyl_octanoate,9,True,24,60909.63220402748,381.755844813796,0.06559119193227751,0.5724777066560154,0.01931028619262651
ethyl_octanoate,7,True,22,34072.47184373761,381.7558450085509,0.06557253139395565,0.5724854024055729,0.019311320360199
ethyl_octanoate,4,True,20,51600068.225465454,381.75584578672357,0.06532954683128683,0.5725894005919712,0.019306624215284153
ethyl_octanoate,10,True,33,4046811116.9665337,381.75585770548616,0.06572548205619613,0.572471961157042,0.01929969910411763
ethyl_octanoate,2,True,30,1269385238899490.8,381.75586229850796,0.06535414145069462,0.5725631467920916,0.0193196089696366
ethyl_octanoate,11,True,22,986.5324339572555,381.75587609676137,0.0652333227601413,0.5725844839173616,0.01929555795381393
ethyl_octanoate,8,True,34,9668722646.126694,381.7558786942258,0.06548143308309513,0.5725801498678719,0.019291959479988057
ethyl_octanoate,0,True,16,13955.519793479507,381.7561068317811,0.06443959733956162,0.5727042690625259,0.019342835400206208
isoamyl_acetate,4,True,23,328281.5874055203,367.49538045836044,0.3139101596654436,7.118718287558679,0.014305981280478334
isoamyl_acetate,0,True,18,895.5612144983232,367.4953940436801,0.315010339038617,7.118615304024692,0.014303631813627296
isoamyl_acetate,3,True,26,1056.885570537011,367.49543413115026,0.31643915552376434,7.118207499753633,0.014299992232683925
isoamyl_acetate,6,True,28,531.3616317152598,367.4954497590072,0.31654633881440664,7.1187382863242465,0.014293843996387305
isoamyl_acetate,1,True,32,1262.6157877073372,367.495475312934,0.31737194714199457,7.1181163998287165,0.014296491054579075
isoamyl_acetate,9,True,24,1740.0269217009663,367.4954909623911,0.308981539389316,7.120150511284198,0.014310105391141472
isoamyl_acetate,10,True,31,47478021.60224412,367.4954995436991,0.309094776093555,7.1204733728283784,0.014299064591091804
isoamyl_acetate,2,True,34,20624146427917.93,367.4955619271028,0.30975076122448375,7.119439325859356,0.01433521093633757
isoamyl_acetate,11,True,28,1043.4391549239535,367.4955774956653,0.3092111927745919,7.119906121269758,0.014334314991722136
isoamyl_acetate,8,True,44,65866652.51517374,367.4955778837807,0.31412150936379823,7.119691431942409,0.014268280809579844
isoamyl_acetate,7,True,20,1227.6849966379407,367.4957411285344,0.3182850842564099,7.11718897770766,0.01433963202423572
isoamyl_acetate,5,True,25,24128908.807861924,367.49691389962766,0.2995599237978095,7.121538718111734,0.014368434335393148
