parameter,difference_method,finite_difference_log_step,scaled_sensitivity_l2_norm,scaled_sensitivity_max_abs,scaled_sensitivity_nonzero
ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate:central,0.02,2.8449510983774178,1.1008902823550233,True
ethyl_acetate__formation_stationary_ug_per_g_sugar,ethyl_acetate:central,0.02,7.520467246193514,3.846649377313734,True
ethyl_acetate__effective_loss_scale,ethyl_acetate:central,0.02,10.608541592756021,4.000183047684502,True
ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate:central,0.02,0.5485336166128745,0.2856093558563856,True
ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate:central,0.02,9.665019082804731,4.595783786397799,True
ethyl_octanoate__effective_loss_scale,ethyl_octanoate:central,0.02,5.834813439703846,3.997058899656186,True
isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate:central,0.02,0.23366992435324854,0.16248794382477197,True
isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate:central,0.02,13.533910614172786,4.973146539358696,True
isoamyl_acetate__effective_loss_scale,isoamyl_acetate:central,0.02,7.998799216028798,3.9996132294752598,True
