iteration,best_objective
0,-4.00226351213755
1,-4.00226351213755
2,-4.00226351213755
3,-4.088212811311086
4,-4.088212811311086
5,-4.088212811311086
6,-4.088212811311086
7,-4.135350593857071
8,-4.135350593857071
9,-4.142215429016366
10,-4.142215429016366
11,-4.239115438723938
12,-4.239115438723938
