objective,campaign_order,candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,score,rationale,campaign_logdet,campaign_min_eigenvalue,campaign_max_eigenvalue,campaign_min_relative_eigenvalue,campaign_condition_number,campaign_trace_inv,campaign_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrS_stat,var_reduction_kPyrS_stat,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldPyr,var_reduction_kAldPyr,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAldS_stat,var_reduction_kAldS_stat,var_ratio_kAldO2,var_reduction_kAldO2,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_kAcAssim,var_reduction_kAcAssim,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,var_ratio_k_EA_XE,var_reduction_k_EA_XE,var_ratio_k_EA_XE_Nlim,var_reduction_k_EA_XE_Nlim,target_mean_var_reduction,target_worst_var_reduction,aroma_mean_var_reduction,aroma_worst_var_reduction
hybrid,1,natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,72.97163641367757,Cold start followed by warm transition and early nitrogen pulse.,132.09564923536712,2.2944663473327506e-08,116219.9515431443,1.9742447977884216e-13,1000000000000.0,229451.24625521144,30,0.9183589096790464,0.08164109032095357,0.8521889706085575,0.14781102939144253,0.712711817900461,0.287288182099539,0.6242813977623066,0.3757186022376934,0.7944932101174601,0.2055067898825399,0.6194796809497236,0.3805203190502764,0.555963862268304,0.44403613773169603,0.7428233936406851,0.25717660635931494,0.2738710731497896,0.7261289268502105,0.6800396512292265,0.3199603487707735,0.6750081587486093,0.3249918412513907,0.8401517074313218,0.15984829256867816,0.9051802015137792,0.0948197984862208,0.8886901812909371,0.11130981870906287,0.8223700623178613,0.17762993768213875,0.8076504795587872,0.19234952044121278,0.8082297505958461,0.19177024940415388,0.6217971930833178,0.3782028069166822,0.7070056613459899,0.29299433865401014,0.8464536618544894,0.15354633814551055,0.43772071085262776,0.5622792891473722,7.751896864866079e-08,0.9999999224810313,0.827219549047477,0.17278045095252303,0.867544094136838,0.13245590586316203,0.9036918227550519,0.09630817724494811,0.6574812213012913,0.3425187786987087,0.7836250337859267,0.21637496621407326,0.5753663708177665,0.42463362918223346,0.41462165031231274,0.5853783496876872,0.8395974990459673,0.16040250095403275,0.8808678186456318,0.1191321813543682,0.7435309881529948,0.2564690118470052,0.8108501413226334,0.18914985867736656,0.8334892619455492,0.16651073805445082,0.2861071980974254,0.08164109032095357,0.24448491797982144,0.09630817724494811
hybrid,2,natural_pilot_EA_warm_early_noN,EA_temperature_Nstress,natural,300.0,"24, 23, 19, 17",,82.94196608505572,Warm early natural fermentation without nutrient pulse to excite ethanol-biomass and nitrogen-limited EA directions.,140.79269619919373,4.706743295611864e-08,126587.88162776556,3.718162619587984e-13,999999999999.9999,198697.5300469283,31,0.8760111411479737,0.12398885885202626,0.789944584762752,0.21005541523724802,0.56382077941233,0.43617922058767,0.40219763694062816,0.5978023630593718,0.39643806668345843,0.6035619333165416,0.3688090505780661,0.6311909494219339,0.43880157657471747,0.5611984234252825,0.38566737673421575,0.6143326232657842,0.17418314337505927,0.8258168566249408,0.6007395720187859,0.3992604279812141,0.5965941656874457,0.4034058343125543,0.5986350916013231,0.4013649083986769,0.5697682229192249,0.4302317770807751,0.6613179353448237,0.33868206465517625,0.624109618403564,0.37589038159643595,0.35685673320044925,0.6431432667995507,0.5214530100899334,0.4785469899100666,0.3253560647599847,0.6746439352400153,0.3530905458835829,0.6469094541164171,0.459605158790885,0.5403948412091151,0.3285988770554979,0.671401122944502,6.174879129980529e-08,0.9999999382512087,0.7167262442698028,0.2832737557301972,0.7440019569029335,0.25599804309706653,0.4732917399536646,0.5267082600463354,0.5968564894429151,0.40314351055708486,0.7476737231914208,0.2523262768085792,0.3949338717518579,0.6050661282481421,0.18772877639411018,0.8122712236058898,0.7804718370272135,0.21952816297278654,0.7684051361695478,0.23159486383045225,0.5479575829769435,0.4520424170230565,0.7046458837319592,0.29535411626804076,0.6963842549306363,0.30361574506936373,0.47790953204539716,0.12398885885202626,0.39614988613879976,0.21952816297278654
hybrid,3,natural_pilot_EA_cold_retention_noN,EA_retention_reference,natural,300.0,"13, 13, 16, 18",,89.42939131835361,Low-temperature no-pulse comparator to decouple synthesis from CO2 stripping.,147.17045911660867,5.591488001477244e-08,142912.96264257532,3.912512831646721e-13,1000000000000.0001,170127.09065241355,31,0.8249675390975881,0.17503246090241187,0.7508534277669336,0.24914657223306635,0.4088368042151042,0.5911631957848957,0.28458732999110514,0.7154126700088949,0.3213091314755393,0.6786908685244607,0.25577146372090276,0.7442285362790972,0.2854911593056055,0.7145088406943945,0.27569393433416056,0.7243060656658394,0.16801535757302527,0.8319846424269748,0.4111632939147552,0.5888367060852449,0.41298560345308416,0.5870143965469159,0.5099476210933387,0.4900523789066613,0.49617900141416776,0.5038209985858322,0.5147844082834228,0.48521559171657724,0.49954877250198426,0.5004512274980157,0.3139279228522342,0.6860720771477657,0.4522652719226141,0.5477347280773859,0.28195818251821514,0.7180418174817849,0.2845126245811314,0.7154873754188686,0.4241912517927278,0.5758087482072722,0.2505902366990438,0.7494097633009562,4.7622138069553335e-08,0.9999999523778619,0.6199439257224864,0.38005607427751364,0.6782219510800737,0.32177804891992634,0.44669062023255024,0.5533093797674498,0.42774137813961594,0.572258621860384,0.6401810763712165,0.35981892362878354,0.33984491744191553,0.6601550825580844,0.15103143208896844,0.8489685679110316,0.7209444972583586,0.27905550274164137,0.6505639061672865,0.34943609383271346,0.5025635809706817,0.49743641902931834,0.5942639597694997,0.40573604023050025,0.600911813941158,0.399088186058842,0.5646916633731578,0.17503246090241187,0.47700371513987955,0.27905550274164137
hybrid,4,natural_pilot_EA_cold_warm_Nsplit,EA_temperature_Nsplit,natural,300.0,"13, 18, 23, 19",32h:0.025; 80h:0.035,94.50009750295776,Cold start then warm acceleration with split nitrogen to test temperature and N response.,151.45540001900363,9.042989799263175e-08,156499.52796625468,5.778285670748525e-13,1000000000000.0001,151158.41039899553,31,0.7962652555266858,0.2037347444733142,0.6967479289765638,0.3032520710234362,0.35115766086723693,0.6488423391327631,0.24445136532577935,0.7555486346742206,0.30115066533676743,0.6988493346632325,0.22031957906312594,0.7796804209368741,0.23001664942196465,0.7699833505780354,0.2594474939094431,0.7405525060905569,0.10975980794860181,0.8902401920513981,0.34345244026592825,0.6565475597340718,0.3434149896193882,0.6565850103806118,0.492608655026091,0.5073913449739089,0.47661236974114163,0.5233876302588584,0.4886624988443534,0.5113375011556466,0.4573926744603436,0.5426073255396564,0.2924998016346451,0.7075001983653548,0.40807851286237545,0.5919214871376246,0.25496888935200834,0.7450311106479917,0.2518156871205999,0.7481843128794001,0.4051753475955275,0.5948246524044725,0.19590699222715088,0.8040930077728491,3.554036411722113e-08,0.9999999644596359,0.5483049616051704,0.4516950383948296,0.6174549779984101,0.3825450220015899,0.43269695380931894,0.5673030461906811,0.33442612777902087,0.6655738722209792,0.5787500287497779,0.4212499712502221,0.2927335821404605,0.7072664178595395,0.13028963021957032,0.8697103697804297,0.6662103511879859,0.3337896488120141,0.6048547184123232,0.3951452815876768,0.443279930361999,0.556720069638001,0.529387422626324,0.470612577373676,0.5485482367030262,0.4514517632969738,0.6074458169923683,0.2037347444733142,0.5292152763647074,0.3337896488120141
hybrid,5,natural_pilot_warm_to_cool_noN,temperature,natural,300.0,"22, 22, 17, 16",,98.37578122830475,"Warm early phase to excite growth and CO2, then cool aroma-retention phase.",155.07765905123034,1.0884589222421445e-07,166333.75944205368,6.543824452073033e-13,1000000000000.0,137885.51631193006,31,0.7792988996668981,0.22070110033310186,0.6752910189286707,0.3247089810713293,0.3139064779006898,0.6860935220993102,0.22158187513132246,0.7784181248686776,0.24132261997768314,0.7586773800223169,0.19572742039942922,0.8042725796005707,0.2190315960381017,0.7809684039618983,0.21502447391400403,0.784975526085996,0.10010494518266679,0.8998950548173332,0.31919028553597983,0.6808097144640202,0.31966986589695184,0.6803301341030481,0.4343411014503807,0.5656588985496194,0.40046920191254254,0.5995307980874575,0.43724852111449464,0.5627514788855054,0.42837573792711303,0.571624262072887,0.24662015675443769,0.7533798432455623,0.3541143511350483,0.6458856488649517,0.20539190341308827,0.7946080965869118,0.2090158226956337,0.7909841773043663,0.36313765709272094,0.636862342907279,0.17359807673222682,0.8264019232677732,3.173294627212353e-08,0.9999999682670537,0.4994943186244041,0.5005056813755959,0.5620292306108494,0.4379707693891506,0.32002181610759434,0.6799781838924057,0.3181444975316865,0.6818555024683135,0.5686599095098227,0.4313400904901773,0.2608664242323412,0.7391335757676588,0.10131979897153834,0.8986802010284617,0.6423027622738494,0.3576972377261506,0.5605396224648871,0.4394603775351129,0.39249537917075367,0.6075046208292463,0.48370795910729253,0.5162920408927074,0.5004307866558069,0.49956921334419313,0.6452213368884161,0.22070110033310186,0.5717710739421434,0.3576972377261506
hybrid,6,natural_pilot_low_temp_aroma_retention,aroma_retention,natural,300.0,"13, 15, 16, 16",54h:0.035,101.58023598894655,Cold profile to contrast aroma retention against high-rate stripping.,158.12889194173644,1.2772876884223442e-07,181219.45232980396,7.04829239908412e-13,1000000000000.0,125528.19610704113,31,0.7582280505555562,0.2417719494444438,0.6505262840329682,0.3494737159670318,0.2727698337152567,0.7272301662847434,0.19419001937372415,0.8058099806262758,0.22289739201013772,0.7771026079898623,0.17114670142117147,0.8288532985788285,0.18221449545933055,0.8177855045406695,0.19477048618619286,0.8052295138138071,0.0976684288875333,0.9023315711124666,0.27068272604062693,0.7293172739593731,0.27249407757512406,0.7275059224248759,0.4148995658326738,0.5851004341673263,0.37759720179993067,0.6224027982000693,0.3978804655794947,0.6021195344205053,0.3865273988627454,0.6134726011372547,0.23681402410884644,0.7631859758911536,0.3256408569558842,0.6743591430441158,0.18650066783300834,0.8134993321669917,0.19002448792823903,0.809975512071761,0.35543237285038876,0.6445676271496112,0.1444059265982998,0.8555940734017002,2.5657199327805195e-08,0.9999999743428006,0.45346287420273856,0.5465371257972614,0.5227336578250057,0.4772663421749943,0.31421548932263027,0.6857845106773697,0.26994752574202036,0.7300524742579797,0.5347977946017755,0.46520220539822454,0.23463871350150914,0.7653612864984909,0.09124663931660298,0.9087533606833971,0.6053115827105211,0.3946884172894789,0.5312351429030628,0.46876485709693716,0.36380497356547475,0.6361950264345253,0.4407454274564243,0.5592545725435757,0.4663303902982516,0.5336696097017484,0.6725946558614604,0.2417719494444438,0.602272060250611,0.3946884172894789
