,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,7380195.181477159,-19717090.1420879,58953.043649871965,71281.82119293889,62409.30687445472,99915.27835614867,-3785093.7873398666,-9572634.189681945,-15533455.378228229,345230.56151150254,284273.00499595236,-1599.0382023972618,-12765.624910960445,-18120.237173228965,2424653.862370385,959306.8663674946,-272.48160216345167,2538.9723669567666,3020.7985126938906,-4323153.634976429,-1036866.8251983562,0.0,0.0,172550.00019733305,832478.7789188556,69133.69058494679,162405.5583416549,1809642.0194601645,4093084.202960474,64750.10252580844,4203.383188988455,872.4977190681193,846150.5554877783,756902.0170308966
qN,-19717090.1420879,82477253.88613674,-48620.53049177045,-101061.29384897971,-309250.0062338247,-381452.843239438,12931946.43726488,30142002.603286713,68186942.12238058,-913842.6045311027,-773523.5324667352,-55606.037869658416,-173398.64811391334,-234541.93869388048,19918125.676717665,-11401938.506770035,-10998.712060744358,-72146.12549066496,-56312.9025320915,38891872.65435226,22389555.53297541,0.0,0.0,-347341.0644089659,-2207537.911232879,-282474.5928214245,-737542.5060241162,-23443212.98826214,-74764139.40580975,-97554.71751659484,-17061.16706891643,-4619.648208554243,-2530180.488784221,-2347784.819547326
betaG0,58953.043649871965,-48620.53049177045,36395.36200340854,37632.14976452294,-32532.136424022796,-10185.900929452151,29305.984543340088,-195881.60726251488,586865.5892692184,-17624.61623669963,-15632.210915071402,-145.49823982050916,-360.8792609890797,-493.50665670483505,36208.019774383334,-13125.016204279462,-51.22744572494074,-168.24072555413278,-101.90361824535833,28291.924203656847,44670.2139624109,0.0,0.0,9210.443589356631,37064.01808444618,-1184.3319810177857,-4769.6720311775425,-53385.90577317129,-333183.1704373673,7438.285569081608,243.87928442473938,100.91450992946868,23558.022988614004,19128.88302414331
betaF0,71281.82119293889,-101061.29384897971,37632.14976452294,39973.862402132756,-33179.20658256898,-11229.440612278777,43111.65289017761,-243928.65086970103,625775.9613741161,-6337.2215010005775,-5605.619769060599,-85.20183763909334,-196.7481998678239,-267.5900415027042,15884.197020628668,-12503.156270857207,-32.830649563950686,-133.6401417079454,-80.68202609110445,38102.91276399806,34918.07378965416,0.0,0.0,9721.057631958014,39022.78150148341,-271.89827385837435,-2744.205236623372,-15372.493250654587,-247901.7876475812,7920.033864194537,345.7801614929698,123.82571781168674,24492.04682572581,19812.39620376982
qEG,62409.30687445472,-309250.0062338247,-32532.136424022796,-33179.20658256898,40757.37921578777,11255.32408901327,-92443.2205554813,-97052.44615365835,-476671.80409582675,-70373.20514139095,-69744.08576500861,436.97491565082487,1170.513631380352,1617.6128301711522,-139030.08118948995,20593.39919731417,142.22649492942432,348.1640881079455,210.90056311667553,-10981.404261921154,-93954.27052269084,0.0,0.0,-8192.833323222283,-35445.87479922554,3928.2384402501534,10911.68422122986,201868.43111451808,774877.5298245392,-7352.517881768077,-102.67482385948621,-59.23716049571412,-21904.055197312697,-17971.565702628097
qEF,99915.27835614867,-381452.843239438,-10185.900929452151,-11229.440612278777,11255.32408901327,10337.099567023706,-238901.79444243945,-260623.24580973026,-124452.30235075305,-4289.988482780766,-4318.292183525039,243.84111207879397,573.344120266666,809.649481017483,-66515.94336554728,-4612.157437001228,91.25990626072652,139.22527977581657,65.58269198555509,67360.61825679622,-32730.976803616246,0.0,0.0,-1832.126763384306,-8520.453538216881,3257.753826878991,8614.542015247222,146293.90014296237,486043.43922484777,-1861.1380962973774,93.51555574262791,4.268324323720552,-5222.042396261375,-4359.761955394329
iG,-3785093.7873398666,12931946.43726488,29305.984543340088,43111.65289017761,-92443.2205554813,-238901.79444243945,7427710.6616009865,9961893.117738988,-819186.9461430444,46815.63245913261,47100.5455568696,-10044.168963924985,-26221.66039686918,-36678.99182299723,3245903.9477005186,-70382.04293356516,-3286.4431324900165,-5499.139742803205,-3126.228970017383,-1410612.0291017992,1462936.3785669322,0.0,0.0,-16462.445827182808,-30001.438857291912,-112810.97548957783,-266764.91068731045,-5520630.877650783,-16242936.168087605,-2109.7712290695035,-6322.463479709132,-1308.6466449078828,-22278.746140123116,-13834.257923356156
iE,-9572634.189681945,30142002.603286713,-195881.60726251488,-243928.65086970103,-97052.44615365835,-260623.24580973026,9961893.117738988,25744544.231746748,-7091638.059483577,-884483.0361629059,-767462.1935013598,-9089.760370252463,-17478.372966973406,-25220.822391554426,1940766.5432200707,1059377.0132127728,-3878.9787261111596,-2723.427069937731,67.96330106138899,-6882323.439046142,303739.1787828089,0.0,0.0,-104272.41994382795,-284717.1960436592,-188758.17681629708,-480470.9593566905,-7529656.629369295,-21944005.18086874,-45104.5440550297,-12693.16611181658,-2764.5434488277515,-203156.44405214157,-151366.50599917112
Kd0,-15533455.378228229,68186942.12238058,586865.5892692184,625775.9613741161,-476671.80409582675,-124452.30235075305,-819186.9461430444,-7091638.059483577,488670015.6373303,-276404.7384771548,-261525.67906847983,-2680.4466935719315,3570.3736906571207,13684.321208037802,-5910521.271349481,-10886491.798231272,-2661.579634630784,-53976.94943076481,-41558.99898454643,48728886.03401335,16663658.882581742,0.0,0.0,-391892.5957630844,-3345047.607664417,-12996.394996753703,-50150.99010406225,-405037.11866646743,-1496502.5064157564,-79125.33318767691,-911.8880661772016,-127.08263933496312,-4887970.576064211,-4675639.189672575
gammaG0,345230.56151150254,-913842.6045311027,-17624.61623669963,-6337.2215010005775,-70373.20514139095,-4289.988482780766,46815.63245913261,-884483.0361629059,-276404.7384771548,1762411.5365996885,1664106.4139030713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
