group,state,n_observations
core,X,124
core,Xd,0
core,N,127
core,G,131
core,F,131
core,E,131
core,Gly,131
secondary,Pyr,129
secondary,AcAld,107
secondary,Acetate,0
secondary,O2,0
aroma_total,ethyl_acetate,52
aroma_condensate,ethyl_acetate,17
aroma_total,isoamyl_acetate,52
aroma_condensate,isoamyl_acetate,44
aroma_total,ethyl_octanoate,52
aroma_condensate,ethyl_octanoate,44
