analysis,direction,eigenvalue,relative_eigenvalue
global_current_plus_campaign,1,1.2772876884223392e-07,7.04829239908409e-13
global_current_plus_campaign,2,6.372105921472176e-07,3.5162372689856077e-12
global_current_plus_campaign,3,0.00023000348478366907,1.2691986529408679e-09
global_current_plus_campaign,4,0.0023866079183716706,1.316971157173705e-08
global_current_plus_campaign,5,0.0977598864152962,5.39455809839782e-07
global_current_plus_campaign,6,0.9091251215491458,5.01670824992129e-06
global_current_plus_campaign,7,22.594901059466224,0.00012468253694060074
global_current_plus_campaign,8,39.6831490430405,0.00021897841833679388
global_current_plus_campaign,9,56.954312349505585,0.0003142836578374245
global_current_plus_campaign,10,69.95081540691298,0.00038600058938269185
global_current_plus_campaign,11,118.68204212718751,0.0006549078512344043
global_current_plus_campaign,12,145.77966070883906,0.0008044371552537995
global_current_plus_campaign,13,167.05090971468175,0.0009218155532810202
global_current_plus_campaign,14,231.82406238384814,0.0012792449121960044
global_current_plus_campaign,15,249.62758050611924,0.0013774877768188939
global_current_plus_campaign,16,489.57233463825315,0.002701544058014661
global_current_plus_campaign,17,630.2436738108689,0.0034777926194362345
global_current_plus_campaign,18,890.9442692502399,0.004916383190634508
global_current_plus_campaign,19,992.7370831777647,0.005478093385753465
global_current_plus_campaign,20,1204.175934844316,0.006644849211070444
global_current_plus_campaign,21,1478.346160062921,0.008157767508161632
global_current_plus_campaign,22,1620.994258674511,0.008944924166995268
global_current_plus_campaign,23,2296.5555119544983,0.012672786957632794
global_current_plus_campaign,24,2408.361052752767,0.013289749095862814
global_current_plus_campaign,25,3612.1447451612944,0.01993243384593999
global_current_plus_campaign,26,4752.89974285574,0.026227315455108355
global_current_plus_campaign,27,5750.696518426872,0.03173332909074845
global_current_plus_campaign,28,9085.939042888906,0.05013776902025544
global_current_plus_campaign,29,12380.817513945492,0.06831947318444301
global_current_plus_campaign,30,25368.107329376173,0.1399855644812808
global_current_plus_campaign,31,39311.020633671214,0.2169249499889697
global_current_plus_campaign,32,116621.59839806207,0.6435379695653238
global_current_plus_campaign,33,137719.0118354422,0.7599571131293636
global_current_plus_campaign,34,181219.45232980401,1.0
