medium,batch,time_h,density,sugar_g_l,sugar_source
natural,LAB004,0.0,1067.7,145.85,G_plus_F
natural,LAB004,19.0,1064.3,145.71,G_plus_F
natural,LAB004,26.0,1061.1,138.85,G_plus_F
natural,LAB004,43.0,1050.7,117.71,G_plus_F
natural,LAB004,50.0,1044.3,104.74,G_plus_F
natural,LAB004,67.0,1032.3,75.03,G_plus_F
natural,LAB004,74.0,1022.5,57.45,G_plus_F
natural,LAB004,91.0,1014.3,36.66,G_plus_F
natural,LAB004,98.0,1009.3,28.3,G_plus_F
natural,LAB004,115.0,998.8,6.65,G_plus_F
natural,LAB004,122.0,994.4,3.69,G_plus_F
natural,LAB004,146.0,994.9,0.15,G_plus_F
natural,LAB004,163.0,994.9,0.06,G_plus_F
natural,LAB005,0.0,1066.7,165.66,G_plus_F
natural,LAB005,19.0,1064.4,142.71,G_plus_F
natural,LAB005,26.0,1060.9,138.31,G_plus_F
natural,LAB005,43.0,1050.3,111.41,G_plus_F
natural,LAB005,50.0,1043.8,104.59,G_plus_F
natural,LAB005,67.0,1031.1,73.88,G_plus_F
natural,LAB005,74.0,1025.5,63.58,G_plus_F
natural,LAB005,91.0,1014.8,38.62,G_plus_F
natural,LAB005,98.0,1010.3,30.68,G_plus_F
natural,LAB005,115.0,999.5,8.2,G_plus_F
natural,LAB005,122.0,995.5,5.0,G_plus_F
natural,LAB005,146.0,994.9,0.12,G_plus_F
natural,LAB005,163.0,995.0,0.01,G_plus_F
natural,LAB006,0.0,1066.7,157.44,G_plus_F
natural,LAB006,19.0,1065.2,143.94,G_plus_F
natural,LAB006,26.0,1062.9,136.55,G_plus_F
natural,LAB006,43.0,1058.3,129.96,G_plus_F
natural,LAB006,50.0,1054.3,127.54,G_plus_F
natural,LAB006,67.0,1046.4,105.5,G_plus_F
natural,LAB006,74.0,1040.0,95.0,G_plus_F
natural,LAB006,98.0,1026.2,63.93,G_plus_F
natural,LAB006,115.0,1016.1,43.21,G_plus_F
natural,LAB006,122.0,1011.7,38.71,G_plus_F
natural,LAB006,139.0,1006.9,21.27,G_plus_F
natural,LAB006,146.0,1001.5,13.71,G_plus_F
natural,LAB006,170.0,996.7,4.69,G_plus_F
natural,LAB006,194.0,996.0,0.88,G_plus_F
natural,LAB006,211.0,995.4,0.17,G_plus_F
natural,LAB007,16.0,1062.6,142.98,G_plus_F
natural,LAB007,24.0,1062.5,147.91,G_plus_F
natural,LAB007,40.0,1052.0,121.20999999999998,G_plus_F
natural,LAB007,48.0,1046.7,105.17,G_plus_F
natural,LAB007,64.0,1033.7,81.62,G_plus_F
natural,LAB007,72.0,1026.1,70.17,G_plus_F
natural,LAB007,88.0,1013.6,37.77,G_plus_F
natural,LAB007,96.0,1010.0,31.01,G_plus_F
natural,LAB007,112.0,999.6,7.0,G_plus_F
natural,LAB007,120.0,997.4,3.42,G_plus_F
natural,LAB007,144.0,995.4,0.03,G_plus_F
natural,LAB007,160.0,995.6,0.01,G_plus_F
natural,LAB008,16.0,1063.7,141.37,G_plus_F
natural,LAB008,24.0,1062.3,145.62,G_plus_F
natural,LAB008,40.0,1051.2,119.44,G_plus_F
natural,LAB008,48.0,1047.0,105.5,G_plus_F
natural,LAB008,64.0,1034.2,81.2,G_plus_F
natural,LAB008,72.0,1026.8,69.33,G_plus_F
natural,LAB008,88.0,1014.2,37.29,G_plus_F
natural,LAB008,96.0,1009.4,30.5,G_plus_F
natural,LAB008,112.0,999.2,6.41,G_plus_F
natural,LAB008,120.0,997.1,2.89,G_plus_F
natural,LAB008,144.0,995.4,0.03,G_plus_F
natural,LAB008,160.0,994.5,0.0,G_plus_F
natural,LAB009,16.0,1062.3,139.66,G_plus_F
natural,LAB009,24.0,1059.9,141.38,G_plus_F
natural,LAB009,40.0,1041.2,99.28,G_plus_F
natural,LAB009,48.0,1036.0,74.43,G_plus_F
natural,LAB009,64.0,1018.5,45.91,G_plus_F
natural,LAB009,72.0,1012.2,43.97,G_plus_F
natural,LAB009,88.0,1006.2,18.7,G_plus_F
natural,LAB009,96.0,1002.8,16.39,G_plus_F
natural,LAB009,120.0,997.5,3.4,G_plus_F
natural,LAB009,144.0,995.8,0.2,G_plus_F
natural,LAB009,160.0,995.8,0.02,G_plus_F
natural,LAB010,0.0,1067.4,155.54,G_plus_F
natural,LAB010,72.0,1060.8,141.54000000000002,G_plus_F
natural,LAB010,162.9999999999418,1004.7,15.690000000000001,G_plus_F
natural,LAB010,186.9999999999418,998.3,3.25,G_plus_F
natural,LAB011,0.0,1066.5,152.28,G_plus_F
natural,LAB011,18.999999999941792,1067.2,156.49,G_plus_F
natural,LAB011,66.99999999994179,1056.2,133.0,G_plus_F
natural,LAB011,162.9999999999418,996.1,0.14,G_plus_F
natural,LAB012,0.0,1066.6,154.88,G_plus_F
natural,LAB012,48.0,1065.4,144.29,G_plus_F
natural,LAB012,66.99999999994179,1059.2,133.03,G_plus_F
