scenario,candidate,event,time_h,amount
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,0.0,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,18.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,20.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,24.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,42.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,48.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,66.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,72.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,90.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,92.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,94.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,96.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,162.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,full,168.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,22.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,44.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,46.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,68.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,70.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,small,164.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,0.0,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,18.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,20.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,22.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,24.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,42.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,44.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,46.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,48.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,66.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,68.5,
early_10_old_clock,synthetic_lit_SM410_18C_highN_ester,DO,70.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,0.0,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,18.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,24.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,42.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,48.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,66.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,68.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,72.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,90.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,92.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,94.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,96.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,162.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,full,168.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,20.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,22.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,44.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,46.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,70.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,small,164.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,0.0,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,18.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,20.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,22.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,24.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,42.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,44.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,46.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,48.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,66.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,68.5,
