candidate,batch,segment,temperature_c,start_datetime,nominal_time_h,nominal_calendar_time,adjusted_time_h,adjusted_calendar_time,date,weekday,clock,shift_h,shift_class,adjustment_rule,note
fructose_rich_iG_probe,1,1,18.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
fructose_rich_iG_probe,1,2,20.0,2026-06-15 08:00:00,48.0,2026-06-17 08:00:00,49.0,2026-06-17 09:00:00,2026-06-17,Wednesday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
fructose_rich_iG_probe,1,3,24.0,2026-06-15 08:00:00,96.0,2026-06-19 08:00:00,97.0,2026-06-19 09:00:00,2026-06-19,Friday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
fructose_rich_iG_probe,1,4,22.0,2026-06-15 08:00:00,144.0,2026-06-21 08:00:00,169.0,2026-06-22 09:00:00,2026-06-22,Monday,09:00,25.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
low_temp_growth_separation_plus_co2,1,1,15.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
low_temp_growth_separation_plus_co2,1,2,17.0,2026-06-15 08:00:00,42.0,2026-06-17 02:00:00,49.0,2026-06-17 09:00:00,2026-06-17,Wednesday,09:00,7.0,moderate,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
low_temp_growth_separation_plus_co2,1,3,20.0,2026-06-15 08:00:00,84.0,2026-06-18 20:00:00,80.0,2026-06-18 16:00:00,2026-06-18,Thursday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
low_temp_growth_separation_plus_co2,1,4,22.0,2026-06-15 08:00:00,126.0,2026-06-20 14:00:00,104.0,2026-06-19 16:00:00,2026-06-19,Friday,16:00,-22.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
yan_saturation_scan,1,1,15.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
yan_saturation_scan,1,2,18.0,2026-06-15 08:00:00,36.0,2026-06-16 20:00:00,32.0,2026-06-16 16:00:00,2026-06-16,Tuesday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
yan_saturation_scan,1,3,22.0,2026-06-15 08:00:00,72.0,2026-06-18 08:00:00,73.0,2026-06-18 09:00:00,2026-06-18,Thursday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
yan_saturation_scan,1,4,22.0,2026-06-15 08:00:00,108.0,2026-06-19 20:00:00,104.0,2026-06-19 16:00:00,2026-06-19,Friday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
cold_synthesis_hot_stripping,2,1,15.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
cold_synthesis_hot_stripping,2,2,16.0,2026-06-29 08:00:00,48.0,2026-07-01 08:00:00,49.0,2026-07-01 09:00:00,2026-07-01,Wednesday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
cold_synthesis_hot_stripping,2,3,24.0,2026-06-29 08:00:00,96.0,2026-07-03 08:00:00,97.0,2026-07-03 09:00:00,2026-07-03,Friday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
cold_synthesis_hot_stripping,2,4,25.0,2026-06-29 08:00:00,144.0,2026-07-05 08:00:00,169.0,2026-07-06 09:00:00,2026-07-06,Monday,09:00,25.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
combined_stress_long_horizon,2,1,15.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
combined_stress_long_horizon,2,2,22.0,2026-06-29 08:00:00,60.0,2026-07-01 20:00:00,56.0,2026-07-01 16:00:00,2026-07-01,Wednesday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
combined_stress_long_horizon,2,3,25.0,2026-06-29 08:00:00,120.0,2026-07-04 08:00:00,104.0,2026-07-03 16:00:00,2026-07-03,Friday,16:00,-16.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
combined_stress_long_horizon,2,4,18.0,2026-06-29 08:00:00,180.0,2026-07-06 20:00:00,176.0,2026-07-06 16:00:00,2026-07-06,Monday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_rich_growth_yield,2,1,18.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,0.0,2026-06-29 08:00:00,2026-06-29,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_rich_growth_yield,2,2,22.0,2026-06-29 08:00:00,42.0,2026-07-01 02:00:00,49.0,2026-07-01 09:00:00,2026-07-01,Wednesday,09:00,7.0,moderate,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_rich_growth_yield,2,3,24.0,2026-06-29 08:00:00,84.0,2026-07-02 20:00:00,80.0,2026-07-02 16:00:00,2026-07-02,Thursday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_rich_growth_yield,2,4,20.0,2026-06-29 08:00:00,126.0,2026-07-04 14:00:00,104.0,2026-07-03 16:00:00,2026-07-03,Friday,16:00,-22.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
