scenario,n_experiments,selected_candidates,campaign_logdet,campaign_min_eigenvalue,campaign_max_eigenvalue,campaign_min_relative_eigenvalue,campaign_condition_number,campaign_trace_inv,campaign_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction,hybrid_score,dopt_score
original_remaining_F4_F9,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_high_sugar_reference, natural_glucose_pulse_after_growth, synthetic_fast_CO2_aroma_strip_highN",178.9490177877192,0.40475978493156484,317990.357511141,1.2728681086418912e-06,785627.3507134744,2.7111574527591253,26,0.7900390934430604,0.20996090655693955,0.7076633756268929,0.29233662437310715,0.4607463462000175,0.5392536537999826,0.54780568682605,0.45219431317395,0.5731622878884632,0.42683771211153676,0.6578903142134171,0.34210968578658285,0.641043552518228,0.358956447481772,0.6383915947860291,0.36160840521397086,0.7546078781088066,0.24539212189119342,0.5719099993217075,0.4280900006782925,0.6701451729151734,0.3298548270848266,0.31463732415604656,0.6853626758439535,0.45671075471738076,0.5432892452826192,0.33994949452167156,0.6600505054783284,0.2676639018281379,0.7323360981718621,0.4046505284749414,0.5953494715250587,0.5499105970138122,0.4500894029861878,0.008509922389063281,0.9914900776109368,0.0005203819131476719,0.9994796180868524,0.015202479120861784,0.9847975208791382,0.0004397629418275666,0.9995602370581724,0.013404399880658798,0.9865956001193412,0.0004075437270129429,0.9995924562729871,0.09443536723331189,0.9055646327666881,0.07954717956442602,0.920452820435574,0.057791641005052186,0.9422083589949478,0.8886527451578078,0.4500894029861878,151.75067330435817,178.9490177877192
lot2_fixed_plus_original_lot3,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_high_sugar_reference, natural_glucose_pulse_after_growth, synthetic_fast_CO2_aroma_strip_highN",178.9490177877192,0.40475978493156484,317990.357511141,1.2728681086418912e-06,785627.3507134744,2.7111574527591253,26,0.7900390934430604,0.20996090655693955,0.7076633756268929,0.29233662437310715,0.4607463462000175,0.5392536537999826,0.54780568682605,0.45219431317395,0.5731622878884632,0.42683771211153676,0.6578903142134171,0.34210968578658285,0.641043552518228,0.358956447481772,0.6383915947860291,0.36160840521397086,0.7546078781088066,0.24539212189119342,0.5719099993217075,0.4280900006782925,0.6701451729151734,0.3298548270848266,0.31463732415604656,0.6853626758439535,0.45671075471738076,0.5432892452826192,0.33994949452167156,0.6600505054783284,0.2676639018281379,0.7323360981718621,0.4046505284749414,0.5953494715250587,0.5499105970138122,0.4500894029861878,0.008509922389063281,0.9914900776109368,0.0005203819131476719,0.9994796180868524,0.015202479120861784,0.9847975208791382,0.0004397629418275666,0.9995602370581724,0.013404399880658798,0.9865956001193412,0.0004075437270129429,0.9995924562729871,0.09443536723331189,0.9055646327666881,0.07954717956442602,0.920452820435574,0.057791641005052186,0.9422083589949478,0.8886527451578078,0.4500894029861878,151.75067330435817,178.9490177877192
lot2_fixed_plus_death_replacement,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_late_ethanol_death_probe, natural_glucose_pulse_after_growth, synthetic_fast_CO2_aroma_strip_highN",178.2551813119536,0.3950388602756334,306101.51919515745,1.2905485125141547e-06,774864.3234277735,2.782852555144825,26,0.7934194448688338,0.20658055513116624,0.7083817722465298,0.29161822775347024,0.4742530103878228,0.5257469896121771,0.5450760345057549,0.4549239654942451,0.5707295933879234,0.4292704066120766,0.6363292687306129,0.3636707312693871,0.6715198514906571,0.32848014850934293,0.6314010655232217,0.3685989344767783,0.701095452505298,0.29890454749470197,0.5955103733821425,0.4044896266178575,0.6866352843642723,0.31336471563572765,0.30854322798119593,0.6914567720188041,0.3950035790120127,0.6049964209879872,0.3250868145618702,0.6749131854381298,0.2800516249128501,0.7199483750871499,0.42885475268646706,0.571145247313533,0.5601310235029475,0.4398689764970525,0.008918713015550249,0.9910812869844497,0.0005230109565469152,0.9994769890434531,0.016052044042701063,0.9839479559572989,0.00045709429283383613,0.9995429057071662,0.014255072636377665,0.9857449273636223,0.000432004653113324,0.9995679953468867,0.1024641680538358,0.8975358319461642,0.08518482891208241,0.9148151710879175,0.06046229741725313,0.9395377025827468,0.8838422718027538,0.4398689764970525,151.08312103399433,178.2551813119536
lot2_fixed_plus_natural_replacement,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, natural_aroma_matrix_cold_hot, natural_glucose_pulse_after_growth, synthetic_fast_CO2_aroma_strip_highN",178.32968459473932,0.39567855780614725,304574.73953406117,1.299118102871751e-06,769752.9560934154,2.778214104301603,26,0.7717053519014622,0.22829464809853783,0.679883160446416,0.32011683955358405,0.47645334734777395,0.5235466526522261,0.5437994216394945,0.45620057836050554,0.5761446810666603,0.4238553189333397,0.6599557195690163,0.34004428043098367,0.6820201130613645,0.31797988693863555,0.6383018802377152,0.36169811976228483,0.7651153855959785,0.23488461440402153,0.5937571086470356,0.40624289135296443,0.6855261645815912,0.3144738354184088,0.26171079160681243,0.7382892083931876,0.381222516669739,0.6187774833302611,0.28656288398515445,0.7134371160148456,0.23516071966723875,0.7648392803327613,0.402582179145737,0.597417820854263,0.556156166263655,0.44384383373634495,0.008193826060730863,0.9918061739392692,0.000584870113911768,0.9994151298860883,0.014667023858855354,0.9853329761411447,0.0004975936593925517,0.9995024063406075,0.012946399211049453,0.9870536007889505,0.00046249186873457943,0.9995375081312654,0.10747627014421106,0.892523729855789,0.08976638941290734,0.9102336105870926,0.06389944463097284,0.9361005553690271,0.8857061223299856,0.44384383373634495,151.1709443668849,178.32968459473932
free_greedy6_after_actual_lot1,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_high_sugar_reference, synthetic_viable_biomass_step, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791041218,0.39360706442692894,305003.7354105135,1.290499160271469e-06,774893.9563739354,2.770929737499065,26,0.7860263623415821,0.21397363765841793,0.7474207283401599,0.25257927165984007,0.4593222869888173,0.5406777130111827,0.5389395703683371,0.46106042963166294,0.5388917829495689,0.46110821705043115,0.6379753400629451,0.3620246599370549,0.630479402424261,0.36952059757573896,0.619701445147134,0.380298554852866,0.7604893766029074,0.23951062339709261,0.5805196665150778,0.4194803334849222,0.6891375831281924,0.3108624168718076,0.29765574487993024,0.7023442551200698,0.3229074698229846,0.6770925301770154,0.2639153303580022,0.7360846696419978,0.27827796355770074,0.7217220364422993,0.4260423235045795,0.5739576764954205,0.5527471002991033,0.44725289970089666,0.008144409610991853,0.9918555903890082,0.0004400898557652419,0.9995599101442347,0.014638565719614886,0.9853614342803851,0.00037687526826006714,0.99962312473174,0.012984804385050942,0.9870151956149491,0.0003501593426829087,0.9996498406573171,0.09551639266322602,0.904483607336774,0.07823010793865151,0.9217698920613485,0.05546617919858829,0.9445338208014117,0.8868239083830441,0.44725289970089666,151.81480582797653,178.98672791041218
free_dopt6_after_actual_lot1,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_high_sugar_reference, synthetic_viable_biomass_step, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791041218,0.39360706442692894,305003.7354105135,1.290499160271469e-06,774893.9563739354,2.770929737499065,26,0.7860263623415821,0.21397363765841793,0.7474207283401599,0.25257927165984007,0.4593222869888173,0.5406777130111827,0.5389395703683371,0.46106042963166294,0.5388917829495689,0.46110821705043115,0.6379753400629451,0.3620246599370549,0.630479402424261,0.36952059757573896,0.619701445147134,0.380298554852866,0.7604893766029074,0.23951062339709261,0.5805196665150778,0.4194803334849222,0.6891375831281924,0.3108624168718076,0.29765574487993024,0.7023442551200698,0.3229074698229846,0.6770925301770154,0.2639153303580022,0.7360846696419978,0.27827796355770074,0.7217220364422993,0.4260423235045795,0.5739576764954205,0.5527471002991033,0.44725289970089666,0.008144409610991853,0.9918555903890082,0.0004400898557652419,0.9995599101442347,0.014638565719614886,0.9853614342803851,0.00037687526826006714,0.99962312473174,0.012984804385050942,0.9870151956149491,0.0003501593426829087,0.9996498406573171,0.09551639266322602,0.904483607336774,0.07823010793865151,0.9217698920613485,0.05546617919858829,0.9445338208014117,0.8868239083830441,0.44725289970089666,151.81480582797653,178.98672791041218
dopt_exchange_from_current,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_high_sugar_reference, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791040963,0.3936070644259546,305003.7354105135,1.2904991602682745e-06,774893.9563758536,2.770929737498145,26,0.7860263623415827,0.21397363765841726,0.7474207283401598,0.2525792716598402,0.4593222869888158,0.5406777130111842,0.5389395703683394,0.4610604296316606,0.5388917829495674,0.4611082170504326,0.6379753400629476,0.36202465993705235,0.6304794024242621,0.36952059757573785,0.6197014451471344,0.38029855485286557,0.760489376602908,0.23951062339709195,0.5805196665149592,0.41948033348504077,0.6891375831279428,0.3108624168720572,0.29765574487993063,0.7023442551200694,0.3229074698229852,0.6770925301770148,0.2639153303580024,0.7360846696419976,0.27827796355769996,0.7217220364423,0.4260423235045796,0.5739576764954204,0.5527471002991039,0.4472528997008961,0.008144409610991847,0.9918555903890082,0.0004400898557652417,0.9995599101442347,0.014638565719614865,0.9853614342803851,0.00037687526826006676,0.99962312473174,0.012984804385050945,0.9870151956149491,0.0003501593426829086,0.9996498406573171,0.09551639266322605,0.9044836073367739,0.07823010793865147,0.9217698920613485,0.05546617919858822,0.9445338208014118,0.8868239083830441,0.4472528997008961,151.81480582796905,178.98672791040963
dopt_exchange_from_greedy,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_high_sugar_reference, synthetic_viable_biomass_step, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791041218,0.39360706442692894,305003.7354105135,1.290499160271469e-06,774893.9563739354,2.770929737499065,26,0.7860263623415821,0.21397363765841793,0.7474207283401599,0.25257927165984007,0.4593222869888173,0.5406777130111827,0.5389395703683371,0.46106042963166294,0.5388917829495689,0.46110821705043115,0.6379753400629451,0.3620246599370549,0.630479402424261,0.36952059757573896,0.619701445147134,0.380298554852866,0.7604893766029074,0.23951062339709261,0.5805196665150778,0.4194803334849222,0.6891375831281924,0.3108624168718076,0.29765574487993024,0.7023442551200698,0.3229074698229846,0.6770925301770154,0.2639153303580022,0.7360846696419978,0.27827796355770074,0.7217220364422993,0.4260423235045795,0.5739576764954205,0.5527471002991033,0.44725289970089666,0.008144409610991853,0.9918555903890082,0.0004400898557652419,0.9995599101442347,0.014638565719614886,0.9853614342803851,0.00037687526826006714,0.99962312473174,0.012984804385050942,0.9870151956149491,0.0003501593426829087,0.9996498406573171,0.09551639266322602,0.904483607336774,0.07823010793865151,0.9217698920613485,0.05546617919858829,0.9445338208014117,0.8868239083830441,0.44725289970089666,151.81480582797653,178.98672791041218
lot2_fixed_plus_greedy_lot3,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_high_sugar_reference, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791040963,0.3936070644259546,305003.7354105135,1.2904991602682745e-06,774893.9563758536,2.770929737498145,26,0.7860263623415827,0.21397363765841726,0.7474207283401598,0.2525792716598402,0.4593222869888158,0.5406777130111842,0.5389395703683394,0.4610604296316606,0.5388917829495674,0.4611082170504326,0.6379753400629476,0.36202465993705235,0.6304794024242621,0.36952059757573785,0.6197014451471344,0.38029855485286557,0.760489376602908,0.23951062339709195,0.5805196665149592,0.41948033348504077,0.6891375831279428,0.3108624168720572,0.29765574487993063,0.7023442551200694,0.3229074698229852,0.6770925301770148,0.2639153303580024,0.7360846696419976,0.27827796355769996,0.7217220364423,0.4260423235045796,0.5739576764954204,0.5527471002991039,0.4472528997008961,0.008144409610991847,0.9918555903890082,0.0004400898557652417,0.9995599101442347,0.014638565719614865,0.9853614342803851,0.00037687526826006676,0.99962312473174,0.012984804385050945,0.9870151956149491,0.0003501593426829086,0.9996498406573171,0.09551639266322605,0.9044836073367739,0.07823010793865147,0.9217698920613485,0.05546617919858822,0.9445338208014118,0.8868239083830441,0.4472528997008961,151.81480582796905,178.98672791040963
lot2_fixed_plus_dopt_lot3,6,"synthetic_glucose_rich_fructose_pulse, synthetic_lit_SM410_24C_highN_strip, synthetic_viable_biomass_step, synthetic_high_sugar_reference, natural_glucose_pulse_after_growth, synthetic_low_yan_ladder",178.98672791040963,0.3936070644259546,305003.7354105135,1.2904991602682745e-06,774893.9563758536,2.770929737498145,26,0.7860263623415827,0.21397363765841726,0.7474207283401598,0.2525792716598402,0.4593222869888158,0.5406777130111842,0.5389395703683394,0.4610604296316606,0.5388917829495674,0.4611082170504326,0.6379753400629476,0.36202465993705235,0.6304794024242621,0.36952059757573785,0.6197014451471344,0.38029855485286557,0.760489376602908,0.23951062339709195,0.5805196665149592,0.41948033348504077,0.6891375831279428,0.3108624168720572,0.29765574487993063,0.7023442551200694,0.3229074698229852,0.6770925301770148,0.2639153303580024,0.7360846696419976,0.27827796355769996,0.7217220364423,0.4260423235045796,0.5739576764954204,0.5527471002991039,0.4472528997008961,0.008144409610991847,0.9918555903890082,0.0004400898557652417,0.9995599101442347,0.014638565719614865,0.9853614342803851,0.00037687526826006676,0.99962312473174,0.012984804385050945,0.9870151956149491,0.0003501593426829086,0.9996498406573171,0.09551639266322605,0.9044836073367739,0.07823010793865147,0.9217698920613485,0.05546617919858822,0.9445338208014118,0.8868239083830441,0.4472528997008961,151.81480582796905,178.98672791040963
