,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,71419.41984072526,464.51181699219455,-62759.326304450406,353.42071952511236,183.0780217443867,41339.82376819525,10145.021248884259,15860.100760979907,2043.1156752089028,9741.929897714263,2780.205974066361,-11002.135978644683,-48300.95505446459,-8873.426083630678,459.309770124451
sN,464.51181699219455,7.287229265072025,-320.517614066085,2.7581954697820645,1.1488714956589265,264.71314988101824,56.104529061476796,90.54357776427841,10.568390957555593,58.80304611083875,12.405165869481461,-64.02278807078385,-278.75429726534264,-31.73884403898623,2.2935273803324248
qN,-62759.326304450406,-320.517614066085,57071.59039146923,-325.3565559068065,-193.36116740010866,-35590.05180486527,-9089.174720971552,-13910.888972918217,-1864.4182571968124,-9332.150810316323,-2969.858330340373,9899.532381545203,43155.78456561862,8330.5377000673,-466.72586682362794
qXG,353.42071952511236,2.7581954697820645,-325.3565559068065,21.716932162189536,6.012496593910404,-300.8650846100292,58.68974992819442,-75.35585387851124,2.004478999446617,614.1575778558549,89.84446782603321,-6.640005030821432,-224.75155414891645,-41.13025198996212,22.23385109729487
qXF,183.0780217443867,1.1488714956589265,-193.36116740010866,6.012496593910404,26.39059509683004,-206.92567472980238,-13.080631496620232,-93.51495563509982,24.927145638704726,140.97251081987375,332.1368785898374,-146.08113279901553,-109.758565124402,-30.966044679264165,29.464718744026868
betaG0,41339.82376819525,264.71314988101824,-35590.05180486527,-300.8650846100292,-206.92567472980238,40976.58573110092,5887.227121398693,14579.021031340288,1239.4915466285115,-10711.918934736943,-3124.7003579834313,-6845.543752108651,-28618.450154848935,-4537.60196024949,-527.508827781294
sG,10145.021248884259,56.104529061476796,-9089.174720971552,58.68974992819442,-13.080631496620232,5887.227121398693,1603.1340387800067,2417.597561769576,249.64496153632348,1902.4919554288906,-190.32673453445094,-1287.9981560277945,-7066.277054510185,-1457.044810978252,32.66597732075279
betaF0,15860.100760979907,90.54357776427841,-13910.888972918217,-75.35585387851124,-93.51495563509982,14579.021031340288,2417.597561769576,5440.892666966677,444.1473972212891,-2682.981918466665,-1425.2556042777119,-2351.889537446607,-11135.10404618473,-2115.4647531833716,-184.066509155068
sF,2043.1156752089028,10.568390957555593,-1864.4182571968124,2.004478999446617,24.927145638704726,1239.4915466285115,249.64496153632348,444.1473972212891,91.40836665966859,-39.47036846586242,385.7175070306528,-486.92343576137307,-1419.6001745427443,-317.74088225099734,29.525147011694656
qEG,9741.929897714263,58.80304611083875,-9332.150810316323,614.1575778558549,140.97251081987375,-10711.918934736943,1902.4919554288906,-2682.981918466665,-39.47036846586242,20090.049456361434,2178.7785595207647,372.41119372074036,-6357.627946574963,-1448.463406878534,683.2169762301756
qEF,2780.205974066361,12.405165869481461,-2969.858330340373,89.84446782603321,332.1368785898374,-3124.7003579834313,-190.32673453445094,-1425.2556042777119,385.7175070306528,2178.7785595207647,5002.8494632234215,-2135.092030067985,-1722.9076302180588,-583.9810917795376,453.3601267869851
iG,-11002.135978644683,-64.02278807078385,9899.532381545203,-6.640005030821432,-146.08113279901553,-6845.543752108651,-1287.9981560277945,-2351.889537446607,-486.92343576137307,372.41119372074036,-2135.092030067985,2669.394314485478,7537.844468951849,1464.5802966117644,-158.27201875433286
iE,-48300.95505446459,-278.75429726534264,43155.78456561862,-224.75155414891645,-109.758565124402,-28618.450154848935,-7066.277054510185,-11135.10404618473,-1419.6001745427443,-6357.627946574963,-1722.9076302180588,7537.844468951849,33382.133709580135,6550.198687744012,-293.8715697462739
Kd0,-8873.426083630678,-31.73884403898623,8330.5377000673,-41.13025198996212,-30.966044679264165,-4537.60196024949,-1457.044810978252,-2115.4647531833716,-317.74088225099734,-1448.463406878534,-583.9810917795376,1464.5802966117644,6550.198687744012,2792.863850301128,-86.48564966325422
m0,459.309770124451,2.2935273803324248,-466.72586682362794,22.23385109729487,29.464718744026868,-527.508827781294,32.66597732075279,-184.066509155068,29.525147011694656,683.2169762301756,453.3601267869851,-158.27201875433286,-293.8715697462739,-86.48564966325422,53.610101175848484
