experiment_id,mix_id,lab_sample_id,analyte,timestamp,time_h,capture_interval_start,capture_interval_end,capture_interval_h,volume_a_ml,volume_b_ml,total_condensate_ml,observed_value,unit,observation_operator,mix_model_observation_type,lower_bound,upper_bound,mix_result_status,mix_concentration_ug_l,mix_loq_ug_l,paired_wine_sample_id
26157,26157-MIX-01,Lab-26-2034,Decanoato de Etilo,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,0.1129127723546955,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,0.15125,below_loq,9.33163407890046,12.5,26157-P-05
26157,26157-MIX-01,Lab-26-2034,Etil Acetato,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,2268.75,NQ,,187500.0,26157-P-05
26157,26157-MIX-01,Lab-26-2034,Feniletil Acetato,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,60.5,NQ,,5000.0,26157-P-05
26157,26157-MIX-01,Lab-26-2034,Hexil Acetato,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,0.2608872087108177,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",observed,,,quantified,21.560926339737,12.5,26157-P-05
26157,26157-MIX-01,Lab-26-2034,Isoamil Acetato,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,60.5,NQ,,5000.0,26157-P-05
26157,26157-MIX-01,Lab-26-2034,Octanoato de Etilo,2026-04-08 15:00:00,50.0,2026-04-06 13:00:00,2026-04-08 15:00:00,50.0,12.0,0.1,12.1,1.6334394167775916,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,6.05,below_loq,134.994993122115,500.0,26157-P-05
26157,26157-MIX-02,Lab-26-2036,Decanoato de Etilo,2026-04-10 08:00:00,91.0,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,20.0,15.0,35.0,0.5889755856244224,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",observed,,,quantified,16.8278738749835,12.5,26157-P-08
26157,26157-MIX-02,Lab-26-2036,Etil Acetato,2026-04-10 08:00:00,91.0,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,20.0,15.0,35.0,,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,6562.5,NQ,,187500.0,26157-P-08
26157,26157-MIX-02,Lab-26-2036,Feniletil Acetato,2026-04-10 08:00:00,91.0,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,20.0,15.0,35.0,,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",left_censored,0.0,175.0,NQ,,5000.0,26157-P-08
26157,26157-MIX-02,Lab-26-2036,Hexil Acetato,2026-04-10 08:00:00,91.0,2026-04-08 15:00:00,2026-04-10 08:00:00,41.0,20.0,15.0,35.0,385.417970444066,ug_captured,"integral(capture_rate, capture_interval_start, capture_interval_end)",observed,,,quantified,11011.9420126876,12.5,26157-P-08
