experiment_id,sample_id,lab_sample_id,sample_timestamp,time_h,analyte,observed_value,unit,observation_operator,model_observation_type,lower_bound,upper_bound,result_status,sample_basis_loq_ug_l,reported_value
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Decanoato de Etilo,2.44232738813298,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,2.44232738813298
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Etil Acetato,1118.77173470223,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,187.5,1118.77173470223
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Feniletil Acetato,,ug/L_wine,instantaneous liquid concentration,left_censored,0.0,5.0,NQ,5.0,NQ
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Hexil Acetato,0.838047772075084,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,0.838047772075084
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Isoamil Acetato,,ug/L_wine,instantaneous liquid concentration,left_censored,0.0,5.0,NQ,5.0,NQ
26157,26157-P-01,Lab-26-2033,2026-04-06 13:00:00,0.0,Octanoato de Etilo,3.99488679667801,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.5,3.99488679667801
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Decanoato de Etilo,16.5076100040894,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,16.5076100040894
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Etil Acetato,4682.59488298487,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,187.5,4682.59488298487
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Feniletil Acetato,31.9900514831224,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,5.0,31.9900514831224
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Hexil Acetato,155.605485725609,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,155.605485725609
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Isoamil Acetato,358.095895130861,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,5.0,358.095895130861
26157,26157-P-05,Lab-26-2035,2026-04-08 15:00:00,50.0,Octanoato de Etilo,38.3768001866699,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.5,38.3768001866699
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Decanoato de Etilo,19.750135860042,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,19.750135860042
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Etil Acetato,14079.9482595189,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,187.5,14079.9482595189
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Feniletil Acetato,113.403011002358,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,5.0,113.403011002358
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Hexil Acetato,296.49009202075,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.0125,296.49009202075
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Isoamil Acetato,1605.5334511929,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,5.0,1605.5334511929
26157,26157-P-08,Lab-26-2037,2026-04-10 08:00:00,91.0,Octanoato de Etilo,97.3195154412642,ug/L_wine,instantaneous liquid concentration,observed,,,quantified,0.5,97.3195154412642
